symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AOX1	4075.731513	2.451814357	0.351119217	6.98285437	2.89E-12	1.20E-09
LINC01279	5187.365814	2.131711895	0.306829799	6.947538669	3.72E-12	1.49E-09
AR	4442.68742	2.522849105	0.364045137	6.930044787	4.21E-12	1.62E-09
APBB1IP	2005.089055	3.140348438	0.455294393	6.897401959	5.30E-12	1.96E-09
ASPH	32906.20222	2.268414046	0.330034627	6.873260738	6.28E-12	2.24E-09
ITIH5	16156.62474	1.888919785	0.275862679	6.847319081	7.52E-12	2.59E-09
ADAMTS5	6129.32458	2.831672217	0.414962196	6.823928161	8.86E-12	2.95E-09
RETSAT	9735.963667	3.348451252	0.494304388	6.774067422	1.25E-11	4.03E-09
SLC22A3	9485.026555	-2.665282399	0.396139666	-6.728138145	1.72E-11	5.20E-09
MAOA	6809.537605	2.902058273	0.431149335	6.730981668	1.69E-11	5.20E-09
FHL1	28374.8088	2.034089668	0.305048233	6.668091952	2.59E-11	7.61E-09
ALDH2	9962.331531	2.575234922	0.387110956	6.652446495	2.88E-11	8.23E-09
TNFRSF21	873.981253	3.185307391	0.480264909	6.632396682	3.30E-11	9.16E-09
KCNIP2	1485.504775	3.473358683	0.531733343	6.532143839	6.48E-11	1.75E-08
MEST	4549.593968	2.460049788	0.380616366	6.463331608	1.02E-10	2.69E-08
F13A1	6917.129132	2.956325291	0.457824261	6.457336463	1.07E-10	2.73E-08
SLC16A7	3970.098597	2.277135147	0.352903668	6.452568659	1.10E-10	2.75E-08
VAT1L	1839.086759	-2.853298575	0.449148854	-6.352679176	2.12E-10	5.16E-08
CD248	16041.81472	2.343037434	0.37038901	6.325882716	2.52E-10	5.99E-08
PPARG	2384.605532	2.729806434	0.431976318	6.319342791	2.63E-10	6.10E-08
COL21A1	1439.631655	-2.815183597	0.446957188	-6.298553137	3.00E-10	6.82E-08
SEPT11	6869.768476	1.936919914	0.307817992	6.292419423	3.13E-10	6.94E-08
CDR1	96657.8354	2.419945747	0.385566	6.276346319	3.47E-10	7.53E-08
HRASLS5	2591.185685	2.287683755	0.36544398	6.260012154	3.85E-10	8.18E-08
KRT19	3652.665353	-3.168153162	0.507507869	-6.242569529	4.30E-10	8.96E-08
PLOD2	2872.381346	2.53566091	0.408127061	6.212920313	5.20E-10	1.06E-07
CDKN2B	2617.661583	3.209664231	0.517520898	6.201999264	5.58E-10	1.11E-07
SPON1	1874.874583	3.095728907	0.501112248	6.177715512	6.50E-10	1.23E-07
IGFBP6	10136.23059	-1.880749921	0.30461292	-6.174228986	6.65E-10	1.23E-07
LCP1	2147.780564	2.51375488	0.406589185	6.182542404	6.31E-10	1.23E-07
ACO1	4797.643845	2.24174733	0.363083327	6.174195183	6.65E-10	1.23E-07
ASAH1	10224.7374	1.283998135	0.209578903	6.126561972	8.98E-10	1.60E-07
PLEC	68940.34862	-1.233992393	0.20133483	-6.12905573	8.84E-10	1.60E-07
ANGPT1	3521.134934	2.315764157	0.383002119	6.046348156	1.48E-09	2.60E-07
AKR1C2	5974.569918	2.412251768	0.399551464	6.037399393	1.57E-09	2.70E-07
FAM213A	5758.806334	1.946757091	0.323854545	6.011208188	1.84E-09	3.12E-07
FTL	40907.30806	2.199963908	0.368534366	5.969494596	2.38E-09	3.96E-07
DUSP4	2735.278905	2.660982295	0.45123892	5.897058469	3.70E-09	6.06E-07
LAMA5	12618.13722	-1.429897481	0.248205301	-5.76094658	8.36E-09	1.35E-06
GPAM	53924.38846	3.79300131	0.662347723	5.726601263	1.02E-08	1.60E-06
BNC2	16666.96347	-1.738982288	0.303571137	-5.728417747	1.01E-08	1.60E-06
CLMP	8705.784646	1.647032435	0.287930605	5.720240934	1.06E-08	1.61E-06
TBC1D16	12212.86056	1.59859512	0.279443006	5.720648176	1.06E-08	1.61E-06
PTPRF	14362.78559	1.184698417	0.20745116	5.710734122	1.12E-08	1.68E-06
PLTP	2210.191542	2.318156086	0.411134938	5.63843126	1.72E-08	2.52E-06
PREB	2070.343118	2.140171427	0.379915687	5.633279966	1.77E-08	2.56E-06
RASD1	1662.01482	2.815452575	0.504626717	5.579277669	2.42E-08	3.40E-06
PLIN2	2148.401957	2.586694213	0.463577395	5.579854063	2.41E-08	3.40E-06
LAMB3	1624.345115	2.131697425	0.382468083	5.573530238	2.50E-08	3.46E-06
DDR2	9620.276546	2.019917517	0.363567417	5.55582658	2.76E-08	3.78E-06
PRKAR2B	4210.328895	2.946886022	0.533128246	5.527536846	3.25E-08	4.38E-06
PDK4	5275.323391	1.733395926	0.314140055	5.517908013	3.43E-08	4.57E-06
MBNL3	2083.535973	2.09164498	0.379337616	5.513940333	3.51E-08	4.61E-06
ANXA1	20623.08682	1.187492538	0.217442377	5.46118266	4.73E-08	6.14E-06
PTGDS	7620.81808	-2.402489654	0.440251901	-5.457079563	4.84E-08	6.20E-06
GPC3	4856.28057	1.91929824	0.352467186	5.445324609	5.17E-08	6.54E-06
ADRBK2	3910.421051	2.67498068	0.496534676	5.387298835	7.15E-08	8.93E-06
TIMP4	2745.639162	3.300688788	0.614547574	5.370924768	7.83E-08	9.66E-06
SOS1	7480.323231	1.445737914	0.269674743	5.361043071	8.27E-08	1.01E-05
CPM	3944.011938	2.489084211	0.465594614	5.346033086	8.99E-08	1.08E-05
LYVE1	4361.902087	3.096916772	0.582776346	5.31407425	1.07E-07	1.26E-05
PLA2G16	3929.92819	2.048337969	0.385326924	5.315844391	1.06E-07	1.26E-05
PGD	8648.027851	2.144117661	0.403999988	5.307222096	1.11E-07	1.29E-05
SERPINF1	13760.89869	1.66222473	0.314011865	5.2935093	1.20E-07	1.38E-05
C1QC	2018.168388	2.838206326	0.538205059	5.27346646	1.34E-07	1.52E-05
ACSS2	6978.460848	2.853898139	0.544527923	5.241050126	1.60E-07	1.79E-05
LPL	31944.83558	3.105950938	0.593964506	5.229186099	1.70E-07	1.89E-05
EFEMP1	8373.494471	2.592171038	0.496280075	5.223201915	1.76E-07	1.93E-05
RAI14	10673.79668	-1.781255128	0.341445397	-5.216808141	1.82E-07	1.98E-05
DMD	14786.89876	-1.006761116	0.193229842	-5.210174079	1.89E-07	2.03E-05
PYGL	3668.998316	2.462871908	0.47330743	5.203535278	1.96E-07	2.08E-05
ESYT1	7589.199939	1.28370659	0.246949724	5.198250753	2.01E-07	2.09E-05
SIX1	1266.943513	2.728250289	0.524652716	5.200107053	1.99E-07	2.09E-05
TSPYL2	3472.423013	-1.575074233	0.303316259	-5.192844722	2.07E-07	2.13E-05
PNPLA2	10794.66095	2.182780383	0.422311266	5.168652973	2.36E-07	2.34E-05
FBN1	41470.88489	1.736059028	0.335888036	5.168564645	2.36E-07	2.34E-05
CD68	2704.160825	2.099107377	0.406040929	5.169694056	2.34E-07	2.34E-05
AQP7	2087.612822	2.897499074	0.560672437	5.167899981	2.37E-07	2.34E-05
PAK3	2283.625255	-1.805283308	0.34948163	-5.165602858	2.40E-07	2.35E-05
KIAA1683	798.9770031	-2.36943313	0.4595751	-5.155703892	2.53E-07	2.45E-05
MTHFD1	4998.679579	1.826688544	0.354631861	5.150943113	2.59E-07	2.49E-05
COL6A1	23026.52988	1.110287432	0.215989543	5.14046845	2.74E-07	2.61E-05
ME1	3930.30449	2.981705426	0.581300674	5.129368599	2.91E-07	2.74E-05
NFIX	19570.06704	1.35834075	0.264996368	5.125884401	2.96E-07	2.76E-05
GPC1	8199.898649	-1.168587099	0.228311645	-5.118385878	3.08E-07	2.85E-05
TMEM132C	2048.072976	2.957808074	0.579039068	5.108132137	3.25E-07	2.98E-05
GHR	5481.470222	2.039773399	0.399706054	5.103183651	3.34E-07	3.03E-05
AOC3	16397.2376	1.807091184	0.354944567	5.091192687	3.56E-07	3.20E-05
CSRP1	33345.86132	-1.676208024	0.331084429	-5.062781199	4.13E-07	3.62E-05
MARC1	1812.76746	1.784840012	0.352463552	5.063899524	4.11E-07	3.62E-05
GNS	11632.06303	1.188410809	0.234790445	5.061580794	4.16E-07	3.62E-05
COL6A2	48638.57671	1.010745128	0.19970737	5.061130843	4.17E-07	3.62E-05
FZD1	13692.03893	-2.149003672	0.425945407	-5.045256116	4.53E-07	3.90E-05
ACAA2	2451.103828	1.638774084	0.325578015	5.033429809	4.82E-07	4.11E-05
NQO1	5187.793791	2.785200277	0.555904451	5.010214027	5.44E-07	4.60E-05
WISP2	3801.008017	2.457789934	0.491798828	4.997551429	5.81E-07	4.87E-05
ARGLU1	3046.934906	-1.71109596	0.342629913	-4.994006349	5.91E-07	4.92E-05
TMC6	2356.730425	-1.661850058	0.333197621	-4.987580802	6.11E-07	5.01E-05
TMEM37	910.3078005	2.933528676	0.588109868	4.988062329	6.10E-07	5.01E-05
SRPX2	4296.896351	2.07508438	0.416515807	4.982006317	6.29E-07	5.11E-05
NCOA4	7875.095761	1.215079454	0.244287857	4.973965827	6.56E-07	5.28E-05
CHRDL1	10902.05656	1.005347017	0.203481354	4.940732873	7.78E-07	6.22E-05
FAM46C	2873.85463	2.522697628	0.511104765	4.935774038	7.98E-07	6.23E-05
PEX11A	815.4549727	2.610204968	0.528508982	4.938809098	7.86E-07	6.23E-05
A4GALT	4394.020677	-1.651438368	0.33452992	-4.936593917	7.95E-07	6.23E-05
SLC1A5	3542.377635	2.105000916	0.427972747	4.918539633	8.72E-07	6.75E-05
SIK2	7729.516584	1.727996412	0.352439302	4.902961738	9.44E-07	7.25E-05
PFKFB3	11911.28379	2.204611755	0.450521714	4.893463928	9.91E-07	7.55E-05
PLK2	3348.808103	-1.493394702	0.306937348	-4.865470793	1.14E-06	8.64E-05
TSKU	3502.559202	2.730177832	0.561585572	4.861552665	1.16E-06	8.75E-05
LOC440300	1161.081813	-2.157104014	0.444632816	-4.851427825	1.23E-06	9.14E-05
FGL2	13504.87913	-2.165376549	0.446950888	-4.844775137	1.27E-06	9.38E-05
PDZRN4	3887.830607	-2.636310973	0.544486578	-4.841829127	1.29E-06	9.45E-05
DOCK11	6857.456098	1.572188856	0.325452649	4.830776032	1.36E-06	9.92E-05
PLXNB1	4673.452351	-1.459868539	0.302485463	-4.826243628	1.39E-06	1.00E-04
KLRG2	693.8920618	-3.581839101	0.742069259	-4.826825873	1.39E-06	1.00E-04
DHDDS	3268.215412	1.851583015	0.384144695	4.820014544	1.44E-06	0.000101695
ITGB5	8245.310583	1.302378158	0.270186785	4.820288157	1.43E-06	0.000101695
LIPE	10089.88794	3.281993414	0.682254835	4.810509572	1.51E-06	0.000105902
FTH1	25832.67008	1.354733437	0.281946341	4.804933557	1.55E-06	0.000108135
KANK1	7514.104079	1.383507195	0.288342022	4.79814627	1.60E-06	0.000111087
NEBL	2768.563706	-2.100023415	0.438174958	-4.792659585	1.65E-06	0.000113382
EPB41L3	3732.904239	1.598912383	0.334421269	4.781132451	1.74E-06	0.000118448
MTSS1	7144.212414	-1.213486481	0.253757147	-4.782078052	1.73E-06	0.000118448
ARHGEF25	2812.695983	-1.691765608	0.354732767	-4.76912697	1.85E-06	0.00012488
FAH	1462.795202	2.449213381	0.514028654	4.764740954	1.89E-06	0.000126771
HMOX1	886.0203759	2.572458606	0.540451565	4.759831914	1.94E-06	0.000128782
PTPN13	9122.575709	-1.054906138	0.221671364	-4.758874205	1.95E-06	0.000128782
SORCS2	4670.613803	-2.237079541	0.470750646	-4.752153949	2.01E-06	0.000132263
DKK3	12702.29647	-1.742543205	0.36722363	-4.745182663	2.08E-06	0.000136006
MAPT	1033.782464	2.215753239	0.468029648	4.73421555	2.20E-06	0.000142638
ORMDL3	3008.109342	1.806835749	0.383523703	4.711144926	2.46E-06	0.000158747
ITGA6	39048.7541	-1.853375494	0.394698329	-4.695676063	2.66E-06	0.00017015
PALM	4605.82185	1.405868063	0.299575035	4.692874559	2.69E-06	0.000171399
GPX1	2328.024959	1.6001188	0.341426996	4.686562047	2.78E-06	0.00017565
CAT	7558.165011	1.787365251	0.383208968	4.66420517	3.10E-06	0.00019342
TMEM164	1760.955423	2.27929441	0.488660754	4.664369687	3.10E-06	0.00019342
HSPB7	5915.457179	2.139955496	0.459070169	4.661499789	3.14E-06	0.000193561
RGS6	2188.46672	-2.633993271	0.565023474	-4.661741314	3.14E-06	0.000193561
PXDN	5599.412503	1.828882856	0.392578627	4.658640922	3.18E-06	0.000195064
GAB1	11241.00264	-1.775815336	0.384724574	-4.615809475	3.92E-06	0.000238497
FZD2	1306.807021	-2.719025998	0.589643062	-4.61130839	4.00E-06	0.000242244
PC	3431.720081	2.130818606	0.462509037	4.607085347	4.08E-06	0.000245725
KCNMA1	2509.96161	-1.591567035	0.345573035	-4.605588038	4.11E-06	0.000246018
LGALS12	1679.90966	3.176293426	0.690104694	4.602625445	4.17E-06	0.000248059
PCYT2	1669.354347	1.796836188	0.390639103	4.599734572	4.23E-06	0.000250038
TSPAN11	3378.505286	-1.433227108	0.313207555	-4.575965959	4.74E-06	0.000278533
GPT2	1886.550848	2.718404893	0.594762457	4.570572435	4.86E-06	0.000284128
CHP1	4608.34095	1.865031477	0.408344573	4.567298311	4.94E-06	0.000286923
TLE2	4708.482347	-1.672767302	0.366723693	-4.561383226	5.08E-06	0.000293421
AIFM2	2654.693369	2.047208719	0.44998263	4.549528323	5.38E-06	0.000306898
FASN	72778.52458	2.943243298	0.64684983	4.550118375	5.36E-06	0.000306898
C7	11949.83816	1.885386415	0.415073194	4.542298661	5.56E-06	0.000315812
GSPT1	5562.554981	1.453075356	0.320083364	4.539677852	5.63E-06	0.000317956
MYH14	2482.105373	1.734908761	0.383333038	4.525852427	6.02E-06	0.000337564
CRYAB	9753.742916	1.91387986	0.423733913	4.51670211	6.28E-06	0.000350509
RTN3	6677.917645	1.315187326	0.291442986	4.512674486	6.40E-06	0.000355249
SEMA3G	5981.633293	1.291792996	0.287246267	4.497161993	6.89E-06	0.000380059
MYH11	78762.42847	-1.832165356	0.407695375	-4.493956686	6.99E-06	0.000381647
COL15A1	16048.33007	1.171361188	0.260653659	4.493937245	6.99E-06	0.000381647
ACACA	7672.801269	1.61715191	0.360524605	4.485552132	7.27E-06	0.000394297
EBF2	6148.349161	-1.279631609	0.285334322	-4.484674682	7.30E-06	0.000394297
BOK	2160.173032	2.525012487	0.563870431	4.47800124	7.53E-06	0.000404636
ANKRD44	1539.23487	-1.715282721	0.383475756	-4.472988688	7.71E-06	0.000412027
LGMN	4768.19869	2.108576823	0.47238794	4.463655072	8.06E-06	0.00042811
ARHGAP21	14947.24553	1.053776101	0.236153348	4.462253489	8.11E-06	0.00042864
TJP1	32235.27803	-1.279715635	0.287534787	-4.450646294	8.56E-06	0.000445407
ELL2	2777.741507	1.935034788	0.434574772	4.452708516	8.48E-06	0.000445407
ALAS2	1660.282502	3.134220725	0.704125702	4.45122329	8.54E-06	0.000445407
ELOVL5	10478.73294	1.792731786	0.403774502	4.439933121	9.00E-06	0.00046574
USP53	11256.51277	-1.374227206	0.310529228	-4.425435946	9.62E-06	0.000495576
SCARA5	7214.017586	2.222180549	0.503417129	4.414193359	1.01E-05	0.000519363
FBLN2	17219.64361	1.582183646	0.358689556	4.411011193	1.03E-05	0.000524366
CTSB	18688.29478	1.269377218	0.288270393	4.403425566	1.07E-05	0.000540293
SH3KBP1	4749.762675	1.295227219	0.294793595	4.393674896	1.11E-05	0.000562262
B2M	30454.43501	0.748020143	0.170497703	4.387274031	1.15E-05	0.00057615
GPC6	5407.394484	-1.422403538	0.326367818	-4.358283692	1.31E-05	0.000653793
AMT	444.6919506	-2.515998713	0.577395135	-4.357498979	1.32E-05	0.000653793
ACACB	21218.52705	1.821119903	0.418059379	4.356127367	1.32E-05	0.000654644
ANKRD33B	3106.043647	-1.529510768	0.351518075	-4.351158244	1.35E-05	0.000663095
EEPD1	1405.210367	1.772144852	0.407262872	4.351353821	1.35E-05	0.000663095
YWHAG	14776.10187	1.6798324	0.387044223	4.340156244	1.42E-05	0.00069378
CCDC69	6696.300887	1.45358394	0.335116454	4.337548696	1.44E-05	0.000698651
C1S	24445.32851	1.255791873	0.29023797	4.326766326	1.51E-05	0.000730183
SERPINH1	4637.147956	1.213341219	0.281102835	4.316360667	1.59E-05	0.000758126
ALDOC	1694.500033	1.808555162	0.418966463	4.31670628	1.58E-05	0.000758126
EPB41	4401.273509	2.552420686	0.591619254	4.31429618	1.60E-05	0.0007616
PAPLN	5902.31895	-1.941806467	0.450322842	-4.312031912	1.62E-05	0.000762185
MAPK8IP3	2271.696116	-1.704466388	0.395279181	-4.312057068	1.62E-05	0.000762185
TK2	4764.060722	1.459108336	0.338514077	4.310332825	1.63E-05	0.000764459
RPL23AP7	1196.320629	-2.084174124	0.484455174	-4.302099006	1.69E-05	0.000789727
HEBP2	1919.257651	1.839894563	0.428439772	4.294406554	1.75E-05	0.000813807
BHLHE41	2659.117629	1.713582937	0.399528421	4.289013869	1.79E-05	0.000829957
ADAMTSL4	4456.698551	-1.257520486	0.293718078	-4.281386066	1.86E-05	0.00085497
MAN1A1	5791.852722	1.727632954	0.403952149	4.276825748	1.90E-05	0.000868663
KIAA1217	6927.723803	-1.130767364	0.264670953	-4.272351586	1.93E-05	0.000882235
LAMC2	1284.79912	-2.764527327	0.647702673	-4.268204289	1.97E-05	0.000890661
FIBIN	2892.418445	-2.064411169	0.483589405	-4.268933829	1.96E-05	0.000890661
EPHX1	9573.09963	1.74526376	0.409482512	4.262120386	2.02E-05	0.000911142
RASSF8	5588.600887	-1.128859526	0.265045367	-4.259118124	2.05E-05	0.000917606
ZNF106	13812.65975	1.330639075	0.312463972	4.258536005	2.06E-05	0.000917606
CS	3771.894477	1.35701335	0.319040509	4.253420207	2.11E-05	0.00093466
GPD1	26468.47069	2.981066787	0.701663764	4.248568818	2.15E-05	0.000950902
BNIP3	2314.883083	1.424866954	0.336469922	4.234752824	2.29E-05	0.001006835
SGMS2	3029.676067	-1.433289482	0.338761351	-4.230971095	2.33E-05	0.001019424
GPX4	8130.387962	2.155668762	0.509966704	4.227077466	2.37E-05	0.001032689
NPR1	3942.850164	1.636206828	0.387387092	4.223699917	2.40E-05	0.001043738
INSIG1	6111.471927	2.132059325	0.505212168	4.220126633	2.44E-05	0.001055829
RNF144A	2123.070984	-1.406128067	0.334229909	-4.207068343	2.59E-05	0.001113881
ECHDC1	3681.956405	2.173004414	0.516922114	4.203736604	2.63E-05	0.001125561
THY1	2623.727648	1.901270599	0.452706774	4.19978385	2.67E-05	0.001140496
COL6A3	37998.7666	1.52770328	0.364042459	4.196497535	2.71E-05	0.001152239
LDHB	4617.320195	1.483835682	0.354158774	4.189747055	2.79E-05	0.001182027
LPGAT1	4366.783905	1.174975066	0.281479018	4.174290058	2.99E-05	0.001259865
AIM1	4435.632961	1.830614677	0.439118777	4.168837165	3.06E-05	0.001284962
FUT8	3796.398019	-1.186675915	0.284968469	-4.164235851	3.12E-05	0.001305663
EMP1	17014.59441	1.286510666	0.30920033	4.160767446	3.17E-05	0.001320129
MATN2	18564.32925	-1.549366844	0.372554996	-4.158760074	3.20E-05	0.001326256
NME4	1607.745729	1.740739236	0.418829106	4.156204074	3.24E-05	0.001335632
UBB	6684.861261	1.275896152	0.308052994	4.141807335	3.45E-05	0.001416464
NMT2	1830.193659	2.076303676	0.501717011	4.138396011	3.50E-05	0.001431793
HSP90AA1	20295.66591	0.774062221	0.187111713	4.136898793	3.52E-05	0.001435282
ADH1B	37984.33597	1.750990884	0.423663721	4.132973384	3.58E-05	0.001454091
ANGPTL2	7868.650461	1.733487027	0.419589356	4.131389425	3.61E-05	0.001458221
ITGB4	25607.38288	-1.575935994	0.38247273	-4.120387861	3.78E-05	0.001523464
JAK1	10673.15161	1.056462431	0.256754679	4.114676447	3.88E-05	0.001555407
CD9	5505.424226	-1.267471422	0.30846252	-4.108996527	3.97E-05	0.00158778
USP54	4438.959102	-1.600272366	0.389550295	-4.107999368	3.99E-05	0.001588296
MMP24-AS1	1236.018212	1.781033013	0.433699276	4.106608225	4.02E-05	0.001591547
STAT5A	5191.381552	1.493845382	0.364299257	4.100599588	4.12E-05	0.001626987
FSTL1	39964.23589	1.163965191	0.284684901	4.088608795	4.34E-05	0.001706656
BMP3	1679.243413	-2.838820606	0.694660607	-4.086629611	4.38E-05	0.001714524
OLFM2	1349.082357	2.552393043	0.6248892	4.084552979	4.42E-05	0.001723171
MSR1	1204.186985	2.370968742	0.580673693	4.083134416	4.44E-05	0.001726982
ARHGEF10	10933.91688	-1.248157749	0.306400255	-4.073618506	4.63E-05	0.001792146
DOK6	1194.40877	-1.658058113	0.40739211	-4.069931829	4.70E-05	0.001813713
APMAP	3235.162164	1.577019008	0.387704818	4.067576504	4.75E-05	0.001825091
MYO5B	1470.914827	-2.590561029	0.638628779	-4.056442671	4.98E-05	0.001906934
PRRX1	10131.39102	1.440427337	0.355412513	4.05283237	5.06E-05	0.001914606
KCTD1	843.5955191	-1.913139967	0.47195096	-4.053683816	5.04E-05	0.001914606
ARHGEF6	9632.329969	1.46519191	0.361388283	4.054342591	5.03E-05	0.001914606
ITM2A	2449.745727	1.541157835	0.380765068	4.047529476	5.18E-05	0.001951099
DCLK1	3334.845832	1.673349248	0.41425156	4.039451892	5.36E-05	0.002011929
BICD1	1870.34104	-1.605179458	0.397894431	-4.034184273	5.48E-05	0.002049889
PARVB	1465.9226	1.434753569	0.356069873	4.029415791	5.59E-05	0.002084109
BCL2L13	3797.267486	1.237694002	0.307336344	4.027164465	5.65E-05	0.002096336
ACLY	13674.17935	1.57046464	0.390305166	4.023683976	5.73E-05	0.002119695
GSN	112309.7318	1.258135153	0.312758074	4.022710384	5.75E-05	0.002120625
EPB41L1	5011.504276	1.337946099	0.332926855	4.018738884	5.85E-05	0.002148754
SOX13	5239.125934	-1.106634174	0.275573891	-4.01574391	5.93E-05	0.002168256
PDXK	9861.339583	1.236279017	0.308666039	4.005231739	6.20E-05	0.002258707
FABP4	16307.12445	2.7756411	0.695874825	3.988707449	6.64E-05	0.002413135
ECHS1	3999.894589	1.457875339	0.365740669	3.986090318	6.72E-05	0.002431053
COL8A2	2080.994612	-1.879543029	0.471708988	-3.984539357	6.76E-05	0.002438151
ADRA2A	4213.30336	1.465204527	0.368176123	3.979629416	6.90E-05	0.002480103
DACT1	2995.856739	-1.422866021	0.35770456	-3.977768754	6.96E-05	0.002485317
TJP2	5547.921729	0.973769301	0.244824034	3.977425275	6.97E-05	0.002485317
CYBRD1	17867.80715	0.742595278	0.186796441	3.975425199	7.03E-05	0.002497379
DHCR24	8722.249337	1.634147032	0.411274488	3.973373212	7.09E-05	0.002501199
LRP1	177076.7774	1.101552282	0.277230658	3.973414379	7.08E-05	0.002501199
ACOX1	5213.985037	1.390849825	0.35050454	3.968136405	7.24E-05	0.002547788
HTRA1	10167.99656	0.868693828	0.219314902	3.960943005	7.47E-05	0.00261657
SYT11	4082.719172	-1.778938127	0.45043552	-3.94937355	7.84E-05	0.002733438
FLVCR2	864.5508697	-2.176980604	0.551298456	-3.948824056	7.85E-05	0.002733438
PEX19	4230.973283	1.81343081	0.460113295	3.941270181	8.11E-05	0.002811184
FGFRL1	2598.941825	1.515842455	0.3847473	3.9398391	8.15E-05	0.002818221
LENG8	7279.718751	-1.234940547	0.313786004	-3.935613861	8.30E-05	0.00285838
RGL1	10759.71658	-1.111327524	0.2825934	-3.932602544	8.40E-05	0.002884491
GFRA1	11025.2722	-1.223067365	0.311486082	-3.926555429	8.62E-05	0.002947817
PTCH1	8226.321512	-1.730534508	0.441237724	-3.922000352	8.78E-05	0.002993866
EHHADH	620.4830909	2.306289584	0.588916181	3.916159305	9.00E-05	0.003056865
HILPDA	3174.589535	1.553162876	0.396795667	3.914263704	9.07E-05	0.003070534
CD276	2432.577502	1.274504868	0.326322383	3.905661804	9.40E-05	0.003171098
SMYD2	647.8675028	1.914921343	0.490591007	3.903294836	9.49E-05	0.003172732
DSEL	3036.507253	1.591374558	0.407720866	3.903098153	9.50E-05	0.003172732
FLNB	49021.65735	-1.238831849	0.317326873	-3.90396135	9.46E-05	0.003172732
DCUN1D3	2038.006455	1.320880608	0.33967852	3.88861977	0.000100816	0.003356834
VLDLR	2195.748842	1.971491869	0.508506104	3.877026953	0.000105741	0.003509114
TRIM8	13773.95704	1.062076975	0.274434227	3.870060186	0.000108808	0.003598967
NFKBIA	4158.995397	-1.023695034	0.264756357	-3.866555075	0.000110384	0.003639014
TAGLN	43413.70177	-1.298104356	0.336160321	-3.861563292	0.000112664	0.00370197
PTPLB	984.6436502	1.903995948	0.493554473	3.857722	0.000114449	0.003748289
RASGEF1C	540.3760198	-2.587294451	0.670830106	-3.856855003	0.000114855	0.003749311
CCDC3	8593.59657	-1.044254873	0.270980667	-3.853613932	0.000116387	0.003762429
KIAA0100	10888.09224	0.805711445	0.20905418	3.85407958	0.000116166	0.003762429
SLC23A2	4426.100854	-1.151782704	0.298840385	-3.854173538	0.000116121	0.003762429
DGAT1	1353.639065	1.870500844	0.485493753	3.852780459	0.000116784	0.003763085
GYS1	1522.088928	1.780177293	0.462357739	3.850216275	0.000118014	0.003790474
C2orf40	1968.975199	-1.612728792	0.420967492	-3.831005535	0.000127621	0.004085905
COL12A1	23296.87983	1.064971993	0.278135345	3.828970362	0.000128681	0.004106676
SETD7	9962.531393	1.183399978	0.309291925	3.826158664	0.000130158	0.004140613
C19orf12	1506.699251	1.559404086	0.408379553	3.818516561	0.000134257	0.004257425
STMN1	2337.537168	-1.985422554	0.520892248	-3.811580156	0.000138081	0.004341522
SCARNA10	3641.532489	-1.871455116	0.491022166	-3.811345489	0.000138212	0.004341522
MAP2K1	2882.283168	1.571492055	0.412202158	3.812430437	0.000137607	0.004341522
CYP4B1	1646.834207	-1.726079712	0.453412464	-3.806864277	0.00014074	0.004401299
