"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,1
"cellular response to biotic stimulus",0,0,0,1,1
"cellular response to molecule of bacterial origin",0,0,0,1,1
"negative regulation of metabolic process",0,0,0,1,1
"myeloid leukocyte mediated immunity",0,0,0,1,1
"regulation of leukocyte differentiation",0,0,0,1,1
"protein phosphorylation",0,0,0,1,1
"phosphate-containing compound metabolic process",0,0,0,1,1
"adaptive immune response",0,0,0,1,1
"regulation of canonical NF-kappaB signal transduction",0,0,0,1,1
"phosphorus metabolic process",0,0,0,1,1
"interleukin-6 production",0,0,0,1,1
"regulation of interleukin-6 production",0,0,0,1,1
"transmembrane transport",0,0,0,1,1
"cellular response to lipopolysaccharide",0,0,0,1,1
"CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"pattern recognition receptor signaling pathway",0,0,0,1,1
"production of molecular mediator of immune response",0,0,0,1,1
"leukocyte proliferation",0,0,0,1,1
"cellular response to lipid",0,0,0,1,1
"T cell differentiation involved in immune response",0,0,0,1,1
"neutrophil migration",0,0,0,1,1
"myeloid leukocyte differentiation",0,0,0,1,1
"granulocyte chemotaxis",0,0,0,1,1
"antigen receptor-mediated signaling pathway",0,0,0,1,1
"innate immune response-activating signaling pathway",0,0,0,1,1
"lymphocyte proliferation",0,0,0,1,1
"activation of innate immune response",0,0,0,1,1
"nitrogen compound transport",0,0,0,1,1
"alpha-beta T cell differentiation",0,0,0,1,1
"tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"regulation of tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"regulation of adaptive immune response",0,0,0,1,1
"regulation of leukocyte proliferation",0,0,0,1,1
"cytokine production involved in immune response",0,0,0,1,1
"regulation of cytokine production involved in immune response",0,0,0,1,1
"regulation of production of molecular mediator of immune response",0,0,0,1,1
"regulation of lymphocyte proliferation",0,0,0,1,1
"neutrophil mediated immunity",0,0,0,1,1
"multicellular organismal-level homeostasis",0,0,0,1,1
"mononuclear cell proliferation",0,0,0,1,1
"alpha-beta T cell activation involved in immune response",0,0,0,1,1
"embryonic morphogenesis",0,0,0,1,1
"regulation of protein modification process",0,0,0,1,1
"regulation of mononuclear cell proliferation",0,0,0,1,1
"positive regulation of canonical NF-kappaB signal transduction",0,0,0,1,1
"positive regulation of leukocyte proliferation",0,0,0,1,1
"negative regulation of transport",0,0,0,1,1
"intracellular protein localization",0,0,0,1,1
"macrophage activation",0,0,0,1,1
"non-canonical NF-kappaB signal transduction",0,0,0,1,1
"type II interferon production",0,0,0,1,1
"regulation of type II interferon production",0,0,0,1,1
"alpha-beta T cell differentiation involved in immune response",0,0,0,1,1
"tumor necrosis factor production",0,0,0,1,1
"regulation of tumor necrosis factor production",0,0,0,1,1
"ribosome biogenesis",0,0,0,1,1
"positive regulation of leukocyte differentiation",0,0,0,1,1
"positive regulation of hemopoiesis",0,0,0,1,1
"lymphocyte mediated immunity",0,0,0,1,1
"extrinsic apoptotic signaling pathway",0,0,0,1,1
"hormone transport",0,0,0,1,1
"negative regulation of cytokine production",0,0,0,1,1
"signal release",0,0,0,1,1
"heterotypic cell-cell adhesion",0,0,0,1,1
"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,1
"negative regulation of macromolecule metabolic process",0,0,0,1,1
"leukocyte degranulation",0,0,0,1,1
"regulation of cell cycle",0,0,0,1,1
"cell cycle",0,0,0,1,1
"positive regulation of type II interferon production",0,0,0,1,1
"T-helper 1 type immune response",0,0,0,1,1
"positive regulation of cytokine production involved in immune response",0,0,0,1,1
"T-helper cell differentiation",0,0,0,1,1
"negative regulation of immune response",0,0,0,1,1
"CD4-positive, alpha-beta T cell differentiation",0,0,0,1,1
"CD4-positive, alpha-beta T cell differentiation involved in immune response",0,0,0,1,1
"macromolecule modification",0,0,0,1,1
"embryo development ending in birth or egg hatching",0,0,0,1,1
"neutrophil chemotaxis",0,0,0,1,1
"regulation of hormone levels",0,0,0,1,1
"positive regulation of lymphocyte proliferation",0,0,0,1,1
"regulation of phosphorylation",0,0,0,1,1
"positive regulation of secretion",0,0,0,1,1
"vesicle-mediated transport",0,0,0,1,1
"positive regulation of secretion by cell",0,0,0,1,1
"intrinsic apoptotic signaling pathway",0,0,0,1,1
"positive regulation of mononuclear cell proliferation",0,0,0,1,1
"positive regulation of interleukin-1 production",0,0,0,1,1
"negative regulation of protein metabolic process",0,0,0,1,1
"interleukin-1-mediated signaling pathway",0,0,0,1,1
"regulation of myeloid cell differentiation",0,0,0,1,1
"temperature homeostasis",0,0,0,1,1
"negative regulation of biosynthetic process",0,0,0,1,1
"amide transport",0,0,0,1,1
"negative regulation of MAPK cascade",0,0,0,1,1
"negative regulation of macromolecule biosynthetic process",0,0,0,1,1
"negative regulation of apoptotic signaling pathway",0,0,0,1,1
"positive regulation of interleukin-1 beta production",0,0,0,1,1
"regulation of lymphocyte mediated immunity",0,0,0,1,1
"regulation of intrinsic apoptotic signaling pathway",0,0,0,1,1
"leukocyte mediated cytotoxicity",0,0,0,1,1
"hormone secretion",0,0,0,1,1
"positive regulation of interleukin-6 production",0,0,0,1,1
"regulation of protein localization",0,0,0,1,1
"chordate embryonic development",0,0,0,1,1
"regulation of response to cytokine stimulus",0,0,0,1,1
"negative regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"negative regulation of cell-cell adhesion",0,0,0,1,1
"regulation of neutrophil migration",0,0,0,1,1
"protein transport",0,0,0,1,1
"reactive oxygen species metabolic process",0,0,0,1,1
"regulation of extrinsic apoptotic signaling pathway",0,0,0,1,1
"regulation of reactive oxygen species metabolic process",0,0,0,1,1
"regulation of phagocytosis",0,0,0,1,1
"positive regulation of production of molecular mediator of immune response",0,0,0,1,1
"protein modification process",0,0,0,1,1
"cellular homeostasis",0,0,0,1,1
"response to temperature stimulus",0,0,0,1,1
"T cell mediated immunity",0,0,0,1,1
"toll-like receptor signaling pathway",0,0,0,1,1
"protein localization to extracellular region",0,0,0,1,1
"anterior/posterior pattern specification",0,0,0,1,1
"peptide transport",0,0,0,1,1
"neuroinflammatory response",0,0,0,1,1
"cell killing",0,0,0,1,1
"regulation of phosphate metabolic process",0,0,0,1,1
"protein secretion",0,0,0,1,1
"regulation of hormone secretion",0,0,0,1,1
"establishment of protein localization",0,0,0,1,1
"T cell receptor signaling pathway",0,0,0,1,1
"regulation of alpha-beta T cell activation",0,0,0,1,1
"regulation of protein phosphorylation",0,0,0,1,1
"regulation of phosphorus metabolic process",0,0,0,1,1
"establishment of protein localization to extracellular region",0,0,0,1,1
"cellular response to nitrogen compound",0,0,0,1,1
"regulation of protein transport",0,0,0,1,1
"regulation of peptide transport",0,0,0,1,1
"positive regulation of leukocyte mediated immunity",0,0,0,1,1
"positive regulation of response to cytokine stimulus",0,0,0,1,1
"regulation of lymphocyte apoptotic process",0,0,0,1,1
"positive regulation of tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"negative regulation of defense response",0,0,0,1,1
"mast cell activation",0,0,0,1,1
"negative regulation of RNA metabolic process",0,0,0,1,1
"interleukin-8 production",0,0,0,1,1
"regulation of interleukin-8 production",0,0,0,1,1
"intracellular chemical homeostasis",0,0,0,1,1
"regulation of T cell proliferation",0,0,0,1,1
"defense response to bacterium",0,0,0,1,1
"regulation of establishment of protein localization",0,0,0,1,1
"negative regulation of interleukin-12 production",0,0,0,1,1
"osteoclast differentiation",0,0,0,1,1
"positive regulation of lymphocyte differentiation",0,0,0,1,1
"regulation of CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"neutrophil activation",0,0,0,1,1
"negative regulation of DNA-templated transcription",0,0,0,1,1
"regulation of peptide secretion",0,0,0,1,1
"chemokine production",0,0,0,1,1
"regulation of chemokine production",0,0,0,1,1
"peptide secretion",0,0,0,1,1
"T cell proliferation",0,0,0,1,1
"negative regulation of RNA biosynthetic process",0,0,0,1,1
"positive regulation of T cell differentiation",0,0,0,1,1
"regulation of lymphocyte differentiation",0,0,0,1,1
"positive regulation of apoptotic signaling pathway",0,0,0,1,1
"skeletal system morphogenesis",0,0,0,1,1
"regulation of leukocyte apoptotic process",0,0,0,1,1
"neutrophil mediated cytotoxicity",0,0,0,1,1
"mitotic cell cycle",0,0,0,1,1
"response to radiation",0,0,0,1,1
"positive regulation of tumor necrosis factor production",0,0,0,1,1
"response to fungus",0,0,0,1,1
"epithelial to mesenchymal transition",0,0,0,1,1
"monoatomic ion transmembrane transport",0,0,0,1,1
"T cell cytokine production",0,0,0,1,1
"regulation of T cell cytokine production",0,0,0,1,1
"positive regulation of smooth muscle cell proliferation",0,0,0,1,1
"positive regulation of neutrophil migration",0,0,0,1,1
"rRNA processing",0,0,0,1,1
"regulation of neutrophil mediated cytotoxicity",0,0,0,1,1
"small molecule metabolic process",0,0,0,1,1
"glial cell activation",0,0,0,1,1
"regulation of T cell differentiation",0,0,0,1,1
"response to heat",0,0,0,1,1
"cold-induced thermogenesis",0,0,0,1,1
"defense response to fungus",0,0,0,1,1
"smooth muscle cell proliferation",0,0,0,1,1
"regulation of protein secretion",0,0,0,1,1
"response to osmotic stress",0,0,0,1,1
"peptidyl-amino acid modification",0,0,0,1,1
"response to reactive oxygen species",0,0,0,1,1
"negative regulation of transcription by RNA polymerase II",0,0,0,1,1
"interleukin-12 production",0,0,0,1,1
"regulation of interleukin-12 production",0,0,0,1,1
"regulation of organic acid transport",0,0,0,1,1
"Fc-gamma receptor signaling pathway",0,0,0,1,1
"positive regulation of chemokine production",0,0,0,1,1
"regulation of cytokine-mediated signaling pathway",0,0,0,1,1
"regulated exocytosis",0,0,0,1,1
"regulation of smooth muscle cell proliferation",0,0,0,1,1
"regulation of myeloid leukocyte mediated immunity",0,0,0,1,1
"cellular response to hormone stimulus",0,0,0,1,1
"natural killer cell mediated immunity",0,0,0,1,1
"positive regulation of phagocytosis",0,0,0,1,1
"response to insulin",0,0,0,1,1
"calcium ion transport",0,0,0,1,1
"small molecule biosynthetic process",0,0,0,1,1
"rRNA metabolic process",0,0,0,1,1
"regulation of T cell mediated immunity",0,0,0,1,1
"cell cycle process",0,0,0,1,1
"regulation of heterotypic cell-cell adhesion",0,0,0,1,1
"Fc receptor signaling pathway",0,0,0,1,1
"positive regulation of CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"JNK cascade",0,0,0,1,1
"exocytosis",0,0,0,1,1
"regulation of transmembrane transport",0,0,0,1,1
"CD4-positive, alpha-beta T cell cytokine production",0,0,0,1,1
"monoatomic ion homeostasis",0,0,0,1,1
"regulation of pattern recognition receptor signaling pathway",0,0,0,1,1
"leukocyte apoptotic process",0,0,0,1,1
"positive regulation of B cell proliferation",0,0,0,1,1
"monoatomic cation homeostasis",0,0,0,1,1
"regulation of collagen biosynthetic process",0,0,0,1,1
"myeloid cell activation involved in immune response",0,0,0,1,1
"regulation of nitric oxide metabolic process",0,0,0,1,1
"peptide hormone secretion",0,0,0,1,1
"regulation of transferase activity",0,0,0,1,1
"B cell activation",0,0,0,1,1
"negative regulation of protein processing",0,0,0,1,1
"negative regulation of protein maturation",0,0,0,1,1
"catabolic process",0,0,0,1,1
"lipopolysaccharide-mediated signaling pathway",0,0,0,1,1
"interleukin-2 production",0,0,0,1,1
"regulation of interleukin-2 production",0,0,0,1,1
"regulation of endocytosis",0,0,0,1,1
"lymphocyte apoptotic process",0,0,0,1,1
"granulocyte activation",0,0,0,1,1
"muscle cell proliferation",0,0,0,1,1
"negative regulation of immune effector process",0,0,0,1,1
"negative regulation of cell activation",0,0,0,1,1
"B cell proliferation",0,0,0,1,1
"regulation of muscle system process",0,0,0,1,1
"regulation of peptide hormone secretion",0,0,0,1,1
"positive regulation of extrinsic apoptotic signaling pathway",0,0,0,1,1
"ribosomal small subunit biogenesis",0,0,0,1,1
"negative regulation of hormone secretion",0,0,0,1,1
"cytokine production involved in inflammatory response",0,0,0,1,1
"regulation of cytokine production involved in inflammatory response",0,0,0,1,1
"positive regulation of endocytosis",0,0,0,1,1
"regulation of molecular function",0,0,0,1,1
"negative regulation of secretion",0,0,0,1,1
"positive regulation of nitric oxide metabolic process",0,0,0,1,1
"negative regulation of leukocyte activation",0,0,0,1,1
"regulation of blood circulation",0,0,0,1,1
"positive regulation of alpha-beta T cell activation",0,0,0,1,1
"regulation of muscle cell apoptotic process",0,0,0,1,1
"protein complex oligomerization",0,0,0,1,1
"T-helper 17 type immune response",0,0,0,1,1
"regulation of nitric oxide biosynthetic process",0,0,0,1,1
"regulation of cold-induced thermogenesis",0,0,0,1,1
"regulation of protein kinase activity",0,0,0,1,1
"positive regulation of cytokine-mediated signaling pathway",0,0,0,1,1
"T-helper 1 cell differentiation",0,0,0,1,1
"regulation of kinase activity",0,0,0,1,1
"cellular response to peptide hormone stimulus",0,0,0,1,1
"negative regulation of lymphocyte activation",0,0,0,1,1
"positive regulation of miRNA metabolic process",0,0,0,1,1
"inorganic ion transmembrane transport",0,0,0,1,1
"inorganic ion homeostasis",0,0,0,1,1
"T-helper 2 cell differentiation",0,0,0,1,1
"regulation of fat cell differentiation",0,0,0,1,1
"positive regulation of acute inflammatory response",0,0,0,1,1
"regulation of T-helper 1 type immune response",0,0,0,1,1
"regulation of T-helper cell differentiation",0,0,0,1,1
"dendritic cell differentiation",0,0,0,1,1
"organelle organization",0,0,0,1,1
"positive regulation of T cell proliferation",0,0,0,1,1
"negative regulation of intrinsic apoptotic signaling pathway",0,0,0,1,1
"positive regulation of reactive oxygen species metabolic process",0,0,0,1,1
"response to oxidative stress",0,0,0,1,1
"negative regulation of protein modification process",0,0,0,1,1
"reproductive process",0,0,0,1,1
"astrocyte development",0,0,0,1,1
"leukotriene metabolic process",0,0,0,1,1
"regulation of collagen metabolic process",0,0,0,1,1
"regulation of mitotic cell cycle",0,0,0,1,1
"regulation of B cell proliferation",0,0,0,1,1
"regulation of reproductive process",0,0,0,1,1
"mammary gland alveolus development",0,0,0,1,1
"mammary gland lobule development",0,0,0,1,1
"positive regulation of cytosolic calcium ion concentration",0,0,0,1,1
"negative regulation of establishment of protein localization",0,0,0,1,1
"regulation of insulin secretion",0,0,0,1,1
"positive regulation of adaptive immune response",0,0,0,1,1
"negative regulation of secretion by cell",0,0,0,1,1
"regulation of protein modification by small protein conjugation or removal",0,0,0,1,1
"detection of external biotic stimulus",0,0,0,1,1
"regulation of B cell activation",0,0,0,1,1
"muscle cell apoptotic process",0,0,0,1,1
"microglial cell activation",0,0,0,1,1
"positive regulation of nitric oxide biosynthetic process",0,0,0,1,1
"potassium ion import across plasma membrane",0,0,0,1,1
"cell surface pattern recognition receptor signaling pathway",0,0,0,1,1
"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,1
"neutrophil-mediated killing of symbiont cell",0,0,0,1,1
"gastrulation",0,0,0,1,1
"mitotic cell cycle process",0,0,0,1,1
"regulation of granulocyte chemotaxis",0,0,0,1,1
"p38MAPK cascade",0,0,0,1,1
"lung vasculature development",0,0,0,1,1
"regulation of cell cycle process",0,0,0,1,1
"negative regulation of inflammatory response",0,0,0,1,1
"embryonic organ development",0,0,0,1,1
"positive regulation of T cell cytokine production",0,0,0,1,1
"positive regulation of interleukin-10 production",0,0,0,1,1
"regulation of JNK cascade",0,0,0,1,1
"response to type II interferon",0,0,0,1,1
"regulation of post-translational protein modification",0,0,0,1,1
"cellular response to oxidative stress",0,0,0,1,1
"mitotic cell cycle phase transition",0,0,0,1,1
"insulin secretion",0,0,0,1,1
"cellular response to interleukin-17",0,0,0,1,1
"negative regulation of phosphorylation",0,0,0,1,1
"peptidyl-tyrosine phosphorylation",0,0,0,1,1
"positive regulation of protein localization",0,0,0,1,1
"epithelial cell differentiation",0,0,0,1,1
"MHC class II biosynthetic process",0,0,0,1,1
"embryonic organ morphogenesis",0,0,0,1,1
"negative regulation of organic acid transport",0,0,0,1,1
"in utero embryonic development",0,0,0,1,1
"regulation of regulated secretory pathway",0,0,0,1,1
"regulation of nuclear division",0,0,0,1,1
"response to organophosphorus",0,0,0,1,1
"response to virus",0,0,0,1,1
"negative regulation of tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"peptidyl-tyrosine modification",0,0,0,1,1
"type 2 immune response",0,0,0,1,1
"regulation of lipid biosynthetic process",0,0,0,1,1
"positive regulation of phosphorylation",0,0,0,1,1
"regulation of epithelial cell differentiation",0,0,0,1,1
"negative regulation of ERK1 and ERK2 cascade",0,0,0,1,1
"nitric oxide metabolic process",0,0,0,1,1
"regulation of protein ubiquitination",0,0,0,1,1
"leukocyte activation involved in inflammatory response",0,0,0,1,1
"negative regulation of protein phosphorylation",0,0,0,1,1
"regulation of CD4-positive, alpha-beta T cell differentiation",0,0,0,1,1
"natural killer cell mediated cytotoxicity",0,0,0,1,1
"detection of biotic stimulus",0,0,0,1,1
"regulation of macrophage activation",0,0,0,1,1
"reactive nitrogen species metabolic process",0,0,0,1,1
"positive regulation of cell cycle",0,0,0,1,1
"nitric oxide biosynthetic process",0,0,0,1,1
"cell fate commitment",0,0,0,1,1
"intracellular receptor signaling pathway",0,0,0,1,1
"regulation of neutrophil mediated killing of symbiont cell",0,0,0,1,1
"positive regulation of neutrophil mediated cytotoxicity",0,0,0,1,1
"negative regulation of interleukin-1 beta production",0,0,0,1,1
"triglyceride metabolic process",0,0,0,1,1
"regulation of myeloid leukocyte differentiation",0,0,0,1,1
"positive regulation of T-helper cell differentiation",0,0,0,1,1
"regulation of leukocyte mediated cytotoxicity",0,0,0,1,1
"regulation of cellular response to stress",0,0,0,1,1
"positive regulation of interleukin-2 production",0,0,0,1,1
"positive regulation of B cell activation",0,0,0,1,1
"regulation of non-canonical NF-kappaB signal transduction",0,0,0,1,1
"B cell receptor signaling pathway",0,0,0,1,1
"negative regulation of lymphocyte apoptotic process",0,0,0,1,1
"positive regulation of miRNA transcription",0,0,0,1,1
"negative regulation of establishment of protein localization to mitochondrion",0,0,0,1,1
"negative regulation of hemopoiesis",0,0,0,1,1
"auditory behavior",0,0,0,1,1
"detection of molecule of bacterial origin",0,0,0,1,1
"protein import into nucleus",0,0,0,1,1
"interleukin-13 production",0,0,0,1,1
"regulation of interleukin-13 production",0,0,0,1,1
"regulation of platelet activation",0,0,0,1,1
"regulation of type 2 immune response",0,0,0,1,1
"regulation of syncytium formation by plasma membrane fusion",0,0,0,1,1
"negative regulation of leukocyte cell-cell adhesion",0,0,0,1,1
"superoxide metabolic process",0,0,0,1,1
"positive regulation of lymphocyte mediated immunity",0,0,0,1,1
"response to interleukin-17",0,0,0,1,1
"blastocyst development",0,0,0,1,1
"positive regulation of nuclear division",0,0,0,1,1
"icosanoid transport",0,0,0,1,1
"superoxide anion generation",0,0,0,1,1
"positive regulation of NF-kappaB transcription factor activity",0,0,0,1,1
"regulation of cell killing",0,0,0,1,1
"positive regulation of growth",0,0,0,1,1
"positive regulation of lipid biosynthetic process",0,0,0,1,1
"innate immune response activating cell surface receptor signaling pathway",0,0,0,1,1
"positive regulation of peptide secretion",0,0,0,1,1
"response to purine-containing compound",0,0,0,1,1
"regulation of peptidyl-tyrosine phosphorylation",0,0,0,1,1
"intracellular monoatomic ion homeostasis",0,0,0,1,1
"alcohol metabolic process",0,0,0,1,1
"muscle cell migration",0,0,0,1,1
"heart development",0,0,0,1,1
"negative regulation of adaptive immune response",0,0,0,1,1
"formation of primary germ layer",0,0,0,1,1
"negative regulation of transferase activity",0,0,0,1,1
"MyD88-dependent toll-like receptor signaling pathway",0,0,0,1,1
"response to peptidoglycan",0,0,0,1,1
"negative regulation of leukocyte apoptotic process",0,0,0,1,1
"positive regulation of leukocyte adhesion to vascular endothelial cell",0,0,0,1,1
"positive regulation of cell cycle process",0,0,0,1,1
"protein localization to nucleus",0,0,0,1,1
"negative regulation of leukocyte differentiation",0,0,0,1,1
"inorganic cation import across plasma membrane",0,0,0,1,1
"inorganic ion import across plasma membrane",0,0,0,1,1
"positive regulation of cold-induced thermogenesis",0,0,0,1,1
"regulation of p38MAPK cascade",0,0,0,1,1
"negative regulation of tumor necrosis factor production",0,0,0,1,1
"cytoplasmic pattern recognition receptor signaling pathway",0,0,0,1,1
"regulation of leukocyte adhesion to vascular endothelial cell",0,0,0,1,1
"intracellular glucose homeostasis",0,0,0,1,1
"regulation of extracellular matrix constituent secretion",0,0,0,1,1
"intracellular protein transport",0,0,0,1,1
"mammary gland development",0,0,0,1,1
"import into nucleus",0,0,0,1,1
"hematopoietic progenitor cell differentiation",0,0,0,1,1
"heart morphogenesis",0,0,0,1,1
"alpha-beta T cell proliferation",0,0,0,1,1
"regulation of T cell apoptotic process",0,0,0,1,1
"lipid biosynthetic process",0,0,0,1,1
"regulation of lipid metabolic process",0,0,0,1,1
"macrophage differentiation",0,0,0,1,1
"carbohydrate metabolic process",0,0,0,1,1
"positive regulation of myeloid cell differentiation",0,0,0,1,1
"multi-organism reproductive process",0,0,0,1,1
"positive regulation of p38MAPK cascade",0,0,0,1,1
"negative regulation of non-canonical NF-kappaB signal transduction",0,0,0,1,1
"cellular response to nutrient levels",0,0,0,1,1
"antifungal innate immune response",0,0,0,1,1
"positive regulation of epithelial cell proliferation",0,0,0,1,1
"interleukin-17 production",0,0,0,1,1
"regulation of interleukin-17 production",0,0,0,1,1
"cell cycle phase transition",0,0,0,1,1
"regulation of exocytosis",0,0,0,1,1
"acute inflammatory response to antigenic stimulus",0,0,0,1,1
"negative regulation of JNK cascade",0,0,0,1,1
"negative regulation of myeloid cell differentiation",0,0,0,1,1
"regulation of catabolic process",0,0,0,1,1
"response to glucose",0,0,0,1,1
"arachidonate metabolite production involved in inflammatory response",0,0,0,1,1
"vestibular reflex",0,0,0,1,1
"syncytium formation by plasma membrane fusion",0,0,0,1,1
"cell-cell fusion",0,0,0,1,1
"phospholipase C-activating G protein-coupled receptor signaling pathway",0,0,0,1,1
"regulation of response to osmotic stress",0,0,0,1,1
"extracellular matrix constituent secretion",0,0,0,1,1
"regulation of small molecule metabolic process",0,0,0,1,1
"regulation of leukocyte degranulation",0,0,0,1,1
"macromolecule catabolic process",0,0,0,1,1
"regulation of natural killer cell mediated immunity",0,0,0,1,1
"regulation of alpha-beta T cell differentiation",0,0,0,1,1
"tissue remodeling",0,0,0,1,1
"positive regulation of lipid metabolic process",0,0,0,1,1
"negative regulation of mitotic cell cycle phase transition",0,0,0,1,1
"response to amphetamine",0,0,0,1,1
"positive regulation of CD4-positive, alpha-beta T cell differentiation",0,0,0,1,1
"regulation of neutrophil chemotaxis",0,0,0,1,1
"negative regulation of phosphorus metabolic process",0,0,0,1,1
"negative regulation of phosphate metabolic process",0,0,0,1,1
"homotypic cell-cell adhesion",0,0,0,1,1
"cell surface receptor signaling pathway via STAT",0,0,0,1,1
"interleukin-10 production",0,0,0,1,1
"regulation of interleukin-10 production",0,0,0,1,1
"regulation of cell morphogenesis",0,0,0,1,1
"intracellular monoatomic cation homeostasis",0,0,0,1,1
"extrinsic apoptotic signaling pathway via death domain receptors",0,0,0,1,1
"T cell differentiation in thymus",0,0,0,1,1
"syncytium formation",0,0,0,1,1
"cellular response to carbohydrate stimulus",0,0,0,1,1
"negative regulation of heterotypic cell-cell adhesion",0,0,0,1,1
"fat pad development",0,0,0,1,1
"regulation of vascular wound healing",0,0,0,1,1
"regulation of cell-cell adhesion involved in gastrulation",0,0,0,1,1
"negative regulation of fatty acid transport",0,0,0,1,1
"leukotriene production involved in inflammatory response",0,0,0,1,1
"folate import across plasma membrane",0,0,0,1,1
"activated CD8-positive, alpha-beta T cell apoptotic process",0,0,0,1,1
"regulation of activated CD8-positive, alpha-beta T cell apoptotic process",0,0,0,1,1
