"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"neuron development",3,"aggSC, majorSC, nmSC",2.02590394878785,2.41528752607002,"Shared"
"cell morphogenesis",3,"aggSC, majorSC, nmSC",1.93143507099844,2.33463330968027,"Shared"
"anatomical structure development",3,"aggSC, majorSC, nmSC",1.8953330650784,2.58623060574568,"Shared"
"response to steroid hormone",3,"aggSC, majorSC, nmSC",1.84541612400191,2.19806955502097,"Shared"
"developmental process",3,"aggSC, majorSC, nmSC",1.84005136275836,2.57408942027273,"Shared"
"cellular component organization",3,"aggSC, majorSC, mySC",1.83989367413844,2.23494946021573,"Shared"
"cellular component organization or biogenesis",3,"aggSC, majorSC, mySC",1.81601142990732,2.19806955502097,"Shared"
"positive regulation of nervous system process",3,"aggSC, majorSC, mySC",1.78086684899902,1.93704640400995,"Shared"
"regulation of myelination",3,"aggSC, majorSC, mySC",1.74702341106931,1.88495630061722,"Shared"
"regulation of plasma membrane bounded cell projection organization",3,"aggSC, ImmSC, nmSC",1.74203024718947,2.03867720468485,"Shared"
"regulation of cell projection organization",3,"aggSC, ImmSC, nmSC",1.73673328004931,2.02278630326438,"Shared"
"regulation of axonogenesis",3,"aggSC, ImmSC, nmSC",1.72512256706032,2.02278630326438,"Shared"
"negative regulation of developmental process",3,"aggSC, majorSC, nmSC",1.71982393327013,2.19806955502097,"Shared"
"animal organ development",3,"aggSC, majorSC, nmSC",1.70259147448215,2.20615742292425,"Shared"
"cell differentiation",3,"aggSC, majorSC, nmSC",1.65481062029212,2.20615742292425,"Shared"
"cellular developmental process",3,"aggSC, majorSC, nmSC",1.65481062029212,2.20615742292425,"Shared"
"cell migration",3,"aggSC, majorSC, mySC",1.64509307547416,1.95311839036243,"Shared"
"positive regulation of neuron differentiation",3,"aggSC, majorSC, mySC",1.48334208458138,1.58285454270829,"Shared"
"regulation of cell differentiation",3,"aggSC, majorSC, mySC",1.45474523045632,1.56193865768046,"Shared"
"response to lipid",3,"aggSC, majorSC, nmSC",1.45208625599499,1.62615971678625,"Shared"
"transport",3,"aggSC, majorSC, nmSC",1.40632387221395,1.48227738488069,"Shared"
"negative regulation of neuron projection development",2,"aggSC, nmSC",1.95746963917011,2.06594723838022,"Partially shared"
"regulation of presynaptic membrane potential",2,"aggSC, nmSC",1.95746963917011,2.06594723838022,"Partially shared"
"response to progesterone",2,"aggSC, nmSC",1.91231386561271,1.97563569126542,"Partially shared"
"cell motility",2,"aggSC, majorSC",1.83850346879895,1.83851772563299,"Partially shared"
"response to endogenous stimulus",2,"aggSC, majorSC",1.78848347527392,1.94246021666614,"Partially shared"
"response to ketone",2,"aggSC, nmSC",1.7124648888541,1.75375836655878,"Partially shared"
"negative regulation of axonogenesis",2,"aggSC, nmSC",1.69294626467176,1.74728907206431,"Partially shared"
"axon regeneration",2,"aggSC, nmSC",1.68537254019996,1.7321416231207,"Partially shared"
"cell-cell adhesion",2,"aggSC, ImmSC",1.68324467516276,1.77298291509852,"Partially shared"
"cell communication",2,"aggSC, nmSC",1.6591264399597,1.85026641575154,"Partially shared"
"neuron projection regeneration",2,"aggSC, nmSC",1.62755613133718,1.65840523797866,"Partially shared"
"regulation of neuron projection development",2,"aggSC, nmSC",1.61960243381227,1.74417351921963,"Partially shared"
"axon development",2,"aggSC, nmSC",1.61593002175086,1.73682869509682,"Partially shared"
"regulation of biological process",2,"aggSC, nmSC",1.61593002175086,1.73682869509682,"Partially shared"
"regulation of anatomical structure morphogenesis",2,"aggSC, nmSC",1.6038580730351,1.80250646596227,"Partially shared"
"neuron projection extension",2,"aggSC, mySC",1.60382458482824,1.87534714778439,"Partially shared"
"multicellular organismal process",2,"aggSC, majorSC",1.5976696462554,1.82129857296348,"Partially shared"
"regulation of developmental process",2,"aggSC, majorSC",1.57166718830623,1.74105263713482,"Partially shared"
"regulation of nervous system development",2,"aggSC, majorSC",1.56695101273807,1.73682869509682,"Partially shared"
"biological regulation",2,"aggSC, nmSC",1.55124659902478,1.6345067338817,"Partially shared"
"negative regulation of neuron differentiation",2,"aggSC, mySC",1.54454268009945,1.56193865768046,"Partially shared"
"regulation of multicellular organismal process",2,"aggSC, majorSC",1.54042938142129,1.58285454270829,"Partially shared"
"astrocyte differentiation",2,"aggSC, mySC",1.52853254614188,1.52991838976532,"Partially shared"
"response to axon injury",2,"aggSC, nmSC",1.52673937382208,1.5431098224522,"Partially shared"
"negative regulation of cellular component organization",2,"aggSC, nmSC",1.47295736656911,1.49800422013429,"Partially shared"
"response to hydrogen peroxide",2,"aggSC, nmSC",1.46821479745327,1.4950313484049,"Partially shared"
"response to hormone",2,"majorSC, nmSC",1.4313669839546,1.48227738488069,"Partially shared"
"negative regulation of cell differentiation",2,"aggSC, mySC",1.41515312100319,1.49800422013429,"Partially shared"
"establishment of localization",2,"majorSC, nmSC",1.41173697994321,1.41826427977849,"Partially shared"
"regulation of nervous system process",2,"majorSC, mySC",1.37528315082529,1.41826427977849,"Partially shared"
"action potential",2,"majorSC, mySC",1.35317137070971,1.37404071954732,"Partially shared"
"cranial nerve structural organization",1,"majorSC",2.33463330968027,2.33463330968027,"Cell-type-specific"
"anatomical structure arrangement",1,"majorSC",2.26124521056933,2.26124521056933,"Cell-type-specific"
"cranial nerve morphogenesis",1,"majorSC",2.12154917626477,2.12154917626477,"Cell-type-specific"
"rhombomere 3 formation",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere 3 structural organization",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere 5 formation",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere 5 morphogenesis",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere 5 structural organization",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere formation",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"rhombomere structural organization",1,"majorSC",1.93704640400995,1.93704640400995,"Cell-type-specific"
"cranial nerve development",1,"majorSC",1.91513198371393,1.91513198371393,"Cell-type-specific"
"cell growth",1,"aggSC",1.80250646596227,1.80250646596227,"Cell-type-specific"
"regulation of response to stimulus",1,"aggSC",1.77298291509852,1.77298291509852,"Cell-type-specific"
"rhythmic behavior",1,"majorSC",1.73721609125629,1.73721609125629,"Cell-type-specific"
"developmental cell growth",1,"aggSC",1.66724106756368,1.66724106756368,"Cell-type-specific"
"developmental growth involved in morphogenesis",1,"aggSC",1.66724106756368,1.66724106756368,"Cell-type-specific"
"regulation of cell motility",1,"aggSC",1.66724106756368,1.66724106756368,"Cell-type-specific"
"regulation of cell communication",1,"aggSC",1.62857687044634,1.62857687044634,"Cell-type-specific"
"regulation of signaling",1,"aggSC",1.62857687044634,1.62857687044634,"Cell-type-specific"
"regulation of locomotion",1,"aggSC",1.62615971678625,1.62615971678625,"Cell-type-specific"
"skeletal muscle cell differentiation",1,"majorSC",1.61743123176514,1.61743123176514,"Cell-type-specific"
"nerve development",1,"majorSC",1.61308666900295,1.61308666900295,"Cell-type-specific"
"regulation of response to external stimulus",1,"aggSC",1.56193865768046,1.56193865768046,"Cell-type-specific"
"regulation of signal transduction",1,"aggSC",1.56193865768046,1.56193865768046,"Cell-type-specific"
"localization",1,"majorSC",1.55915940633075,1.55915940633075,"Cell-type-specific"
"negative regulation of cellular process",1,"aggSC",1.5431098224522,1.5431098224522,"Cell-type-specific"
"regulation of axon extension",1,"aggSC",1.52991838976532,1.52991838976532,"Cell-type-specific"
"regulation of cellular process",1,"aggSC",1.49800422013429,1.49800422013429,"Cell-type-specific"
"response to wounding",1,"nmSC",1.4950313484049,1.4950313484049,"Cell-type-specific"
"intracellular signaling cassette",1,"aggSC",1.46906993981141,1.46906993981141,"Cell-type-specific"
"negative regulation of neurogenesis",1,"nmSC",1.46798646416786,1.46798646416786,"Cell-type-specific"
"locomotion",1,"aggSC",1.46151146468217,1.46151146468217,"Cell-type-specific"
"negative regulation of biological process",1,"aggSC",1.46151146468217,1.46151146468217,"Cell-type-specific"
"negative regulation of nervous system development",1,"nmSC",1.44841174021551,1.44841174021551,"Cell-type-specific"
"regulation of postsynaptic membrane potential",1,"nmSC",1.44841174021551,1.44841174021551,"Cell-type-specific"
"keratinocyte differentiation",1,"nmSC",1.44791051300393,1.44791051300393,"Cell-type-specific"
"regulation of extent of cell growth",1,"aggSC",1.44711665881483,1.44711665881483,"Cell-type-specific"
"response to glucocorticoid",1,"majorSC",1.44442410006344,1.44442410006344,"Cell-type-specific"
"negative regulation of neuron apoptotic process",1,"nmSC",1.44172409416123,1.44172409416123,"Cell-type-specific"
"response to reactive oxygen species",1,"nmSC",1.44172409416123,1.44172409416123,"Cell-type-specific"
"response to estradiol",1,"aggSC",1.43856943453773,1.43856943453773,"Cell-type-specific"
"regeneration",1,"nmSC",1.43556670800041,1.43556670800041,"Cell-type-specific"
"cell junction assembly",1,"majorSC",1.41418950681718,1.41418950681718,"Cell-type-specific"
"response to glucose",1,"nmSC",1.41337624176874,1.41337624176874,"Cell-type-specific"
"response to hexose",1,"nmSC",1.40737803413453,1.40737803413453,"Cell-type-specific"
"response to mechanical stimulus",1,"nmSC",1.40737803413453,1.40737803413453,"Cell-type-specific"
"response to monosaccharide",1,"nmSC",1.40737803413453,1.40737803413453,"Cell-type-specific"
"epidermal cell differentiation",1,"nmSC",1.40520968010792,1.40520968010792,"Cell-type-specific"
"response to corticosteroid",1,"majorSC",1.39707333037932,1.39707333037932,"Cell-type-specific"
"axon extension",1,"aggSC",1.39623323743214,1.39623323743214,"Cell-type-specific"
"regulation of cell growth",1,"aggSC",1.39194913682038,1.39194913682038,"Cell-type-specific"
"response to carbohydrate",1,"nmSC",1.38838377964497,1.38838377964497,"Cell-type-specific"
"negative regulation of cell development",1,"nmSC",1.38423371840479,1.38423371840479,"Cell-type-specific"
"response to oxygen-containing compound",1,"majorSC",1.37404071954732,1.37404071954732,"Cell-type-specific"
"regulation of neuron apoptotic process",1,"nmSC",1.36601394689276,1.36601394689276,"Cell-type-specific"
"response to external stimulus",1,"aggSC",1.36121925357232,1.36121925357232,"Cell-type-specific"
"gastrulation",1,"majorSC",1.35563604778547,1.35563604778547,"Cell-type-specific"
"skeletal muscle tissue development",1,"majorSC",1.34972337592777,1.34972337592777,"Cell-type-specific"
"retina development in camera-type eye",1,"majorSC",1.34153422620297,1.34153422620297,"Cell-type-specific"
"regulation of plasma membrane bounded cell projection assembly",1,"majorSC",1.33997591758598,1.33997591758598,"Cell-type-specific"
"neuron migration",1,"majorSC",1.3349791041401,1.3349791041401,"Cell-type-specific"
"regulation of cell projection assembly",1,"majorSC",1.3349791041401,1.3349791041401,"Cell-type-specific"
"skeletal muscle organ development",1,"majorSC",1.32535069583807,1.32535069583807,"Cell-type-specific"
"regulation of neurogenesis",1,"aggSC",1.321961859295,1.321961859295,"Cell-type-specific"
"skin development",1,"nmSC",1.31880635753272,1.31880635753272,"Cell-type-specific"
"response to stimulus",1,"aggSC",1.30613102195007,1.30613102195007,"Cell-type-specific"
