"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"regulation of multicellular organismal process",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"response to abiotic stimulus",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"cellular response to endogenous stimulus",2,"aggSC, mySC",1.81953775950851,1.81953775950851,"Partially shared"
"mesenchyme development",2,"aggSC, mySC",1.81953775950851,1.81953775950851,"Partially shared"
"regulation of angiogenesis",2,"aggSC, mySC",1.81953775950851,1.81953775950851,"Partially shared"
"regulation of vasculature development",2,"aggSC, mySC",1.81953775950851,1.81953775950851,"Partially shared"
"positive regulation of metabolic process",2,"aggSC, mySC",1.76820285663191,1.76820285663191,"Partially shared"
"positive regulation of developmental process",2,"aggSC, mySC",1.75363988494545,1.75363988494545,"Partially shared"
"regulation of multicellular organismal development",2,"aggSC, mySC",1.72799476581549,1.72799476581549,"Partially shared"
"positive regulation of DNA-templated transcription",2,"aggSC, mySC",1.68632972370742,1.68632972370742,"Partially shared"
"positive regulation of RNA biosynthetic process",2,"aggSC, mySC",1.68632972370742,1.68632972370742,"Partially shared"
"regulation of epithelial cell proliferation",2,"aggSC, mySC",1.68632972370742,1.68632972370742,"Partially shared"
"response to oxygen levels",2,"aggSC, mySC",1.68632972370742,1.68632972370742,"Partially shared"
"regulation of cell differentiation",2,"aggSC, mySC",1.67160955785718,1.67160955785718,"Partially shared"
"response to stress",2,"aggSC, mySC",1.65437888532895,1.65437888532895,"Partially shared"
"positive regulation of RNA metabolic process",2,"aggSC, mySC",1.64016169829436,1.64016169829436,"Partially shared"
"system development",2,"aggSC, mySC",1.62976421130887,1.62976421130887,"Partially shared"
"epithelial cell proliferation",2,"aggSC, mySC",1.62025321889386,1.62025321889386,"Partially shared"
"positive regulation of cytokine production",2,"aggSC, mySC",1.57055549737996,1.57055549737996,"Partially shared"
"positive regulation of nucleobase-containing compound metabolic process",2,"aggSC, mySC",1.57055549737996,1.57055549737996,"Partially shared"
"angiogenesis",2,"aggSC, mySC",1.56931682304346,1.56931682304346,"Partially shared"
"positive regulation of cell migration",2,"aggSC, mySC",1.55296731617073,1.55296731617073,"Partially shared"
"positive regulation of cell motility",2,"aggSC, mySC",1.53514020076613,1.53514020076613,"Partially shared"
"tissue development",2,"aggSC, mySC",1.53514020076613,1.53514020076613,"Partially shared"
"positive regulation of locomotion",2,"aggSC, mySC",1.52878995882802,1.52878995882802,"Partially shared"
"cell differentiation",2,"aggSC, mySC",1.52785097794385,1.52785097794385,"Partially shared"
"cellular developmental process",2,"aggSC, mySC",1.52785097794385,1.52785097794385,"Partially shared"
"cell surface receptor protein tyrosine kinase signaling pathway",2,"aggSC, mySC",1.52502816882719,1.52502816882719,"Partially shared"
"blood vessel morphogenesis",2,"aggSC, mySC",1.52187515105842,1.52187515105842,"Partially shared"
"multicellular organism development",2,"aggSC, mySC",1.52187515105842,1.52187515105842,"Partially shared"
"regulation of gene expression",2,"aggSC, mySC",1.49751131618281,1.49751131618281,"Partially shared"
"positive regulation of response to stimulus",2,"aggSC, mySC",1.47765701599731,1.47765701599731,"Partially shared"
"regulation of macromolecule biosynthetic process",2,"aggSC, mySC",1.47765701599731,1.47765701599731,"Partially shared"
"cellular response to chemical stimulus",2,"aggSC, mySC",1.46472337159912,1.46472337159912,"Partially shared"
"response to chemical",2,"aggSC, mySC",1.46472337159912,1.46472337159912,"Partially shared"
"MAPK cascade",2,"aggSC, mySC",1.45295645256577,1.45295645256577,"Partially shared"
"regulation of biosynthetic process",2,"aggSC, mySC",1.44701711434233,1.44701711434233,"Partially shared"
"regulation of cytokine production",2,"aggSC, mySC",1.4164755888207,1.4164755888207,"Partially shared"
"cell surface receptor signaling pathway",2,"aggSC, mySC",1.39549099150985,1.39549099150985,"Partially shared"
"regulation of macromolecule metabolic process",2,"aggSC, mySC",1.39549099150985,1.39549099150985,"Partially shared"
"tube morphogenesis",2,"aggSC, mySC",1.37800508313769,1.37800508313769,"Partially shared"
"positive regulation of cell differentiation",2,"aggSC, mySC",1.36314052178699,1.36314052178699,"Partially shared"
"positive regulation of cell population proliferation",2,"aggSC, mySC",1.33669771982464,1.33669771982464,"Partially shared"
"negative regulation of developmental process",2,"aggSC, mySC",1.3219430552474,1.3219430552474,"Partially shared"
"regulation of DNA-templated transcription",2,"aggSC, mySC",1.31951900090488,1.31951900090488,"Partially shared"
"regulation of RNA biosynthetic process",2,"aggSC, mySC",1.31951900090488,1.31951900090488,"Partially shared"
"anatomical structure development",2,"aggSC, mySC",1.31690466035135,1.31690466035135,"Partially shared"
"regulation of metabolic process",2,"aggSC, mySC",1.31690466035135,1.31690466035135,"Partially shared"
"response to lipid",2,"aggSC, mySC",1.30728349808216,1.30728349808216,"Partially shared"
"animal organ morphogenesis",2,"aggSC, mySC",1.30146780508132,1.30146780508132,"Partially shared"
"collagen fibril organization",1,"majorSC",1.76201794289312,1.76201794289312,"Cell-type-specific"
"endochondral bone morphogenesis",1,"majorSC",1.76201794289312,1.76201794289312,"Cell-type-specific"
"anatomical structure homeostasis",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"bone development",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"bone morphogenesis",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"cartilage development",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"cellular response to acid chemical",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"cellular response to amino acid stimulus",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"embryo development",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"response to acid chemical",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"response to amino acid",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"skeletal system morphogenesis",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"tissue homeostasis",1,"majorSC",1.69120639828703,1.69120639828703,"Cell-type-specific"
"cell-substrate adhesion",1,"majorSC",1.6839317369965,1.6839317369965,"Cell-type-specific"
"connective tissue development",1,"majorSC",1.6839317369965,1.6839317369965,"Cell-type-specific"
"protein localization to nucleus",1,"majorSC",1.6839317369965,1.6839317369965,"Cell-type-specific"
"signal transduction",1,"majorSC",1.6839317369965,1.6839317369965,"Cell-type-specific"
"skin development",1,"majorSC",1.6839317369965,1.6839317369965,"Cell-type-specific"
"cell communication",1,"majorSC",1.66976893421685,1.66976893421685,"Cell-type-specific"
"signaling",1,"majorSC",1.66976893421685,1.66976893421685,"Cell-type-specific"
"small GTPase-mediated signal transduction",1,"majorSC",1.62431537626394,1.62431537626394,"Cell-type-specific"
"response to peptide hormone",1,"majorSC",1.54634707762004,1.54634707762004,"Cell-type-specific"
"homeostatic process",1,"majorSC",1.53861655301757,1.53861655301757,"Cell-type-specific"
"response to oxygen-containing compound",1,"majorSC",1.53861655301757,1.53861655301757,"Cell-type-specific"
"cellular response to stimulus",1,"majorSC",1.52029121596334,1.52029121596334,"Cell-type-specific"
"skeletal system development",1,"majorSC",1.51366481327463,1.51366481327463,"Cell-type-specific"
"supramolecular fiber organization",1,"majorSC",1.36458889057239,1.36458889057239,"Cell-type-specific"
"head development",1,"majorSC",1.35504045461819,1.35504045461819,"Cell-type-specific"
"chordate embryonic development",1,"majorSC",1.34805778411302,1.34805778411302,"Cell-type-specific"
"embryo development ending in birth or egg hatching",1,"majorSC",1.34805778411302,1.34805778411302,"Cell-type-specific"
"negative regulation of biological process",1,"majorSC",1.33213716752313,1.33213716752313,"Cell-type-specific"
"protein localization to organelle",1,"majorSC",1.32254581879128,1.32254581879128,"Cell-type-specific"
