"Term","padj","comparison","cell_type","gene_set","enrich_type","neg_log10_padj"
"response to growth factor",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"regulation of cell adhesion",0.034081733459045,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.46747832433514
"response to steroid hormone",0.034081733459045,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.46747832433514
"positive regulation of developmental process",0.0342516339232091,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.46531870630563
"regulation of anatomical structure morphogenesis",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"positive regulation of response to stimulus",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"regulation of epithelial to mesenchymal transition",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"response to oxygen levels",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"cell-cell adhesion",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"cellular response to fibroblast growth factor stimulus",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"positive regulation of signal transduction",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"cellular response to chemical stimulus",0.0393519346909956,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.40503391120914
"response to fibroblast growth factor",0.0416854257821657,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.38001575818516
"positive regulation of cell differentiation",0.0416854257821657,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.38001575818516
"positive regulation of neuron differentiation",0.0422466217551329,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.37420801361992
"regulation of cell differentiation",0.0422466217551329,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.37420801361992
"enzyme-linked receptor protein signaling pathway",0.0422466217551329,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.37420801361992
"positive regulation of cell population proliferation",0.0423514247132387,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.37313197530517
"regulation of developmental process",0.0431432239439505,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.36508740469586
"collagen metabolic process",0.0431432239439505,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.36508740469586
"regulation of cell-cell adhesion",0.0431432239439505,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.36508740469586
"intracellular signaling cassette",0.0431432239439505,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.36508740469586
"positive regulation of multicellular organismal process",0.0431432239439505,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.36508740469586
"cellular response to hypoxia",0.0450325392364218,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.3464735639126
"positive regulation of catalytic activity",0.0454696510232282,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.34227837896551
"neurogenesis",0.0459720145313558,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.33750646469255
"epithelial to mesenchymal transition",0.0459720145313558,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.33750646469255
"positive regulation of cell communication",0.0459720145313558,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.33750646469255
"positive regulation of signaling",0.0459720145313558,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.33750646469255
"regulation of endothelial cell migration",0.0483801464375228,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31533282144516
"regulation of signal transduction",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"anatomical structure formation involved in morphogenesis",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"cellular response to decreased oxygen levels",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"response to abiotic stimulus",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"system development",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"myelination",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"ensheathment of neurons",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"axon ensheathment",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"cellular response to endogenous stimulus",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"cellular response to oxygen levels",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"regulation of multicellular organismal process",0.0488071040094635,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.31151696062912
"regulation of cell adhesion",0.00270245245320651,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.56824193825965
"regulation of cell migration",0.00270245245320651,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.56824193825965
"regulation of cell motility",0.00270245245320651,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.56824193825965
"regulation of locomotion",0.00270245245320651,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.56824193825965
"negative regulation of cell adhesion",0.00270245245320651,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.56824193825965
"locomotion",0.00420026921210642,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.37672287303416
"positive regulation of epithelial to mesenchymal transition",0.00497716997471177,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.30301752746597
"cell adhesion",0.00514624744440862,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.28850933566208
"collagen biosynthetic process",0.00514624744440862,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.28850933566208
"regulation of cell-cell adhesion",0.00514624744440862,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.28850933566208
"cell migration",0.00514624744440862,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.28850933566208
"response to endogenous stimulus",0.00514624744440862,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.28850933566208
"cell motility",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"positive regulation of multicellular organismal process",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"regulation of epithelial to mesenchymal transition",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"cellular response to fibroblast growth factor stimulus",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"negative regulation of exit from mitosis",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"cellular response to vitamin E",0.00730880511292572,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13615361829244
"response to fibroblast growth factor",0.00736409698898128,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.13288050024651
"cellular response to growth factor stimulus",0.00860541258146581,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.0652283028427
"collagen metabolic process",0.0088254628634267,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.05426250817689
"response to growth factor",0.0088254628634267,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.05426250817689
"blood vessel development",0.00885314339334988,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.05290250150541
"vasculature development",0.00970838026754608,"HFDvsSD","mySC","Overlap_All3","richR_GO",2.01285322112641
"epithelial to mesenchymal transition",0.011548999708885,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.93745562960077
"regulation of anatomical structure morphogenesis",0.0119941325492211,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.92103115600873
"regulation of endothelial cell migration",0.0119941325492211,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.92103115600873
"cell-cell adhesion",0.0123964281280204,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.9067034332051
"positive regulation of macromolecule biosynthetic process",0.0140898103161487,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.85109485353397
"regulation of developmental process",0.0140898103161487,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.85109485353397
"enzyme-linked receptor protein signaling pathway",0.0140898103161487,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.85109485353397
"negative regulation of cell-cell adhesion",0.0146142016657192,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.83522490399061
"positive regulation of biosynthetic process",0.0146142016657192,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.83522490399061
"anatomical structure morphogenesis",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"endothelial cell migration",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of cellular process",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"mesenchymal cell differentiation",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"sensory perception of sound",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of macromolecule metabolic process",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"cellular response to transforming growth factor beta stimulus",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"circulatory system development",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"muscle cell proliferation",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"anatomical structure formation involved in morphogenesis",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"response to transforming growth factor beta",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of biological process",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"regulation of multicellular organismal process",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"response to abiotic stimulus",0.0148464518666009,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.82837732539556
"cellular response to endogenous stimulus",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"sensory perception of mechanical stimulus",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"regulation of angiogenesis",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"extracellular matrix organization",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"external encapsulating structure organization",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"extracellular structure organization",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"regulation of vasculature development",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"mesenchyme development",0.0151517306203554,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.81953775950851
"positive regulation of metabolic process",0.0170528567312076,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.76820285663191
"response to steroid hormone",0.0172982213644142,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.76199854954932
"positive regulation of developmental process",0.0176343767502399,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.75363988494545
"regulation of multicellular organismal development",0.018707046862532,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.72799476581549
"regulation of epithelial cell proliferation",0.0205906604196246,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.68632972370742
"response to oxygen levels",0.0205906604196246,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.68632972370742
"positive regulation of DNA-templated transcription",0.0205906604196246,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.68632972370742
"positive regulation of RNA biosynthetic process",0.0205906604196246,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.68632972370742
"regulation of cell differentiation",0.0213005315915526,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.67160955785718
"response to stress",0.0221626207429422,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.65437888532895
"positive regulation of RNA metabolic process",0.0229001486633793,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.64016169829436
"system development",0.0234550189785436,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.62976421130887
"epithelial cell proliferation",0.0239743466784523,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.62025321889386
"intracellular signaling cassette",0.0239743466784523,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.62025321889386
"positive regulation of nucleobase-containing compound metabolic process",0.0268809431642522,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.57055549737996
"positive regulation of cytokine production",0.0268809431642522,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.57055549737996
"angiogenesis",0.026957721167877,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.56931682304346
"positive regulation of cell migration",0.0279919197133223,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.55296731617073
"positive regulation of cell motility",0.0291648534998061,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.53514020076613
"tissue development",0.0291648534998061,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.53514020076613
"positive regulation of locomotion",0.0295944341881649,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52878995882802
"cell differentiation",0.0296584890436732,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52785097794385
"cellular developmental process",0.0296584890436732,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52785097794385
"cell surface receptor protein tyrosine kinase signaling pathway",0.029851889899325,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52502816882719
"multicellular organism development",0.0300694059957656,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52187515105842
"blood vessel morphogenesis",0.0300694059957656,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.52187515105842
"regulation of gene expression",0.0318045081591635,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.49751131618281
"positive regulation of response to stimulus",0.0332922374894893,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.47765701599731
"regulation of macromolecule biosynthetic process",0.0332922374894893,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.47765701599731
"cellular response to chemical stimulus",0.0342986185612297,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.46472337159912
"response to chemical",0.0342986185612297,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.46472337159912
"MAPK cascade",0.0352406205630705,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.45295645256577
"regulation of biosynthetic process",0.0357258759296599,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.44701711434233
"regulation of cytokine production",0.0383287283919575,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.4164755888207
"cytokine production",0.0384852406012387,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.41470579398267
"cell surface receptor signaling pathway",0.0402261999958444,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.39549099150985
"regulation of macromolecule metabolic process",0.0402261999958444,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.39549099150985
"response to stimulus",0.0418788663437176,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.37800508313769
"tube morphogenesis",0.0418788663437176,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.37800508313769
"intracellular signal transduction",0.0431425729431951,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.36509395794208
"positive regulation of cell differentiation",0.0433370632836315,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.36314052178699
"response to hormone",0.0447362805145859,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.34934012705971
"positive regulation of cell population proliferation",0.0460577035554984,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.33669771982464
"negative regulation of developmental process",0.0476493460598064,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.3219430552474
"regulation of DNA-templated transcription",0.0479160488603092,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.31951900090488
"regulation of RNA biosynthetic process",0.0479160488603092,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.31951900090488
"anatomical structure development",0.0482053610108324,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.31690466035135
"regulation of metabolic process",0.0482053610108324,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.31690466035135
"response to lipid",0.0492851975772409,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.30728349808216
"animal organ morphogenesis",0.0499496207258771,"HFDvsSD","mySC","Overlap_All3","richR_GO",1.30146780508132
"response to steroid hormone",0.00724969469231081,"HFDvsSD","majorSC","Overlap_MS","richR_GO",2.13968028256509
"protein localization to nucleus",0.00724969469231081,"HFDvsSD","majorSC","Overlap_MS","richR_GO",2.13968028256509
"response to hydrogen peroxide",0.00724969469231081,"HFDvsSD","majorSC","Overlap_MS","richR_GO",2.13968028256509
"protein localization to organelle",0.0143250595063909,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.84390356529471
"response to hormone",0.0175219665929272,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.75641715201923
"response to progesterone",0.0186317094520464,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.72974729692705
"response to reactive oxygen species",0.0186317094520464,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.72974729692705
"response to glucose",0.0216641084868079,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.66425917818402
"response to hexose",0.0216641084868079,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.66425917818402
"response to monosaccharide",0.0216641084868079,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.66425917818402
"intracellular signal transduction",0.0216641084868079,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.66425917818402
"response to ketone",0.0216641084868079,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.66425917818402
"response to carbohydrate",0.0228165923795328,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.64174921623993
"cellular response to vitamin E",0.0258112822400049,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.58819042025557
"collagen fibril organization",0.0258112822400049,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.58819042025557
"endochondral bone morphogenesis",0.0295284001226838,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.52976008289313
"cell adhesion",0.0295284001226838,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.52976008289313
"skin development",0.0295284001226838,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.52976008289313
"cell communication",0.0295284001226838,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.52976008289313
"cell migration",0.0316458303113196,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.49968350498568
"response to endogenous stimulus",0.0316458303113196,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.49968350498568
"response to oxidative stress",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"integrin-mediated signaling pathway",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"regulation of cell migration",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"bone morphogenesis",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"regulation of cellular process",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to estradiol",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"regulation of cell motility",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"intracellular signaling cassette",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"cell motility",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to lipid",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"regulation of locomotion",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"localization",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to chemical",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"homeostatic process",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"signal transduction",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to oxygen-containing compound",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to stimulus",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"regulation of biological process",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"nitrogen compound transport",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"response to calcium ion",0.035026661069572,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.45560126000383
"visual perception",0.0376040968524027,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.42476483742695
"sensory perception of light stimulus",0.0387735209189811,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.41146476009015
"biological regulation",0.0399038708583174,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.39898497371506
"regulation of axonogenesis",0.0399038708583174,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.39898497371506
"regulation of protein localization to nucleus",0.040171699895175,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.39607979038747
"locomotion",0.0412808659115721,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38425120148081
"transport",0.0412808659115721,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38425120148081
"tissue development",0.0412808659115721,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38425120148081
"cellular response to amino acid stimulus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"cellular response to glucose stimulus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"protein import into nucleus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"signaling",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"cellular response to hexose stimulus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"cellular response to monosaccharide stimulus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"animal organ development",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"cellular response to acid chemical",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"import into nucleus",0.0415129022374189,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.38181690329611
"cellular response to carbohydrate stimulus",0.0428305251266062,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.36824660087335
"intracellular glucose homeostasis",0.0428305251266062,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.36824660087335
"establishment of localization",0.0428305251266062,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.36824660087335
"positive regulation of cellular process",0.0428305251266062,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.36824660087335
"neuron migration",0.0428305251266062,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.36824660087335
"neuron projection morphogenesis",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"protein transport",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"response to amino acid",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"cartilage development",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"plasma membrane bounded cell projection morphogenesis",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"cell projection morphogenesis",0.0442700131714457,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.35389034880757
"bone development",0.0460206916928002,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.33704685815523
"response to acid chemical",0.0460206916928002,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.33704685815523
"intracellular protein localization",0.046703134377767,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.33065397174033
"mesenchymal cell differentiation",0.0476192246830628,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.3222176798805
"sodium ion transport",0.0476192246830628,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.3222176798805
"response to mechanical stimulus",0.0476192246830628,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.3222176798805
"skeletal system morphogenesis",0.0476192246830628,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.3222176798805
"head development",0.0476192246830628,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.3222176798805
"positive regulation of biological process",0.0491032053428547,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.30889015721964
"sensory perception of sound",0.0491032053428547,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.30889015721964
"cell-cell adhesion via plasma-membrane adhesion molecules",0.0491032053428547,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.30889015721964
"collagen fibril organization",0.0172974489326244,"HFDvsSD","majorSC","Overlap_All3","richR_GO",1.76201794289312
"endochondral bone morphogenesis",0.0172974489326244,"HFDvsSD","majorSC","Overlap_All3","richR_GO",1.76201794289312
