"comparison","cell_type","gene_set","enrich_type","pathway","gene","pathway_padj"
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","Mbp",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","Nbl1",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","Fgf1",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","Rgcc",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","S100b",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Fxyd3",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Scube1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Mbp",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Chp2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Chst2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cellular process","S100b",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Chst2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Sdc3",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell motility","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of epithelial to mesenchymal transition","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of epithelial to mesenchymal transition","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Sdk2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Mbp",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","S100b",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","negative regulation of exit from mitosis","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to vitamin E","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Fxyd3",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Scube1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Mbp",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Chp2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Chst2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of biological process","S100b",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to growth factor stimulus","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to growth factor stimulus","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to growth factor stimulus","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to growth factor stimulus","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular matrix organization","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular matrix organization","Adamtsl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular matrix organization","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","external encapsulating structure organization","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","external encapsulating structure organization","Adamtsl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","external encapsulating structure organization","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular structure organization","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular structure organization","Adamtsl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","extracellular structure organization","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","negative regulation of cell adhesion","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","negative regulation of cell adhesion","Mbp",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","negative regulation of cell adhesion","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","collagen biosynthetic process","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","collagen biosynthetic process","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Slc7a2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Scube1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Chp2",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of response to stimulus","S100b",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to growth factor","Col1a1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to growth factor","Nbl1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to growth factor","Fgf1",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to growth factor","Rgcc",0.0301731903378203
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell adhesion","Col1a1",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell adhesion","Mbp",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell adhesion","Chst2",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell adhesion","Rgcc",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to steroid hormone","Col1a1",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to steroid hormone","Mbp",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to steroid hormone","S100b",0.034081733459045
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Col1a1",0.0342516339232091
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Nbl1",0.0342516339232091
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Fgf1",0.0342516339232091
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Rgcc",0.0342516339232091
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","S100b",0.0342516339232091
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of anatomical structure morphogenesis","Mbp",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of anatomical structure morphogenesis","Fgf1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of anatomical structure morphogenesis","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of anatomical structure morphogenesis","S100b",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","Scube1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","Chp2",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","Fgf1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of response to stimulus","S100b",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of epithelial to mesenchymal transition","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of epithelial to mesenchymal transition","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to oxygen levels","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to oxygen levels","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to oxygen levels","S100b",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell-cell adhesion","Sdk2",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell-cell adhesion","Mbp",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell-cell adhesion","Chst2",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell-cell adhesion","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to fibroblast growth factor stimulus","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to fibroblast growth factor stimulus","Fgf1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signal transduction","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signal transduction","Scube1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signal transduction","Chp2",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signal transduction","Fgf1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signal transduction","S100b",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","Col1a1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","Chp2",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","Nbl1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","Fgf1",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","Rgcc",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to chemical stimulus","S100b",0.0393519346909956
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to fibroblast growth factor","Col1a1",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to fibroblast growth factor","Fgf1",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Col1a1",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Nbl1",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Rgcc",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","S100b",0.0416854257821657
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of neuron differentiation","Nbl1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of neuron differentiation","S100b",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Col1a1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Mbp",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Nbl1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Rgcc",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","S100b",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","enzyme-linked receptor protein signaling pathway","Col1a1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","enzyme-linked receptor protein signaling pathway","Nbl1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","enzyme-linked receptor protein signaling pathway","Fgf1",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","enzyme-linked receptor protein signaling pathway","Rgcc",0.0422466217551329
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell population proliferation","Chp2",0.0423514247132387
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell population proliferation","Fgf1",0.0423514247132387
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell population proliferation","Rgcc",0.0423514247132387
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell population proliferation","S100b",0.0423514247132387
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Col1a1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Mbp",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Nbl1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Fgf1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Rgcc",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of developmental process","S100b",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","collagen metabolic process","Col1a1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","collagen metabolic process","Rgcc",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell-cell adhesion","Mbp",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell-cell adhesion","Chst2",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell-cell adhesion","Rgcc",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","intracellular signaling cassette","Mbp",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","intracellular signaling cassette","Chp2",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","intracellular signaling cassette","Fgf1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","intracellular signaling cassette","Rgcc",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","intracellular signaling cassette","S100b",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Col1a1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Mbp",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Fgf1",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Rgcc",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","S100b",0.0431432239439505
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to hypoxia","Rgcc",0.0450325392364218
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to hypoxia","S100b",0.0450325392364218
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of catalytic activity","Chp2",0.0454696510232282
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of catalytic activity","Fgf1",0.0454696510232282
"HFDvsSD","mySC","Overlap_MS","richR_GO","neurogenesis","Sdk2",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","neurogenesis","Mbp",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","neurogenesis","Nbl1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","neurogenesis","Fgf1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","neurogenesis","S100b",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","epithelial to mesenchymal transition","Col1a1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","epithelial to mesenchymal transition","Rgcc",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell communication","Col1a1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell communication","Scube1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell communication","Chp2",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell communication","Fgf1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of cell communication","S100b",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signaling","Col1a1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signaling","Scube1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signaling","Chp2",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signaling","Fgf1",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","positive regulation of signaling","S100b",0.0459720145313558
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of endothelial cell migration","Fgf1",0.0483801464375228
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of endothelial cell migration","Rgcc",0.0483801464375228
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","Scube1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","Chp2",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","Nbl1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of signal transduction","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Sdk2",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to decreased oxygen levels","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to decreased oxygen levels","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to abiotic stimulus","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to abiotic stimulus","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to abiotic stimulus","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to abiotic stimulus","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Sdk2",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Mbp",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Nbl1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","system development","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","myelination","Mbp",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","myelination","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","ensheathment of neurons","Mbp",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","ensheathment of neurons","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","axon ensheathment","Mbp",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","axon ensheathment","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to endogenous stimulus","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to endogenous stimulus","Nbl1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to endogenous stimulus","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to endogenous stimulus","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to oxygen levels","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","cellular response to oxygen levels","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","Slc7a2",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","Col1a1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","Mbp",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","Fgf1",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","Rgcc",0.0488071040094635
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of multicellular organismal process","S100b",0.0488071040094635
"HFDvsSD","mySC","Overlap_All3","richR_GO","regulation of cell adhesion","Col1a1",0.00270245245320651
"HFDvsSD","mySC","Overlap_All3","richR_GO","regulation of cell adhesion","Mbp",0.00270245245320651
"HFDvsSD","mySC","Overlap_All3","richR_GO","regulation of cell adhesion","Chst2",0.00270245245320651
"HFDvsSD","mySC","Overlap_All3","richR_GO","regulation of cell adhesion","Rgcc",0.00270245245320651
"HFDvsSD","mySC","Overlap_All3","richR_GO","regulation of cell migration","Col1a1",0.00270245245320651
