"gene","n_pathways","n_comparisons","pathways"
"Egr2",87,1,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | system development | positive regulation of cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | neurogenesis | neuron projection morphogenesis | regulation of multicellular organismal process | plasma membrane bounded cell projection morphogenesis | positive regulation of myelination | cell projection morphogenesis | regulation of multicellular organismal development | nervous system development | animal organ development | neuron projection development | developmental process | neuron differentiation | glial cell differentiation | generation of neurons | regulation of cell differentiation | plasma membrane bounded cell projection organization | positive regulation of neurogenesis | cell projection organization | regulation of nervous system development | neuron development | cellular component organization | positive regulation of nervous system development | positive regulation of nervous system process | cellular component organization or biogenesis | positive regulation of glial cell differentiation | gliogenesis | cell development | cell morphogenesis | regulation of myelination | regulation of neurogenesis | cranial nerve structural organization | positive regulation of gliogenesis | positive regulation of cell development | regulation of glial cell differentiation | positive regulation of multicellular organismal process | regulation of cell development | nerve development | anatomical structure arrangement | central nervous system development | tissue development | regulation of gliogenesis | cranial nerve morphogenesis | regulation of nervous system process | multicellular organismal process | head development | anatomical structure formation involved in morphogenesis | myelination | ensheathment of neurons | axon ensheathment | striated muscle tissue development | muscle tissue development | axonogenesis | rhombomere formation | rhombomere structural organization | rhombomere 3 structural organization | rhombomere 3 formation | rhombomere 5 morphogenesis | rhombomere 5 structural organization | rhombomere 5 formation | positive regulation of cellular process | axon development | cranial nerve development | response to endogenous stimulus | positive regulation of biological process | rhythmic behavior | cell morphogenesis involved in neuron differentiation | regulation of biological process | skeletal muscle cell differentiation | brain development | circulatory system development | muscle structure development | biological regulation | behavior | regionalization | regulation of cellular process | pattern specification process | response to hormone | hindbrain development"
"Nbl1",79,3,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | regulation of response to stimulus | anatomical structure morphogenesis | cell motility | cell migration | response to endogenous stimulus | regulation of response to external stimulus | system development | positive regulation of cellular process | regulation of signal transduction | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | nervous system development | regulation of biological process | regulation of developmental process | multicellular organism development | response to external stimulus | developmental process | neuron differentiation | biological regulation | cellular response to growth factor stimulus | regulation of immune system process | response to growth factor | generation of neurons | regulation of signaling | regulation of cell differentiation | regulation of cell communication | signaling | cell communication | regulation of neuron differentiation | signal transduction | positive regulation of cell differentiation | negative regulation of BMP signaling pathway | positive regulation of developmental process | cell surface receptor signaling pathway | maintenance of protein location | response to stimulus | negative regulation of cell migration | regulation of cellular response to growth factor stimulus | plasma membrane bounded cell projection organization | negative regulation of cell motility | neuron projection development | cell projection organization | negative regulation of locomotion | cellular component organization | neuron projection morphogenesis | multicellular organismal process | plasma membrane bounded cell projection morphogenesis | transforming growth factor beta receptor superfamily signaling pathway | cell projection morphogenesis | regulation of BMP signaling pathway | cellular response to chemical stimulus | negative regulation of cellular response to growth factor stimulus | cellular component organization or biogenesis | cellular response to endogenous stimulus | positive regulation of neuron differentiation | cell surface receptor protein serine/threonine kinase signaling pathway | neuron development | chemotaxis | taxis | negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway | localization | response to chemical | cellular response to stimulus | BMP signaling pathway | cell development | cell morphogenesis | regionalization | pattern specification process | negative regulation of cellular process | negative regulation of biological process"
"Inpp5f",67,2,"regulation of cell motility | regulation of locomotion | locomotion | regulation of response to stimulus | cell motility | regulation of response to external stimulus | system development | positive regulation of cellular process | regulation of signal transduction | intracellular signaling cassette | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | positive regulation of signaling | cell differentiation | cellular developmental process | nervous system development | response to stress | regulation of biological process | regulation of developmental process | multicellular organism development | response to external stimulus | developmental process | neuron differentiation | biological regulation | generation of neurons | regulation of signaling | regulation of cell communication | signaling | cell communication | signal transduction | response to wounding | negative regulation of developmental process | response to stimulus | intracellular signal transduction | regulation of metabolic process | plasma membrane bounded cell projection organization | neuron projection development | cell projection organization | dephosphorylation | positive regulation of macromolecule metabolic process | cellular component organization | regulation of transport | multicellular organismal process | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | cellular component organization or biogenesis | regulation of macromolecule metabolic process | neuron development | regulation of intracellular signal transduction | positive regulation of metabolic process | regulation of response to stress | transport | localization | negative regulation of neuron projection development | regulation of localization | cellular response to stimulus | negative regulation of cell projection organization | regulation of neuron projection development | axon development | axon regeneration | neuron projection regeneration | response to axon injury | negative regulation of cellular process | negative regulation of cellular component organization | negative regulation of biological process"
"Cpe",58,2,"anatomical structure morphogenesis | regulation of developmental process | system development | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | neurogenesis | neuron projection morphogenesis | regulation of multicellular organismal process | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | nervous system development | animal organ development | neuron projection development | developmental process | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron development | cellular component organization | cellular component organization or biogenesis | cell development | cell morphogenesis | regulation of anatomical structure morphogenesis | animal organ morphogenesis | multicellular organismal process | cell migration | response to endogenous stimulus | regulation of signal transduction | regulation of biological process | response to steroid hormone | circulatory system development | cell motility | biological regulation | response to hydrogen peroxide | cell surface receptor signaling pathway | regulation of signaling | regulation of cellular process | Wnt signaling pathway | regulation of cell communication | response to glucocorticoid | response to hormone | response to corticosteroid | negative regulation of developmental process | export from cell | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | cell communication | regulation of response to stimulus | response to ketone | response to lipid | negative regulation of cellular process | negative regulation of biological process | response to stimulus | transport"
"Metrn",54,1,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | system development | positive regulation of cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | neurogenesis | neuron projection morphogenesis | regulation of multicellular organismal process | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | regulation of multicellular organismal development | nervous system development | neuron projection development | developmental process | neuron differentiation | glial cell differentiation | generation of neurons | regulation of cell differentiation | plasma membrane bounded cell projection organization | positive regulation of neurogenesis | cell projection organization | regulation of nervous system development | neuron development | cellular component organization | positive regulation of nervous system development | cellular component organization or biogenesis | gliogenesis | cell development | cell morphogenesis | regulation of neurogenesis | positive regulation of cell development | regulation of anatomical structure morphogenesis | positive regulation of multicellular organismal process | regulation of cell development | regulation of axonogenesis | multicellular organismal process | axonogenesis | positive regulation of cellular process | regulation of neuron projection development | axon development | positive regulation of biological process | cell morphogenesis involved in neuron differentiation | regulation of biological process | positive regulation of axonogenesis | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | biological regulation | regulation of cellular component organization | positive regulation of cell projection organization | regulation of cellular process"
"Txnip",50,3,"response to progesterone | response to steroid hormone | animal organ development | response to endogenous stimulus | positive regulation of cellular process | anatomical structure development | regulation of cellular process | positive regulation of biological process | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | response to stress | regulation of biological process | response to external stimulus | response to calcium ion | developmental process | tissue development | biological regulation | response to abiotic stimulus | signaling | cell communication | signal transduction | response to mechanical stimulus | response to hormone | response to ketone | cell surface receptor signaling pathway | positive regulation of apoptotic process | response to stimulus | positive regulation of programmed cell death | response to lipid | regulation of metabolic process | regulation of biosynthetic process | regulation of cell population proliferation | skin development | protein localization to nucleus | response to metal ion | regulation of macromolecule metabolic process | response to hydrogen peroxide | response to estradiol | nitrogen compound transport | regulation of gene expression | regulation of macromolecule biosynthetic process | cell population proliferation | transport | localization | response to chemical | cellular response to stimulus | regulation of cell division | negative regulation of cellular process | negative regulation of biological process"
"Chp2",48,1,"regulation of response to stimulus | positive regulation of cellular process | regulation of signal transduction | intracellular signaling cassette | regulation of cellular process | positive regulation of biological process | positive regulation of signaling | regulation of biological process | response to calcium ion | positive regulation of signal transduction | biological regulation | regulation of signaling | regulation of cell communication | positive regulation of response to stimulus | signaling | cell communication | positive regulation of cell communication | signal transduction | positive regulation of cell population proliferation | response to stimulus | intracellular signal transduction | regulation of metabolic process | regulation of biosynthetic process | positive regulation of intracellular signal transduction | regulation of cell population proliferation | dephosphorylation | positive regulation of macromolecule metabolic process | regulation of transport | protein localization to nucleus | response to metal ion | cellular response to chemical stimulus | regulation of macromolecule metabolic process | regulation of intracellular signal transduction | positive regulation of macromolecule biosynthetic process | nitrogen compound transport | regulation of gene expression | positive regulation of metabolic process | metal ion transport | regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | cell population proliferation | transport | localization | response to chemical | positive regulation of catalytic activity | regulation of localization | cellular response to stimulus | positive regulation of transport"
"Frzb",47,1,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | system development | positive regulation of cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | regulation of multicellular organismal process | regulation of multicellular organismal development | animal organ development | developmental process | cell growth | regulation of cell differentiation | cellular component organization | cellular component organization or biogenesis | growth | cell development | regulation of cell growth | regulation of cell development | regulation of growth | tissue development | animal organ morphogenesis | multicellular organismal process | negative regulation of cell growth | negative regulation of hepatocyte differentiation | negative regulation of growth | positive regulation of cellular process | mesenchymal cell differentiation | positive regulation of biological process | regulation of signal transduction | mesenchyme development | regulation of biological process | sensory organ morphogenesis | neural crest cell differentiation | biological regulation | regulation of cellular component organization | cell surface receptor signaling pathway | regulation of signaling | regulation of cellular process | Wnt signaling pathway | regulation of cell communication | gland development | liver development | negative regulation of developmental process | hepaticobiliary system development"
"Rap1gap",47,1,"neuron differentiation | generation of neurons | anatomical structure development | cell adhesion | neurogenesis | nervous system development | negative regulation of cell projection organization | multicellular organism development | system development | regulation of neuron differentiation | developmental process | plasma membrane bounded cell projection organization | cell projection organization | cellular component organization | animal organ development | cell differentiation | cellular developmental process | negative regulation of developmental process | cellular component organization or biogenesis | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | cell communication | multicellular organismal process | negative regulation of microvillus assembly | regulation of thyroid gland epithelial cell proliferation | negative regulation of thyroid gland epithelial cell proliferation | thyroid gland epithelial cell proliferation | cell-cell adhesion | regulation of response to stimulus | regulation of developmental process | regulation of biological process | biological regulation | response to endogenous stimulus | regulation of signaling | regulation of cell communication | regulation of cell differentiation | regulation of signal transduction | negative regulation of neuron differentiation | negative regulation of cellular process | regulation of cellular process | negative regulation of cellular component organization | regulation of multicellular organismal process | negative regulation of cell differentiation | intracellular signaling cassette | negative regulation of biological process | response to stimulus | transport"
"Col14a1",43,2,"cell adhesion | collagen fibril organization | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | growth | tissue development | cell differentiation | cellular developmental process | developmental growth | animal organ development | system development | muscle tissue development | cell growth | regulation of multicellular organismal development | developmental cell growth | tissue homeostasis | anatomical structure homeostasis | multicellular organism development | regulation of multicellular organismal process | regulation of developmental process | anatomical structure development | regulation of biological process | cardiac muscle tissue growth | cardiac muscle hypertrophy | regulation of cell growth | striated muscle hypertrophy | muscle hypertrophy | heart growth | biological regulation | striated muscle tissue development | Protein digestion and absorption | developmental process | cellular component organization | cellular component organization or biogenesis | cell development | regulation of growth | multicellular organismal process | circulatory system development | muscle structure development | regulation of cellular component organization | regulation of developmental growth | regulation of cellular process"
"Kcna2",38,3,"anatomical structure morphogenesis | animal organ development | system development | anatomical structure development | regulation of cellular process | nervous system development | regulation of biological process | multicellular organism development | developmental process | biological regulation | signaling | cell communication | regulation of multicellular organismal process | potassium ion transport | export across plasma membrane | cellular component organization | regulation of transport | multicellular organismal process | cellular component organization or biogenesis | nitrogen compound transport | metal ion transport | transport | localization | regulation of localization | cranial nerve structural organization | nerve development | anatomical structure arrangement | central nervous system development | cranial nerve morphogenesis | head development | cranial nerve development | rhythmic behavior | brain development | transmission of nerve impulse | behavior | monoatomic cation transport | export from cell | regulation of presynaptic membrane potential"
"Igfbp7",36,2,"cell adhesion | regulation of response to stimulus | anatomical structure morphogenesis | animal organ development | system development | regulation of signal transduction | anatomical structure development | regulation of cellular process | regulation of biological process | multicellular organism development | developmental process | biological regulation | regulation of signaling | regulation of cell communication | blood vessel development | vasculature development | anatomical structure formation involved in morphogenesis | signaling | cell communication | signal transduction | angiogenesis | response to stimulus | blood vessel morphogenesis | regulation of metabolic process | regulation of biosynthetic process | regulation of steroid biosynthetic process | cellular component organization | multicellular organismal process | circulatory system development | regulation of lipid metabolic process | cellular component organization or biogenesis | regulation of steroid metabolic process | tube morphogenesis | cellular response to stimulus | cell growth | regulation of cell growth"
"Ppl",28,2,"regulation of response to stimulus | animal organ development | regulation of response to external stimulus | anatomical structure development | regulation of cellular process | cell differentiation | cellular developmental process | response to stress | regulation of biological process | response to external stimulus | developmental process | tissue development | biological regulation | regulation of immune system process | response to wounding | response to stimulus | regulation of metabolic process | regulation of biosynthetic process | skin development | cellular component organization | multicellular organismal process | cellular component organization or biogenesis | regulation of macromolecule metabolic process | wound healing | regulation of gene expression | regulation of defense response | regulation of macromolecule biosynthetic process | regulation of response to stress"
"Cldn19",25,1,"anatomical structure development | cell adhesion | multicellular organism development | system development | developmental process | cell-cell adhesion via plasma-membrane adhesion molecules | transmission of nerve impulse | cellular component organization | animal organ development | cellular component organization or biogenesis | cell communication | cell motility | multicellular organismal process | cell-cell adhesion | regulation of biological process | regulation of cell motility | cell migration | biological regulation | regulation of locomotion | negative regulation of cellular process | regulation of cellular process | negative regulation of biological process | locomotion | transport | Cell adhesion molecule (CAM) interaction"
"Sdk2",22,4,"cell adhesion | anatomical structure morphogenesis | animal organ development | system development | anatomical structure development | neurogenesis | cell differentiation | cellular developmental process | nervous system development | multicellular organism development | developmental process | neuron differentiation | generation of neurons | anatomical structure formation involved in morphogenesis | cell-cell adhesion | cellular component organization | multicellular organismal process | cellular component organization or biogenesis | animal organ morphogenesis | sensory organ morphogenesis | eye morphogenesis | cell-cell adhesion via plasma-membrane adhesion molecules"
"Fxyd3",21,3,"positive regulation of cellular process | regulation of cellular process | positive regulation of biological process | regulation of biological process | biological regulation | potassium ion transport | export across plasma membrane | regulation of transport | positive regulation of cation transmembrane transport | positive regulation of monoatomic ion transmembrane transport | metal ion transport | transport | localization | regulation of localization | positive regulation of transport | regulation of sodium ion transport | sodium ion transport | regulation of metal ion transport | regulation of monoatomic ion transport | monoatomic cation transport | export from cell"
"Scube1",20,2,"regulation of response to stimulus | positive regulation of cellular process | regulation of signal transduction | regulation of cellular process | positive regulation of biological process | positive regulation of signaling | regulation of biological process | positive regulation of signal transduction | biological regulation | regulation of signaling | regulation of cell communication | positive regulation of response to stimulus | signaling | cell communication | positive regulation of cell communication | signal transduction | cell surface receptor signaling pathway | response to stimulus | cellular response to stimulus | regulation of smoothened signaling pathway"
"Ehd2",19,1,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | cell differentiation | cellular developmental process | anatomical structure development | developmental process | plasma membrane bounded cell projection organization | cell projection organization | cellular component organization | cellular component organization or biogenesis | anatomical structure formation involved in morphogenesis | positive regulation of cellular process | positive regulation of biological process | regulation of biological process | muscle structure development | biological regulation | regulation of cellular component organization | regulation of cellular process"
"Slc7a2",19,2,"regulation of response to stimulus | regulation of response to external stimulus | regulation of cellular process | response to stress | regulation of biological process | response to external stimulus | biological regulation | regulation of immune system process | regulation of multicellular organismal process | response to stimulus | nitric oxide biosynthetic process | nitric oxide metabolic process | multicellular organismal process | reactive nitrogen species metabolic process | nitrogen compound transport | regulation of defense response | regulation of response to stress | transport | localization"
"Chst2",18,2,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | cell adhesion | cell motility | cell migration | positive regulation of cellular process | regulation of cellular process | positive regulation of biological process | response to stress | regulation of biological process | biological regulation | regulation of immune system process | regulation of cell adhesion | regulation of cell-cell adhesion | cell-cell adhesion | response to stimulus"
"Mfap5",15,1,"anatomical structure morphogenesis | system development | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | animal organ development | developmental process | cellular component organization | cellular component organization or biogenesis | cell development | animal organ morphogenesis | multicellular organismal process | sensory organ morphogenesis | eye morphogenesis"
"Grik3",12,1,"regulation of presynaptic membrane potential | cell communication | regulation of biological process | biological regulation | regulation of signaling | regulation of cell communication | negative regulation of cellular process | regulation of cellular process | intracellular signaling cassette | negative regulation of biological process | response to stimulus | transport"
"Mmp15",12,1,"anatomical structure development | multicellular organism development | developmental process | anatomical structure morphogenesis | cellular component organization | cell differentiation | cellular developmental process | cellular component organization or biogenesis | multicellular organismal process | response to lipid | response to estradiol | response to stimulus"
"Sdc3",12,4,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | cell adhesion | cell motility | cell migration | regulation of cellular process | regulation of biological process | biological regulation | Cytoskeleton in muscle cells | Cell adhesion molecule (CAM) interaction"
"Tle2",11,1,"cell communication | regulation of response to stimulus | regulation of biological process | biological regulation | regulation of signaling | regulation of cell communication | regulation of signal transduction | negative regulation of cellular process | regulation of cellular process | negative regulation of biological process | response to stimulus"
"Mlip",10,1,"regulation of multicellular organismal process | response to stress | regulation of biological process | cardiac muscle hypertrophy | striated muscle hypertrophy | muscle hypertrophy | biological regulation | response to stimulus | regulation of response to stimulus | regulation of cellular process"
"Insc",9,1,"cell differentiation | cellular developmental process | regulation of cell division | system development | nervous system development | multicellular organism development | anatomical structure development | regulation of biological process | biological regulation"
"Nkain2",9,3,"regulation of sodium ion transport | sodium ion transport | regulation of metal ion transport | regulation of biological process | biological regulation | regulation of monoatomic ion transport | metal ion transport | monoatomic cation transport | transport"
"Adamtsl1",5,3,"extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | cellular component organization | cellular component organization or biogenesis"
"Tns1",4,1,"cellular component organization | cellular component organization or biogenesis | cell motility | cell migration"
