"gene","n_pathways","n_comparisons","pathways"
"Metrn",48,1,"anatomical structure morphogenesis | positive regulation of developmental process | positive regulation of cell differentiation | system development | regulation of developmental process | glial cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | regulation of multicellular organismal development | gliogenesis | regulation of cell differentiation | developmental process | regulation of multicellular organismal process | neurogenesis | nervous system development | regulation of nervous system development | cellular component organization | positive regulation of neurogenesis | cellular component organization or biogenesis | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | neuron projection development | positive regulation of nervous system development | neuron projection morphogenesis | cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | cell development | positive regulation of multicellular organismal process | neuron development | regulation of neurogenesis | regulation of cell development | positive regulation of cell development | cell morphogenesis | positive regulation of cellular process | multicellular organismal process | positive regulation of biological process | regulation of anatomical structure morphogenesis | axonogenesis | regulation of biological process | regulation of axonogenesis | regulation of neuron projection development | axon development | biological regulation | regulation of cellular component organization"
"Col14a1",41,2,"cell adhesion | collagen fibril organization | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | muscle tissue development | growth | system development | tissue homeostasis | anatomical structure homeostasis | cell differentiation | cellular developmental process | multicellular organism development | developmental growth | tissue development | regulation of multicellular organismal development | regulation of multicellular organismal process | cardiac muscle tissue growth | cardiac muscle hypertrophy | striated muscle hypertrophy | muscle hypertrophy | regulation of biological process | heart growth | animal organ development | striated muscle tissue development | cell growth | biological regulation | Protein digestion and absorption | regulation of developmental process | anatomical structure development | developmental process | cellular component organization | cellular component organization or biogenesis | regulation of cell growth | cell development | developmental cell growth | regulation of growth | multicellular organismal process | muscle structure development | system process | regulation of cellular component organization"
"Frzb",37,1,"anatomical structure morphogenesis | positive regulation of developmental process | positive regulation of cell differentiation | system development | regulation of developmental process | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | regulation of multicellular organismal development | regulation of cell differentiation | developmental process | regulation of multicellular organismal process | cell growth | animal organ development | cellular component organization | cellular component organization or biogenesis | growth | regulation of cell growth | cell development | negative regulation of cell growth | regulation of cell development | tissue development | negative regulation of growth | negative regulation of hepatocyte differentiation | regulation of growth | animal organ morphogenesis | positive regulation of cellular process | multicellular organismal process | sensory organ morphogenesis | positive regulation of biological process | regulation of biological process | gland development | liver development | hepaticobiliary system development | biological regulation | regulation of cellular component organization"
"Kcna2",30,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | developmental process | regulation of multicellular organismal process | animal organ development | cranial nerve structural organization | nervous system development | nerve development | cellular component organization | cellular component organization or biogenesis | anatomical structure arrangement | cranial nerve morphogenesis | central nervous system development | cranial nerve development | rhythmic behavior | multicellular organismal process | export across plasma membrane | head development | behavior | transmission of nerve impulse | metal ion transport | regulation of biological process | monoatomic cation transport | system process | regulation of transport | biological regulation | nervous system process | action potential"
"Sdk2",21,3,"cell adhesion | anatomical structure morphogenesis | cell-cell adhesion | neurogenesis | anatomical structure formation involved in morphogenesis | system development | nervous system development | cell differentiation | cellular developmental process | multicellular organism development | animal organ development | generation of neurons | anatomical structure development | developmental process | cellular component organization | cellular component organization or biogenesis | neuron differentiation | animal organ morphogenesis | multicellular organismal process | sensory organ morphogenesis | eye morphogenesis"
"Ehd2",19,1,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | cell differentiation | cellular developmental process | anatomical structure development | developmental process | cellular component organization | cellular component organization or biogenesis | plasma membrane bounded cell projection organization | cell projection organization | anatomical structure formation involved in morphogenesis | positive regulation of cellular process | muscle structure development | positive regulation of biological process | regulation of biological process | regulation of transport | biological regulation | regulation of cellular component organization"
"Rap1gap",19,1,"regulation of neuron differentiation | cell adhesion | negative regulation of microvillus assembly | regulation of thyroid gland epithelial cell proliferation | negative regulation of thyroid gland epithelial cell proliferation | thyroid gland epithelial cell proliferation | negative regulation of neuron differentiation | multicellular organism development | negative regulation of cell projection organization | nervous system development | negative regulation of cell differentiation | neuron differentiation | cellular component organization | generation of neurons | regulation of cell differentiation | plasma membrane bounded cell projection organization | system development | cell projection organization | cellular component organization or biogenesis"
"Chst2",17,2,"cell adhesion | regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | positive regulation of cellular process | cell motility | positive regulation of biological process | regulation of cell adhesion | cell-cell adhesion | regulation of cell-cell adhesion | response to stress | response to stimulus | regulation of biological process | biological regulation | regulation of cellular process"
"Mfap5",15,1,"anatomical structure morphogenesis | system development | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | developmental process | animal organ development | cellular component organization | cellular component organization or biogenesis | cell development | animal organ morphogenesis | multicellular organismal process | sensory organ morphogenesis | eye morphogenesis"
"Chp2",12,1,"positive regulation of cellular process | positive regulation of biological process | regulation of response to stimulus | positive regulation of response to stimulus | positive regulation of signal transduction | cellular response to chemical stimulus | positive regulation of cell population proliferation | intracellular signaling cassette | positive regulation of catalytic activity | positive regulation of cell communication | positive regulation of signaling | regulation of signal transduction"
"Fxyd3",12,3,"positive regulation of cellular process | positive regulation of biological process | regulation of sodium ion transport | sodium ion transport | regulation of metal ion transport | regulation of biological process | regulation of monoatomic ion transport | biological regulation | export across plasma membrane | metal ion transport | monoatomic cation transport | regulation of transport"
"Scube1",11,2,"positive regulation of cellular process | positive regulation of biological process | regulation of response to stimulus | positive regulation of response to stimulus | positive regulation of signal transduction | positive regulation of cell communication | positive regulation of signaling | regulation of signal transduction | regulation of smoothened signaling pathway | regulation of biological process | biological regulation"
"Sdc3",11,4,"cell adhesion | regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | cell motility | regulation of biological process | biological regulation | Cytoskeleton in muscle cells | Cell adhesion molecule (CAM) interaction"
"Cldn19",10,1,"transmission of nerve impulse | cell adhesion | multicellular organism development | action potential | cell migration | cellular component organization | system development | cellular component organization or biogenesis | cell-cell adhesion via plasma-membrane adhesion molecules | Cell adhesion molecule (CAM) interaction"
"Mlip",10,1,"regulation of multicellular organismal process | cardiac muscle hypertrophy | striated muscle hypertrophy | muscle hypertrophy | regulation of biological process | biological regulation | response to stress | response to stimulus | regulation of response to stimulus | regulation of cellular process"
"Nkain2",9,2,"regulation of sodium ion transport | sodium ion transport | regulation of metal ion transport | regulation of biological process | regulation of monoatomic ion transport | biological regulation | metal ion transport | monoatomic cation transport | regulation of transport"
"Insc",7,1,"system development | nervous system development | cell differentiation | cellular developmental process | multicellular organism development | regulation of biological process | biological regulation"
"Adamtsl1",5,3,"extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | cellular component organization | cellular component organization or biogenesis"
"Mmp15",4,1,"multicellular organism development | cellular component organization | anatomical structure morphogenesis | cellular component organization or biogenesis"
"Tns1",3,1,"cell migration | cellular component organization | cellular component organization or biogenesis"
