"gene","n_pathways","n_comparisons","n_celltypes","pathways","comparisons","celltypes","mean_pathway_padj"
"S100b",8,1,2,"regulation of neuron differentiation | response to steroid hormone | positive regulation of neuron differentiation | myelination | ensheathment of neurons | axon ensheathment | response to glucocorticoid | response to corticosteroid","DREXvsDR","mySC, majorSC",0.0330654915261366
"Chst2",7,1,1,"regulation of leukocyte migration | positive regulation of leukocyte tethering or rolling | N-acetylglucosamine metabolic process | regulation of leukocyte tethering or rolling | positive regulation of leukocyte adhesion to vascular endothelial cell | glucosamine-containing compound metabolic process | leukocyte migration","EXvsHFD","majorSC",0.0443903604842475
"Fxyd3",7,1,1,"regulation of sodium ion transport | positive regulation of sodium ion export across plasma membrane | regulation of sodium ion export across plasma membrane | sodium ion transport | positive regulation of sodium ion transmembrane transport | sodium ion export across plasma membrane | regulation of metal ion transport","EXvsHFD","majorSC",0.0387178533378264
"Rap1gap",5,1,1,"regulation of neuron differentiation | negative regulation of cell projection organization | regulation of microvillus assembly | microvillus assembly | regulation of microvillus organization","DREXvsDR","mySC",0.041714539948391
"Mfap5",4,1,2,"definitive hemopoiesis | embryonic eye morphogenesis | sensory organ morphogenesis | embryonic organ morphogenesis","EXvsHFD","mySC, majorSC",0.0371286663006235
"Fam107a",3,1,1,"response to steroid hormone | response to glucocorticoid | response to corticosteroid","DREXvsDR","majorSC",0.0217450664952464
"20970",2,1,1,"Cell adhesion molecule (CAM) interaction | Cytoskeleton in muscle cells","EXvsHFD","mySC",0.0250275791796112
"12842",1,1,1,"Cytoskeleton in muscle cells","EXvsHFD","mySC",0.0250275791796112
"17136",1,1,1,"Cell adhesion molecule (CAM) interaction","EXvsHFD","mySC",0.0250275791796112
"Haghl",1,1,1,"cellular response to aldehyde","DREXvsDR","majorSC",0.0312696365680093
