"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"rhombomere structural organization",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"neuron projection morphogenesis",2,"majorSC, mySC",2.20719981659084,2.98070300805412,"Partially shared"
"plasma membrane bounded cell projection morphogenesis",2,"majorSC, mySC",2.20287715452537,2.98070300805412,"Partially shared"
"cell projection morphogenesis",2,"majorSC, mySC",2.2012850992399,2.98070300805412,"Partially shared"
"regulation of developmental process",2,"majorSC, mySC",2.19786415173638,3.02024164370242,"Partially shared"
"regulation of neurogenesis",2,"majorSC, mySC",2.18396656592643,2.73473646712046,"Partially shared"
"response to mechanical stimulus",2,"majorSC, mySC",2.13486507870396,2.38692958525007,"Partially shared"
"cellular response to mechanical stimulus",2,"majorSC, mySC",2.12901947159626,2.27910186817683,"Partially shared"
"cellular response to external stimulus",2,"majorSC, mySC",2.1234368763471,2.27910186817683,"Partially shared"
"cell differentiation",2,"majorSC, mySC",2.11191810120187,2.73473646712046,"Partially shared"
"cellular developmental process",2,"majorSC, mySC",2.11191810120187,2.73473646712046,"Partially shared"
"positive regulation of cell development",2,"majorSC, mySC",2.10442876405471,2.64537545292791,"Partially shared"
"multicellular organism development",2,"majorSC, mySC",2.08105863910254,2.69254675521068,"Partially shared"
"regulation of nervous system development",2,"majorSC, mySC",2.07782555090042,2.59895767732737,"Partially shared"
"glial cell differentiation",2,"majorSC, mySC",2.04390356423904,2.25828588202048,"Partially shared"
"regulation of cell development",2,"majorSC, mySC",2.03668409804791,2.73473646712046,"Partially shared"
"cell adhesion",2,"majorSC, mySC",1.98262632711245,2.23540264049237,"Partially shared"
"regulation of nervous system process",2,"majorSC, mySC",1.88296644257758,2.0378561234562,"Partially shared"
"gliogenesis",2,"majorSC, mySC",1.87282924399293,2.02078683577701,"Partially shared"
"myelination",2,"majorSC, mySC",1.81351095688148,1.98905515001803,"Partially shared"
"head development",2,"majorSC, mySC",1.81288501454298,2.23540264049237,"Partially shared"
"axon ensheathment",2,"majorSC, mySC",1.81022691806875,1.98905515001803,"Partially shared"
"ensheathment of neurons",2,"majorSC, mySC",1.81022691806875,1.98905515001803,"Partially shared"
"positive regulation of multicellular organismal process",2,"majorSC, mySC",1.75653268553077,1.91205099474735,"Partially shared"
"axonogenesis",2,"majorSC, mySC",1.73159297682808,1.86217157734197,"Partially shared"
"axon development",2,"majorSC, mySC",1.66896642804997,1.78123943162648,"Partially shared"
"response to insulin",2,"majorSC, mySC",1.6323487660017,1.80559667728377,"Partially shared"
"cell morphogenesis involved in neuron differentiation",2,"majorSC, mySC",1.55271908601702,1.63796676374492,"Partially shared"
"cellular response to abiotic stimulus",2,"majorSC, mySC",1.53329574288417,1.72487165220886,"Partially shared"
"cellular response to environmental stimulus",2,"majorSC, mySC",1.53329574288417,1.72487165220886,"Partially shared"
"neuron projection development",1,"majorSC",3.01076048635151,3.01076048635151,"Cell-type-specific"
"neuron development",1,"majorSC",2.98070300805412,2.98070300805412,"Cell-type-specific"
"positive regulation of astrocyte differentiation",1,"majorSC",2.93772871304128,2.93772871304128,"Cell-type-specific"
"cell development",1,"majorSC",2.8234074355645,2.8234074355645,"Cell-type-specific"
"regulation of cell growth",1,"majorSC",2.78908470797655,2.78908470797655,"Cell-type-specific"
"cell migration",1,"majorSC",2.73473646712046,2.73473646712046,"Cell-type-specific"
"neuron differentiation",1,"majorSC",2.73473646712046,2.73473646712046,"Cell-type-specific"
"generation of neurons",1,"majorSC",2.69254675521068,2.69254675521068,"Cell-type-specific"
"plasma membrane bounded cell projection organization",1,"majorSC",2.69254675521068,2.69254675521068,"Cell-type-specific"
"regulation of cell migration",1,"majorSC",2.69254675521068,2.69254675521068,"Cell-type-specific"
"cell growth",1,"majorSC",2.67267942369993,2.67267942369993,"Cell-type-specific"
"cell projection organization",1,"majorSC",2.67267942369993,2.67267942369993,"Cell-type-specific"
"negative regulation of cell growth",1,"majorSC",2.67267942369993,2.67267942369993,"Cell-type-specific"
"regulation of cell motility",1,"majorSC",2.67159813743908,2.67159813743908,"Cell-type-specific"
"cell morphogenesis",1,"majorSC",2.611142719163,2.611142719163,"Cell-type-specific"
"regulation of locomotion",1,"majorSC",2.611142719163,2.611142719163,"Cell-type-specific"
"cell motility",1,"majorSC",2.58329824138873,2.58329824138873,"Cell-type-specific"
"regulation of astrocyte differentiation",1,"majorSC",2.53201865689607,2.53201865689607,"Cell-type-specific"
"neurogenesis",1,"majorSC",2.4632090679945,2.4632090679945,"Cell-type-specific"
"negative regulation of growth",1,"majorSC",2.46196844637561,2.46196844637561,"Cell-type-specific"
"regulation of growth",1,"majorSC",2.43726832074634,2.43726832074634,"Cell-type-specific"
"mesenchymal cell differentiation",1,"majorSC",2.39176332534066,2.39176332534066,"Cell-type-specific"
"locomotion",1,"majorSC",2.38141837049348,2.38141837049348,"Cell-type-specific"
"regulation of multicellular organismal process",1,"majorSC",2.3027798299533,2.3027798299533,"Cell-type-specific"
"animal organ development",1,"majorSC",2.24001105266762,2.24001105266762,"Cell-type-specific"
"mesenchyme development",1,"majorSC",2.23540264049237,2.23540264049237,"Cell-type-specific"
"negative regulation of hepatocyte differentiation",1,"majorSC",2.23540264049237,2.23540264049237,"Cell-type-specific"
"positive regulation of cellular process",1,"majorSC",2.23540264049237,2.23540264049237,"Cell-type-specific"
"seminal vesicle epithelium development",1,"majorSC",2.23540264049237,2.23540264049237,"Cell-type-specific"
"anatomical structure development",1,"majorSC",2.19978637443908,2.19978637443908,"Cell-type-specific"
"regulation of multicellular organismal development",1,"majorSC",2.16224432483481,2.16224432483481,"Cell-type-specific"
"regulation of sodium ion transport",1,"majorSC",2.15473536439756,2.15473536439756,"Cell-type-specific"
"positive regulation of biological process",1,"majorSC",2.13276858601686,2.13276858601686,"Cell-type-specific"
"nervous system development",1,"majorSC",2.01624831653785,2.01624831653785,"Cell-type-specific"
"astrocyte differentiation",1,"majorSC",1.97893707501569,1.97893707501569,"Cell-type-specific"
"developmental process",1,"majorSC",1.97893707501569,1.97893707501569,"Cell-type-specific"
"neural crest cell differentiation",1,"majorSC",1.97893707501569,1.97893707501569,"Cell-type-specific"
"regulation of axon extension",1,"majorSC",1.97893707501569,1.97893707501569,"Cell-type-specific"
"nerve development",1,"majorSC",1.96494070118988,1.96494070118988,"Cell-type-specific"
"cell surface receptor signaling pathway",1,"majorSC",1.94320883972304,1.94320883972304,"Cell-type-specific"
"Wnt signaling pathway",1,"majorSC",1.91205099474735,1.91205099474735,"Cell-type-specific"
"central nervous system development",1,"majorSC",1.91205099474735,1.91205099474735,"Cell-type-specific"
"growth",1,"majorSC",1.91205099474735,1.91205099474735,"Cell-type-specific"
"regulation of extent of cell growth",1,"majorSC",1.91205099474735,1.91205099474735,"Cell-type-specific"
"response to hydrogen peroxide",1,"majorSC",1.908000506487,1.908000506487,"Cell-type-specific"
"animal organ morphogenesis",1,"majorSC",1.85546992883675,1.85546992883675,"Cell-type-specific"
"axon extension",1,"majorSC",1.85546992883675,1.85546992883675,"Cell-type-specific"
"regulation of signal transduction",1,"majorSC",1.85546992883675,1.85546992883675,"Cell-type-specific"
"anatomical structure formation involved in morphogenesis",1,"mySC",1.84663405574836,1.84663405574836,"Cell-type-specific"
"cellular component organization",1,"majorSC",1.81762464923,1.81762464923,"Cell-type-specific"
"regulation of neuron projection development",1,"majorSC",1.80277365820212,1.80277365820212,"Cell-type-specific"
"negative regulation of multicellular organismal process",1,"majorSC",1.77703063397098,1.77703063397098,"Cell-type-specific"
"cellular component organization or biogenesis",1,"majorSC",1.75204900287771,1.75204900287771,"Cell-type-specific"
"tissue development",1,"majorSC",1.74545614195971,1.74545614195971,"Cell-type-specific"
"regulation of axonogenesis",1,"majorSC",1.71036755549713,1.71036755549713,"Cell-type-specific"
"regulation of cellular process",1,"majorSC",1.68378582579528,1.68378582579528,"Cell-type-specific"
"cellular response to glucose stimulus",1,"majorSC",1.63796676374492,1.63796676374492,"Cell-type-specific"
"cellular response to hexose stimulus",1,"majorSC",1.63796676374492,1.63796676374492,"Cell-type-specific"
"hindbrain development",1,"majorSC",1.63796676374492,1.63796676374492,"Cell-type-specific"
"cellular response to monosaccharide stimulus",1,"majorSC",1.63762126141472,1.63762126141472,"Cell-type-specific"
"negative regulation of signal transduction",1,"majorSC",1.63111116518789,1.63111116518789,"Cell-type-specific"
"neuron projection extension",1,"majorSC",1.62527366963618,1.62527366963618,"Cell-type-specific"
"cellular response to carbohydrate stimulus",1,"majorSC",1.61464720242854,1.61464720242854,"Cell-type-specific"
"ossification",1,"mySC",1.61021455874045,1.61021455874045,"Cell-type-specific"
"intracellular glucose homeostasis",1,"majorSC",1.60447114978461,1.60447114978461,"Cell-type-specific"
"regulation of biological process",1,"majorSC",1.60447114978461,1.60447114978461,"Cell-type-specific"
"regulation of cell size",1,"majorSC",1.60447114978461,1.60447114978461,"Cell-type-specific"
"response to peptide hormone",1,"mySC",1.6010143763142,1.6010143763142,"Cell-type-specific"
"regulation of cell communication",1,"majorSC",1.59510167659007,1.59510167659007,"Cell-type-specific"
"regulation of signaling",1,"majorSC",1.59510167659007,1.59510167659007,"Cell-type-specific"
"response to reactive oxygen species",1,"majorSC",1.59510167659007,1.59510167659007,"Cell-type-specific"
"negative regulation of neuron apoptotic process",1,"majorSC",1.59042053063635,1.59042053063635,"Cell-type-specific"
"brain development",1,"majorSC",1.58758191020855,1.58758191020855,"Cell-type-specific"
"regulation of plasma membrane bounded cell projection organization",1,"majorSC",1.58758191020855,1.58758191020855,"Cell-type-specific"
"cartilage development",1,"majorSC",1.57509089801841,1.57509089801841,"Cell-type-specific"
"regulation of cell projection organization",1,"majorSC",1.57509089801841,1.57509089801841,"Cell-type-specific"
"negative regulation of cell communication",1,"majorSC",1.56814747170562,1.56814747170562,"Cell-type-specific"
"negative regulation of signaling",1,"majorSC",1.56814747170562,1.56814747170562,"Cell-type-specific"
"regulation of leukocyte migration",1,"majorSC",1.55605135952939,1.55605135952939,"Cell-type-specific"
"multicellular organismal process",1,"majorSC",1.5559178739746,1.5559178739746,"Cell-type-specific"
"regulation of neuron differentiation",1,"majorSC",1.5559178739746,1.5559178739746,"Cell-type-specific"
"biological regulation",1,"majorSC",1.55344924757052,1.55344924757052,"Cell-type-specific"
"regulation of canonical Wnt signaling pathway",1,"majorSC",1.54954637858936,1.54954637858936,"Cell-type-specific"
"regulation of cell adhesion",1,"majorSC",1.54954637858936,1.54954637858936,"Cell-type-specific"
"response to endogenous stimulus",1,"majorSC",1.54954637858936,1.54954637858936,"Cell-type-specific"
"response to glucose",1,"majorSC",1.54954637858936,1.54954637858936,"Cell-type-specific"
"response to hexose",1,"majorSC",1.54267729964447,1.54267729964447,"Cell-type-specific"
"axon guidance",1,"majorSC",1.54249712508279,1.54249712508279,"Cell-type-specific"
"neuron projection guidance",1,"majorSC",1.54249712508279,1.54249712508279,"Cell-type-specific"
"sodium ion transport",1,"majorSC",1.5416480939802,1.5416480939802,"Cell-type-specific"
"response to monosaccharide",1,"majorSC",1.53452979022719,1.53452979022719,"Cell-type-specific"
"protein processing",1,"majorSC",1.53110153960354,1.53110153960354,"Cell-type-specific"
"response to external stimulus",1,"majorSC",1.53110153960354,1.53110153960354,"Cell-type-specific"
"fat cell differentiation",1,"majorSC",1.50039605427457,1.50039605427457,"Cell-type-specific"
"developmental cell growth",1,"majorSC",1.49603303090031,1.49603303090031,"Cell-type-specific"
"developmental growth involved in morphogenesis",1,"majorSC",1.49603303090031,1.49603303090031,"Cell-type-specific"
"response to stress",1,"majorSC",1.49603303090031,1.49603303090031,"Cell-type-specific"
"response to carbohydrate",1,"majorSC",1.49246269298141,1.49246269298141,"Cell-type-specific"
"regulation of system process",1,"mySC",1.48909973528329,1.48909973528329,"Cell-type-specific"
"regulation of response to stimulus",1,"majorSC",1.48877427277518,1.48877427277518,"Cell-type-specific"
"stem cell differentiation",1,"majorSC",1.47916480058916,1.47916480058916,"Cell-type-specific"
"regulation of anatomical structure morphogenesis",1,"majorSC",1.46918948849733,1.46918948849733,"Cell-type-specific"
"negative regulation of cell development",1,"majorSC",1.46364120108433,1.46364120108433,"Cell-type-specific"
"canonical Wnt signaling pathway",1,"majorSC",1.45910085471963,1.45910085471963,"Cell-type-specific"
"negative regulation of response to stimulus",1,"majorSC",1.45910085471963,1.45910085471963,"Cell-type-specific"
"sensory perception of mechanical stimulus",1,"majorSC",1.45910085471963,1.45910085471963,"Cell-type-specific"
"cell-cell adhesion",1,"majorSC",1.45297445014099,1.45297445014099,"Cell-type-specific"
"negative regulation of cell adhesion",1,"majorSC",1.44689255014449,1.44689255014449,"Cell-type-specific"
"regulation of neuron apoptotic process",1,"majorSC",1.43383075359397,1.43383075359397,"Cell-type-specific"
"regulation of Wnt signaling pathway",1,"majorSC",1.43324220288283,1.43324220288283,"Cell-type-specific"
"carbohydrate homeostasis",1,"majorSC",1.42602142165827,1.42602142165827,"Cell-type-specific"
"glucose homeostasis",1,"majorSC",1.42602142165827,1.42602142165827,"Cell-type-specific"
"connective tissue development",1,"majorSC",1.42486938429354,1.42486938429354,"Cell-type-specific"
"sensory organ morphogenesis",1,"majorSC",1.42486938429354,1.42486938429354,"Cell-type-specific"
"embryonic organ morphogenesis",1,"majorSC",1.41979893294449,1.41979893294449,"Cell-type-specific"
"blood vessel development",1,"mySC",1.4083246537716,1.4083246537716,"Cell-type-specific"
"response to hormone",1,"majorSC",1.40520122028407,1.40520122028407,"Cell-type-specific"
"response to steroid hormone",1,"majorSC",1.39935951907701,1.39935951907701,"Cell-type-specific"
"nervous system process",1,"mySC",1.39036738859359,1.39036738859359,"Cell-type-specific"
"vasculature development",1,"mySC",1.39036738859359,1.39036738859359,"Cell-type-specific"
"negative regulation of developmental process",1,"majorSC",1.36326466719961,1.36326466719961,"Cell-type-specific"
"export from cell",1,"majorSC",1.3628792610414,1.3628792610414,"Cell-type-specific"
"neuron apoptotic process",1,"majorSC",1.34964401339647,1.34964401339647,"Cell-type-specific"
"regulation of developmental growth",1,"majorSC",1.34558189441788,1.34558189441788,"Cell-type-specific"
"regulation of cellular component size",1,"majorSC",1.34171983355949,1.34171983355949,"Cell-type-specific"
"leukocyte migration",1,"majorSC",1.33387100757952,1.33387100757952,"Cell-type-specific"
"regulation of metal ion transport",1,"majorSC",1.33387100757952,1.33387100757952,"Cell-type-specific"
