"","Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID"
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction",487,41,0.0841889117043121,2.6342304236266,6.63922960861481,1.76536640184755e-08,1.00230199332482e-06,"COL3A1, ARHGAP20, IGF1, SOS1, PLK2, DOCK11, PLXNB1, KANK1, ARHGEF25, CHP1, ARHGAP21, ARHGEF10, ADRA2A, DHCR24, RGL1, RASGEF1C, STMN1, ARHGAP10, ITSN1, ARHGEF17, ARHGAP39, DOCK5, NET1, ITGB1, RAP1GAP, RTN4, ARHGEF28, RHOQ, SQSTM1, ERBB2, LRP4, COL1A2, STARD13, SPATA13, ARHGDIB, KSR1, PLEKHG6, LRRK2, RASGRP2, AUTS2, GRB2"
"GO:0015850","GO:0015850","organic hydroxy compound transport",293,30,0.102389078498294,3.20370486049985,6.90779614625992,2.11349428058225e-08,1.18969857537732e-06,"AKR1C1, CD36, SLC22A3, SLC16A7, PPARG, PLTP, AQP7, TSKU, ACACB, EEPD1, MSR1, ADRA2A, LRP1, SYT11, FLVCR2, PTCH1, NFKBIA, SLC16A1, SREBF2, P2RY1, CYP19A1, CXCL12, MAOB, AQP1, CLU, RXRA, ANXA2, SLC5A3, NR1H3, DAB2"
"GO:0003018","GO:0003018","vascular process in circulatory system",278,29,0.10431654676259,3.26401441243012,6.90999889990819,2.40661103360092e-08,1.32082835560797e-06,"CD36, SVEP1, SLC22A3, SLC16A7, PLEC, ANGPT1, SLC1A5, GPX1, KCNMA1, TJP1, NPR1, ADRA2A, TJP2, LRP1, FLVCR2, SLC16A1, ABCC9, P2RY1, TFRC, ATP2B4, DOCK5, ITGB1, MMP2, ADM, ITGB1BP1, SLC24A3, SLC1A1, SLC5A3, ACTA2"
"GO:0030199","GO:0030199","collagen fibril organization",69,14,0.202898550724638,6.34859774771516,8.08732670004589,3.05146181962298e-08,1.66090310281297e-06,"COL3A1, PLOD2, DDR2, COL6A1, PXDN, SERPINH1, COL12A1, SFRP2, COL5A2, CYP1B1, COL1A1, COL1A2, LOXL2, ANXA2"
"GO:0006066","GO:0006066","alcohol metabolic process",368,34,0.0923913043478261,2.89087933154887,6.65612608555975,3.20841168623749e-08,1.73201634143935e-06,"AKR1C1, IDH1, IGF1, RETSAT, ALDH2, ASAH1, AKR1C2, ACSS2, PNPLA2, ACAA2, TSKU, DHDDS, LIPE, DKK3, CAT, INSIG1, ADH1B, ACLY, DHCR24, VLDLR, DGAT1, DHCR7, EBP, MVD, SREBF2, P2RY1, AKR1C3, CYP1B1, ISYNA1, ALDH3A2, SLC5A3, IP6K2, DAB2, MOXD1"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process",187,23,0.122994652406417,3.84844332529563,7.1128035986728,3.33667319496989e-08,1.78661216764811e-06,"IDH1, IGF1, PGD, COL6A1, ME1, NQO1, PFKFB3, PC, ACACB, ALDOC, GPD1, LDHB, BCL2L13, PDXK, MDH1, ALDOA, ENO1, NUPR1, HK1, ALDH1L1, SLC4A1, FMO2, LDHA"
"GO:0010876","GO:0010876","lipid localization",482,40,0.0829875518672199,2.59664045401509,6.45225170326219,3.92510370478132e-08,2.08473653223305e-06,"ACSL1, AKR1C1, CD36, APOL6, FZD4, PPARG, PLTP, PLIN2, ANXA1, LPL, ESYT1, PNPLA2, TSKU, ACACB, EEPD1, NME4, MSR1, FABP4, LRP1, PTCH1, HILPDA, VLDLR, NFKBIA, PITPNM1, SREBF2, ANO6, C3, CYP19A1, THBS1, INHBA, AKT2, SLC4A1, ATP9A, CLU, RXRA, ACSL4, ANXA2, OSBPL8, NR1H3, DAB2"
"GO:0001706","GO:0001706","endoderm formation",61,13,0.213114754098361,6.66825782166335,8.05679511310128,5.11887297269684e-08,2.63382010923292e-06,"DUSP4, LAMB3, COL6A1, ITGB5, COL12A1, MAP2K1, ITGB2, COL8A1, COL5A2, MMP2, INHBA, COL7A1, GRB2"
"GO:0007160","GO:0007160","cell-matrix adhesion",240,26,0.108333333333333,3.3896977260122,6.76986577718166,5.97792945609961e-08,3.05198786030016e-06,"COL3A1, CD36, SVEP1, DMTN, LYVE1, ITGB5, ITGA6, THY1, ITGB4, ITGB2, SFRP1, BCAM, ITGB1, JAG1, THBS1, SIGLEC1, CLASP2, ITGB1BP1, JAM3, ANXA2, L1CAM, POSTN, FREM1, ITGA8, NPNT, ITGBL1"
"GO:0035987","GO:0035987","endodermal cell differentiation",52,12,0.230769230769231,7.22065787789581,8.16171744532275,6.52829785017271e-08,3.28208928559064e-06,"LAMB3, COL6A1, ITGB5, COL12A1, MAP2K1, ITGB2, COL8A1, COL5A2, MMP2, INHBA, COL7A1, GRB2"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process",180,22,0.122222222222222,3.82427435755223,6.91789456423901,7.42505523961541e-08,3.62232694874867e-06,"IDH1, IGF1, PGD, COL6A1, ME1, NQO1, PFKFB3, PC, ACACB, ALDOC, GPD1, LDHB, BCL2L13, MDH1, ALDOA, ENO1, NUPR1, HK1, ALDH1L1, SLC4A1, FMO2, LDHA"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",180,22,0.122222222222222,3.82427435755223,6.91789456423901,7.42505523961541e-08,3.62232694874867e-06,"IDH1, IGF1, PGD, COL6A1, ME1, NQO1, PFKFB3, PC, ACACB, ALDOC, GPD1, LDHB, BCL2L13, MDH1, ALDOA, ENO1, NUPR1, HK1, ALDH1L1, SLC4A1, FMO2, LDHA"
"GO:0110076","GO:0110076","negative regulation of ferroptosis",9,6,0.666666666666667,20.8596783139212,10.8277866512411,8.04535347395242e-08,3.86764218828107e-06,"NQO1, FTH1, HMOX1, AIFM2, GPX4, SQSTM1"
"GO:0042063","GO:0042063","gliogenesis",348,32,0.0919540229885057,2.87719700881672,6.42240757775434,9.12843574110942e-08,4.32517106409688e-06,"COL3A1, TNFRSF21, CDKN2B, PLEC, SOS1, COL6A1, GPC1, PFKFB3, MAPT, BOK, BNIP3, MATN2, ITGB4, CD9, ARHGEF10, SOX13, LRP1, MAP2K1, ROR1, P2RY1, DTX1, NFIB, NTRK2, RTN4, SYNE2, AKT2, ERBB2, APCDD1, CLU, IL6ST, PHGDH, GRB2"
"GO:0001666","GO:0001666","response to hypoxia",316,30,0.0949367088607595,2.97052381052676,6.41870566026093,1.14986862299271e-07,5.37094663193616e-06,"FZD4, PPARG, PLOD2, DDR2, ACAA2, CAT, KCNMA1, CRYAB, ALAS2, BNIP3, HILPDA, SFRP1, ABCC9, TFRC, BNIP3L, CXCL12, ENO1, MMP2, THBS1, FOS, RTN4, INHBA, ADM, AQP1, MALAT1, LOXL2, VEGFB, POSTN, NR4A2, ANGPTL4"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading",101,16,0.158415841584158,4.95675524291198,7.24455260498995,1.252974264593e-07,5.77069126336326e-06,"DMTN, FZD4, LAMA5, KANK1, PARVB, DOCK5, PKP2, NTN4, ITGB1BP1, MICALL2, FBLN1, POSTN, ITGA8, ST6GAL1, DAB2, ACTN4"
"GO:0033627","GO:0033627","cell adhesion mediated by integrin",89,15,0.168539325842697,5.27351418048571,7.34264578978889,1.3357369362346e-07,6.10914129308408e-06,"FBN1, ITGB5, ITGA6, ITGB4, ITGB2, SFRP2, ITGB1, CYP1B1, ITGB1BP1, NCKAP1L, JAM3, MMRN1, ITGA8, NPNT, ITGBL1"
"GO:0016049","GO:0016049","cell growth",492,39,0.0792682926829268,2.48026662878942,6.04535342834181,1.93896832184556e-07,8.6871056922958e-06,"PLXNA4, IGF1, FHL1, TSPYL2, MAPT, CRYAB, SEMA3G, NPR1, DCLK1, DCUN1D3, SLC23A2, SLIT3, PAK4, SFRP2, SFRP1, SGK2, ENPP1, SEMA6D, CXCL12, ENO1, NET1, ITGB1, RTN4, INHBA, CLASP2, SORBS2, ERBB2, HYAL1, KAT7, ACSL4, L1CAM, POSTN, TNC, RASGRP2, IGFBP3, IP6K2, SMARCA2, DAB2, AUTS2"
"GO:0001503","GO:0001503","ossification",458,37,0.0807860262008734,2.52775577821535,6.01427230223394,2.51168831187494e-07,1.08828810671107e-05,"IGF1, PPARG, DDR2, GPC3, COL6A1, FZD1, CHRDL1, PLXNB1, CAT, FASN, SGMS2, BMP3, PTCH1, SFRP2, EBP, SFRP1, FBN2, ANO6, ENPP1, COL5A2, PPARGC1B, JAG1, MMP2, COL1A1, LRP4, COL1A2, PDLIM7, SLC24A3, RXRA, IL6ST, ANKH, TNC, XYLT1, IGFBP3, S1PR1, NPNT, MRC2"
"GO:0014037","GO:0014037","Schwann cell differentiation",49,11,0.224489795918367,7.02417739142246,7.67192986022752,3.13316411085219e-07,1.32275761756875e-05,"PLEC, SOS1, COL6A1, GPC1, ITGB4, ARHGEF10, MAP2K1, NTRK2, AKT2, ERBB2, GRB2"
"GO:0120254","GO:0120254","olefinic compound metabolic process",165,20,0.121212121212121,3.79266878434932,6.54662391380839,3.32072578002575e-07,1.39301273804138e-05,"AKR1C1, RETSAT, AKR1C2, PTGDS, PNPLA2, LIPE, DKK3, GPX1, ELOVL5, EPHX1, GPX4, ADH1B, DGAT1, MGLL, CYP19A1, AKR1C3, CYP1B1, INHBA, ADM, DAB2"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process",245,25,0.102040816326531,3.19280790519203,6.27731017058888,3.39599501231218e-07,1.4155710855119e-05,"AKR1C1, CD36, PDK4, COL6A1, NQO1, MAPT, GPX1, CAT, PXDN, CRYAB, BNIP3, ACOX1, ITGB2, ABCC9, AKR1C3, THBS1, CYP1B1, ARF4, MAOB, PRCP, SH3PXD2A, SLC1A1, SLC5A3, LRRK2, GRB2"
"GO:1905475","GO:1905475","regulation of protein localization to membrane",197,22,0.111675126903553,3.49426083431168,6.39446295284991,3.67193655225887e-07,1.5209669266149e-05,"DMTN, AR, GPC3, GPC1, EPB41L3, CHP1, GPC6, GSN, LRP1, ITGB2, ATP2B4, ITGB1, ITGB1BP1, RHOQ, SQSTM1, AKT2, ERBB2, LRP4, ANK3, SLC1A1, SLC5A3, DAB2"
"GO:0006979","GO:0006979","response to oxidative stress",408,34,0.0833333333333333,2.60745978924015,5.96452192057903,3.78768581422162e-07,1.54942228400395e-05,"CD36, IDH1, VKORC1L1, DDR2, COL6A1, NQO1, HMOX1, MAPT, GPX1, CAT, PXDN, AIFM2, CRYAB, BNIP3, GPX4, FUT8, SLC23A2, C19orf12, ABCC9, SESN3, SGK2, NET1, PPARGC1B, MMP2, CYP1B1, FOS, COL1A1, HYAL1, AQP1, MSRB2, SLC1A1, LRRK2, NR4A2, STAT1"
"GO:0001558","GO:0001558","regulation of cell growth",410,34,0.0829268292682927,2.59474047319508,5.93213454428468,4.24266596216015e-07,1.71816770202529e-05,"PLXNA4, IGF1, FHL1, TSPYL2, MAPT, CRYAB, SEMA3G, NPR1, DCUN1D3, SLC23A2, SLIT3, PAK4, SFRP2, SFRP1, SGK2, ENPP1, SEMA6D, CXCL12, ENO1, NET1, RTN4, INHBA, CLASP2, ERBB2, HYAL1, KAT7, ACSL4, L1CAM, TNC, RASGRP2, IGFBP3, IP6K2, SMARCA2, DAB2"
"GO:0019915","GO:0019915","lipid storage",97,15,0.154639175257732,4.83858517590957,6.88687677181581,4.2784619364128e-07,1.71816770202529e-05,"CD36, PPARG, PLIN2, LPL, PNPLA2, ACACB, MSR1, HILPDA, NFKBIA, DGAT1, SREBF2, C3, ENPP1, OSBPL8, NR1H3"
"GO:0170062","GO:0170062","nutrient storage",97,15,0.154639175257732,4.83858517590957,6.88687677181581,4.2784619364128e-07,1.71816770202529e-05,"CD36, PPARG, PLIN2, LPL, PNPLA2, ACACB, MSR1, HILPDA, NFKBIA, DGAT1, SREBF2, C3, ENPP1, OSBPL8, NR1H3"
"GO:0000302","GO:0000302","response to reactive oxygen species",201,22,0.109452736318408,3.42472330527065,6.27965802631526,5.201128452124e-07,2.06353204733064e-05,"CD36, DDR2, COL6A1, NQO1, HMOX1, MAPT, GPX1, CAT, CRYAB, BNIP3, ABCC9, SESN3, NET1, PPARGC1B, MMP2, CYP1B1, FOS, COL1A1, HYAL1, AQP1, LRRK2, STAT1"
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction",303,28,0.0924092409240924,2.89144055836532,6.03092068882676,5.27532467015059e-07,2.08043642380909e-05,"COL3A1, ARHGAP20, IGF1, SOS1, DOCK11, PLXNB1, KANK1, ARHGEF25, ARHGAP21, ARHGEF10, STMN1, ARHGAP10, ITSN1, ARHGEF17, ARHGAP39, NET1, ITGB1, RAP1GAP, RTN4, ARHGEF28, SQSTM1, ERBB2, LRP4, STARD13, SPATA13, ARHGDIB, PLEKHG6, AUTS2"
"GO:0014044","GO:0014044","Schwann cell development",42,10,0.238095238095238,7.44988511211473,7.60334030266566,6.03058842273704e-07,2.33632090306742e-05,"PLEC, SOS1, COL6A1, ITGB4, ARHGEF10, MAP2K1, NTRK2, AKT2, ERBB2, GRB2"
"GO:0006090","GO:0006090","pyruvate metabolic process",127,17,0.133858267716535,4.18836060633852,6.55062975190115,6.16621149128425e-07,2.37489291705252e-05,"IGF1, PDK4, COL6A1, ME1, PFKFB3, PC, ALDOC, GPD1, LDHB, BCL2L13, SLC16A1, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0007409","GO:0007409","axonogenesis",459,36,0.0784313725490196,2.45407980163779,5.73063613322607,7.41806742049359e-07,2.84042976926574e-05,"PLXNA4, SOS1, PAK3, TSKU, PLXNB1, ARHGEF25, MAPT, SEMA3G, THY1, MATN2, DCLK1, PTCH1, STMN1, MAP2K1, SLIT3, MYCBP2, SEMA6D, CXCL12, FOXD1, ITGB1, NFIB, NTRK2, NTN4, LRRC4C, RTN4, ARHGEF28, CLASP2, ERBB2, FZD3, LRP4, ANK3, APLP2, L1CAM, NR4A2, CHL1, AUTS2"
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion",224,23,0.102678571428571,3.21276295459948,6.05345479136697,8.95224283340689e-07,3.33104357631739e-05,"CCDC80, CD36, DMTN, FZD4, KANK1, ITGA6, FBLN2, THY1, SFRP1, COL8A1, DOCK5, PKP2, JAG1, THBS1, COL1A1, CLASP2, ITGB1BP1, FBLN1, POSTN, NPNT, ST6GAL1, DAB2, ACTN4"
"GO:0034308","GO:0034308","primary alcohol metabolic process",103,15,0.145631067961165,4.55672584527406,6.57663774460806,9.4598595993692e-07,3.48059415203606e-05,"AKR1C1, IGF1, RETSAT, ALDH2, AKR1C2, ACSS2, PNPLA2, LIPE, DKK3, ADH1B, DGAT1, AKR1C3, CYP1B1, ALDH3A2, DAB2"
"GO:1903533","GO:1903533","regulation of protein targeting",78,13,0.166666666666667,5.21491957848031,6.77768580959639,1.0448778217168e-06,3.78107985375101e-05,"DMTN, CHP1, ITGB2, SREBF2, BNIP3L, ITGB1BP1, MICALL2, AKT2, ERBB2, ANK3, SLC1A1, FZD5, LRRK2"
"GO:0001704","GO:0001704","formation of primary germ layer",132,17,0.128787878787879,4.02971058337115,6.34687587325638,1.07186113275644e-06,3.85752864499121e-05,"DUSP4, LAMB3, COL6A1, ITGB5, ITGB4, COL12A1, MAP2K1, ITGB2, SFRP2, COL8A1, COL5A2, ITGB1, MMP2, INHBA, COL7A1, ITGA8, GRB2"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",448,35,0.078125,2.44449355241265,5.62254195206763,1.15813113387592e-06,4.10104336237068e-05,"IDH1, IGF1, PGD, MTHFD1, COL6A1, ME1, NQO1, PFKFB3, PC, ACACB, ALDOC, GPD1, NPR1, LDHB, NME4, BCL2L13, TJP2, MDH1, ALDOA, ABCC9, ENPP1, HSPA8, ENO1, PDE1A, NUPR1, HK1, RHOQ, ALDH1L1, SLC4A1, FMO2, PAPSS2, LRRK2, LDHA, IMPDH1, PDE8B"
"GO:1901342","GO:1901342","regulation of vasculature development",372,31,0.0833333333333333,2.60745978924015,5.6897412950598,1.23950938606227e-06,4.36545926021719e-05,"SPARC, CD36, THBS4, PPARG, SERPINF1, PLK2, HMOX1, GAB1, TJP1, NPR1, JAK1, ITGB2, PAK4, SFRP2, SFRP1, C3, ATP2B4, GPNMB, CXCL12, HSPB6, ITGB1, THBS1, CYP1B1, RTN4, ADM, ERBB2, HYAL1, AQP1, VEGFB, STAT1, ANGPTL4"
"GO:0010875","GO:0010875","positive regulation of cholesterol efflux",27,8,0.296296296296296,9.27096813952055,7.81434365448286,1.34740255198821e-06,4.62187146218457e-05,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, RXRA, NR1H3"
"GO:0010884","GO:0010884","positive regulation of lipid storage",27,8,0.296296296296296,9.27096813952055,7.81434365448286,1.34740255198821e-06,4.62187146218457e-05,"CD36, PLIN2, LPL, ACACB, MSR1, HILPDA, SREBF2, C3"
"GO:0032373","GO:0032373","positive regulation of sterol transport",36,9,0.25,7.82237936772047,7.44467069962086,1.42511355883202e-06,4.83804015384931e-05,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, RXRA, ANXA2, NR1H3"
"GO:0032376","GO:0032376","positive regulation of cholesterol transport",36,9,0.25,7.82237936772047,7.44467069962086,1.42511355883202e-06,4.83804015384931e-05,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, RXRA, ANXA2, NR1H3"
"GO:0035567","GO:0035567","non-canonical Wnt signaling pathway",69,12,0.173913043478261,5.44165521232728,6.7159877196593,1.69884181826541e-06,5.67947828177462e-05,"FZD4, GPC3, FZD1, FZD2, DACT1, SFRP2, SFRP1, PLEKHA4, FZD3, FZD5, CSNK1E, DAB2"
"GO:0045444","GO:0045444","fat cell differentiation",252,24,0.0952380952380952,2.97995404484589,5.74946258680481,2.00836622264684e-06,6.64678389062918e-05,"PPARG, LAMB3, LPL, SIX1, PEX11A, GPX1, EBF2, BNIP3, INSIG1, BCL2L13, SOX13, FABP4, CCDC3, SFRP2, SFRP1, ENPP1, TRIB2, JAG1, PRDM16, ZBTB7C, AKT2, NR4A2, OSBPL8, LMO3"
"GO:0007584","GO:0007584","response to nutrient",169,19,0.112426035502959,3.51775640205181,5.97392346327849,2.06223343617882e-06,6.79093470533686e-05,"ACSL1, PPARG, CDKN2B, LPL, NQO1, GPX1, CAT, ACACB, SLC16A1, SFRP2, SFRP1, TFRC, AKR1C3, CYP1B1, COL1A1, RXRA, POSTN, TNC, STAT1"
"GO:0006869","GO:0006869","lipid transport",460,35,0.0760869565217391,2.38072415539319,5.44760894619938,2.11474659744633e-06,6.89491143107997e-05,"ACSL1, AKR1C1, CD36, APOL6, FZD4, PPARG, PLTP, PLIN2, ANXA1, ESYT1, TSKU, EEPD1, NME4, MSR1, FABP4, LRP1, PTCH1, VLDLR, NFKBIA, PITPNM1, SREBF2, ANO6, CYP19A1, THBS1, INHBA, AKT2, SLC4A1, ATP9A, CLU, RXRA, ACSL4, ANXA2, OSBPL8, NR1H3, DAB2"
"GO:0045765","GO:0045765","regulation of angiogenesis",363,30,0.0826446280991736,2.58591053478363,5.54379205259716,2.17951913752108e-06,7.07109016734672e-05,"SPARC, CD36, THBS4, PPARG, SERPINF1, PLK2, HMOX1, GAB1, TJP1, NPR1, JAK1, ITGB2, PAK4, SFRP2, SFRP1, C3, ATP2B4, GPNMB, HSPB6, ITGB1, THBS1, CYP1B1, RTN4, ADM, ERBB2, HYAL1, AQP1, VEGFB, STAT1, ANGPTL4"
"GO:0051402","GO:0051402","neuron apoptotic process",309,27,0.087378640776699,2.73403550716443,5.58440955227677,2.47165102711947e-06,7.94063105590675e-05,"TNFRSF21, ANGPT1, SIX1, COL6A1, COL6A2, FZD1, NQO1, GPX1, BOK, LGMN, USP53, BNIP3, COL6A3, UBB, CPEB4, NTRK2, NUPR1, MMP2, AKT2, EN1, GBE1, CLU, SLC1A1, VEGFB, IL6ST, NR4A2, CHL1"
"GO:0009308","GO:0009308","amine metabolic process",111,15,0.135135135135135,4.22831317174079,6.19819124323475,2.48913183519201e-06,7.95797197406533e-05,"SLC22A3, MAOA, ALDH2, AOC3, NPR1, ITGB2, ATP2B4, OAZ1, MAOB, SLC1A1, NR4A2, SAT1, HNMT, MOXD1, PDE1B"
"GO:1900025","GO:1900025","negative regulation of substrate adhesion-dependent cell spreading",14,6,0.428571428571429,13.4097932018065,8.43980786406035,2.50761689346949e-06,7.97834051226574e-05,"DMTN, KANK1, ITGB1BP1, FBLN1, POSTN, ACTN4"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",484,36,0.0743801652892562,2.32731948130526,5.37529750430701,2.5501182515162e-06,8.0745571175412e-05,"IDH1, PPP1R1A, IGF1, ACO1, PLEC, PGD, PYGL, COL6A1, PFKFB3, CAT, AIFM2, ACACB, ALDOC, CS, GPD1, BNIP3, BCL2L13, ACOX1, GYS1, MDH1, ALDOA, ABCC9, ENPP1, ENO1, NUPR1, AACS, PRDM16, HK1, AKT2, ALDH1L1, TMEM135, GBE1, SLC4A1, UQCRFS1, IL6ST, LDHA"
