"comparison","cell_type","gene_set","enrich_type","pathway","gene","pathway_padj"
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Frzb",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Egr2",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Nbl1",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Sema7a",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Mag",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Serpine2",8.99914458340375e-05
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Mfap5",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Col1a1",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Frzb",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Egr2",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Cpe",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Nbl1",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Sema7a",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Mag",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Serpine2",0.000276002289063434
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Col1a1",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Frzb",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Egr2",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Nbl1",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Sema7a",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Mag",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of developmental process","Serpine2",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of glial cell differentiation","Egr2",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of glial cell differentiation","Mag",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of glial cell differentiation","Serpine2",0.00048496962027525
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Col1a1",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Frzb",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Egr2",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Nbl1",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Sema7a",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Mag",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell differentiation","Serpine2",0.000798695551318123
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Col1a1",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Frzb",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Egr2",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Cpe",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Nbl1",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Sema7a",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Mag",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of developmental process","Serpine2",0.000954461370992133
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Egr2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Cpe",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Nbl1",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Sema7a",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Mag",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection development","Serpine2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of gliogenesis","Egr2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of gliogenesis","Mag",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of gliogenesis","Serpine2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Egr2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Sema7a",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Mag",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Serpine2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of glial cell differentiation","Egr2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of glial cell differentiation","Mag",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of glial cell differentiation","Serpine2",0.000975527493345445
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection morphogenesis","Egr2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection morphogenesis","Cpe",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection morphogenesis","Nbl1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection morphogenesis","Sema7a",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron projection morphogenesis","Mag",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Egr2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Cpe",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Nbl1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Sema7a",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Mag",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell projection morphogenesis","Egr2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell projection morphogenesis","Cpe",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell projection morphogenesis","Nbl1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell projection morphogenesis","Sema7a",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell projection morphogenesis","Mag",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Mfap5",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Col1a1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Frzb",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Egr2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Cpe",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Nbl1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Sema7a",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Mag",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","system development","Serpine2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Egr2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Cpe",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Nbl1",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Sema7a",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Mag",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron development","Serpine2",0.00104543489467276
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of astrocyte differentiation","Mag",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of astrocyte differentiation","Serpine2",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of nervous system development","Egr2",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of nervous system development","Sema7a",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of nervous system development","Mag",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of nervous system development","Serpine2",0.00115417400052737
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Mfap5",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Frzb",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Egr2",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Cpe",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Nbl1",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Sema7a",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Mag",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell development","Serpine2",0.00150173244712994
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell growth","Frzb",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell growth","Sema7a",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell growth","Mag",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell growth","Serpine2",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of gliogenesis","Egr2",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of gliogenesis","Mag",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of gliogenesis","Serpine2",0.00162523172773429
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell development","Frzb",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell development","Egr2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell development","Sema7a",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell development","Mag",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of cell development","Serpine2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Sdc3",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Col1a1",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Cpe",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Nbl1",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Sema7a",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","cell migration","Chst2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of neurogenesis","Egr2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of neurogenesis","Sema7a",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of neurogenesis","Mag",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","regulation of neurogenesis","Serpine2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron differentiation","Egr2",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron differentiation","Cpe",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron differentiation","Nbl1",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron differentiation","Sema7a",0.00184188933355198
"EXvsHFD","majorSC","Overlap_MS","richR_GO","neuron differentiation","Mag",0.00184188933355198
