"gene","n_pathways","n_comparisons","pathways"
"Fam107a",74,2,"cell adhesion | regulation of cell growth | cell growth | negative regulation of cell adhesion | regulation of growth | response to steroid hormone | system development | regulation of cell adhesion | regulation of cell migration | cell migration | multicellular organism development | regulation of cell motility | growth | regulation of locomotion | negative regulation of cell-substrate adhesion | cellular response to glucocorticoid stimulus | cell motility | cellular response to corticosteroid stimulus | locomotion | cellular component organization | anatomical structure development | response to hormone | response to lipid | regulation of cell-substrate adhesion | cellular response to nutrient levels | system process | cell-substrate adhesion | response to endogenous stimulus | response to nutrient levels | positive regulation of cell migration | positive regulation of cell motility | positive regulation of locomotion | nervous system development | developmental process | cellular component organization or biogenesis | response to glucocorticoid | response to corticosteroid | multicellular organismal process | cellular response to chemical stimulus | regulation of cellular component organization | cellular response to endogenous stimulus | positive regulation of cellular process | actin filament bundle assembly | biological regulation | positive regulation of biological process | actin filament bundle organization | regulation of actin filament-based process | regulation of biological process | cellular response to steroid hormone stimulus | long-term synaptic potentiation | positive regulation of protein modification process | regulation of cellular process | cellular process | supramolecular fiber organization | response to chemical | actin filament-based process | regulation of biological quality | regulation of cytoskeleton organization | regulation of G1/S transition of mitotic cell cycle | negative regulation of mitotic cell cycle phase transition | regulation of cell cycle G1/S phase transition | G1/S transition of mitotic cell cycle | negative regulation of mitotic cell cycle | cell cycle G1/S phase transition | negative regulation of cell cycle phase transition | positive regulation of macromolecule metabolic process | regulation of primary metabolic process | negative regulation of cell cycle process | synapse assembly | regulation of mitotic cell cycle phase transition | positive regulation of metabolic process | regulation of cellular component biogenesis | regulation of actin cytoskeleton organization | negative regulation of cell cycle"
"Mbp",73,3,"response to steroid hormone | response to hormone | response to progesterone | intracellular signal transduction | response to ketone | cell adhesion | cell communication | response to endogenous stimulus | regulation of cellular process | intracellular signaling cassette | response to lipid | response to chemical | homeostatic process | signal transduction | response to oxygen-containing compound | response to stimulus | regulation of biological process | biological regulation | regulation of axonogenesis | signaling | positive regulation of cellular process | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | positive regulation of biological process | sensory perception of sound | cell-cell adhesion via plasma-membrane adhesion molecules | tissue homeostasis | anatomical structure homeostasis | embryo development | sensory perception of mechanical stimulus | negative regulation of cell adhesion | cellular response to stimulus | regulation of cell adhesion | cytokine production | negative regulation of biological process | anatomical structure morphogenesis | system development | multicellular organism development | regulation of multicellular organismal process | negative regulation of multicellular organismal process | regulation of developmental process | cell differentiation | cellular developmental process | regulation of cell development | regulation of multicellular organismal development | cell-cell adhesion | regulation of neurogenesis | cellular component organization | anatomical structure development | neuron differentiation | cell development | regulation of cell-cell adhesion | system process | cell morphogenesis | generation of neurons | plasma membrane bounded cell projection organization | neuron projection development | cell projection organization | nervous system development | neuron development | neurogenesis | myelination | ensheathment of neurons | axon ensheathment | cellular component organization or biogenesis | regulation of cell differentiation | negative regulation of developmental process | developmental process | regulation of nervous system development | multicellular organismal process | gastrulation | negative regulation of cell projection organization"
"Col3a1",70,1,"response to hormone | intracellular signal transduction | collagen fibril organization | endochondral bone morphogenesis | cell adhesion | skin development | cell communication | cell migration | response to endogenous stimulus | integrin-mediated signaling pathway | regulation of cell migration | bone morphogenesis | regulation of cellular process | regulation of cell motility | intracellular signaling cassette | cell motility | regulation of locomotion | response to chemical | homeostatic process | signal transduction | response to oxygen-containing compound | response to stimulus | regulation of biological process | biological regulation | locomotion | tissue development | cellular response to amino acid stimulus | signaling | animal organ development | cellular response to acid chemical | positive regulation of cellular process | neuron migration | response to amino acid | cartilage development | bone development | response to acid chemical | skeletal system morphogenesis | head development | positive regulation of biological process | AGE-RAGE signaling pathway in diabetic complications | Protein digestion and absorption | Amoebiasis | Platelet activation | Relaxin signaling pathway | Diabetic cardiomyopathy | Cytoskeleton in muscle cells | cellular response to transforming growth factor beta stimulus | response to transforming growth factor beta | tissue homeostasis | anatomical structure homeostasis | embryo development | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | connective tissue development | cell-substrate adhesion | small GTPase-mediated signal transduction | response to peptide hormone | cellular response to stimulus | skeletal system development | cellular response to growth factor stimulus | response to growth factor | blood vessel development | supramolecular fiber organization | vasculature development | chordate embryonic development | cytokine production | embryo development ending in birth or egg hatching | negative regulation of biological process | anatomical structure morphogenesis"
"Gpm6a",53,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | animal organ development | cellular component organization | neuron differentiation | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | cell migration | neuron development | cell motility | multicellular organismal process | cell morphogenesis | regulation of cellular component organization | metal ion transport | cell development | regulation of plasma membrane bounded cell projection organization | monoatomic cation transport | regulation of cell projection organization | positive regulation of cellular process | monoatomic ion transport | biological regulation | positive regulation of cellular component organization | positive regulation of biological process | transport | regulation of biological process | positive regulation of cell projection organization | establishment of localization | inorganic cation transmembrane transport | regulation of cellular process | cellular process | localization | monoatomic cation transmembrane transport | regulation of biological quality | synapse assembly | regulation of cellular component biogenesis | cell junction assembly | retina development in camera-type eye | regulation of plasma membrane bounded cell projection assembly | regulation of cell projection assembly | neuron migration"
"Metrn",52,1,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | neuron projection morphogenesis | regulation of multicellular organismal development | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | neuron development | regulation of multicellular organismal process | regulation of cell differentiation | glial cell differentiation | positive regulation of neurogenesis | multicellular organismal process | regulation of nervous system development | cell morphogenesis | regulation of cellular component organization | positive regulation of nervous system development | gliogenesis | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | regulation of neurogenesis | cell development | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | positive regulation of cellular process | positive regulation of cell development | regulation of axonogenesis | biological regulation | regulation of cell development | positive regulation of cellular component organization | positive regulation of biological process | regulation of biological process | positive regulation of cell projection organization | regulation of cellular process | cellular process | axonogenesis"
"Nbl1",52,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | regulation of cell migration | cell projection morphogenesis | cell migration | response to endogenous stimulus | regulation of cell motility | neuron development | regulation of cell differentiation | regulation of locomotion | cell motility | locomotion | multicellular organismal process | cellular response to chemical stimulus | cell morphogenesis | regulation of neuron differentiation | cellular response to endogenous stimulus | cell development | positive regulation of cellular process | biological regulation | positive regulation of biological process | regulation of biological process | negative regulation of BMP signaling pathway | regulation of response to stimulus | cellular response to growth factor stimulus | response to growth factor | maintenance of protein location | regulation of cellular process | cellular process | localization | response to chemical | cell surface receptor signaling pathway | positive regulation of neuron differentiation"
"Frzb",49,2,"regulation of cell growth | cell growth | regulation of growth | system development | anatomical structure morphogenesis | multicellular organism development | growth | mesenchymal cell differentiation | negative regulation of hepatocyte differentiation | regulation of multicellular organismal process | animal organ morphogenesis | animal organ development | mesenchyme development | negative regulation of multicellular organismal process | regulation of developmental process | sensory organ morphogenesis | neural crest cell differentiation | cell differentiation | cellular developmental process | regulation of cell development | regulation of multicellular organismal development | Wnt signaling pathway | cellular component organization | positive regulation of cell differentiation | anatomical structure development | cell development | developmental process | positive regulation of developmental process | cellular component organization or biogenesis | regulation of cell differentiation | tissue development | multicellular organismal process | regulation of cellular component organization | positive regulation of cellular process | gland development | biological regulation | positive regulation of biological process | liver development | negative regulation of cell growth | hepaticobiliary system development | negative regulation of epithelial cell differentiation | regulation of biological process | regulation of response to stimulus | negative regulation of developmental process | negative regulation of growth | regulation of cellular process | cellular process | regulation of canonical Wnt signaling pathway | cell surface receptor signaling pathway"
"Kcna2",41,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | animal organ development | cellular component organization | cellular component organization or biogenesis | regulation of multicellular organismal process | multicellular organismal process | cranial nerve structural organization | export across plasma membrane | metal ion transport | potassium ion transport | anatomical structure arrangement | nerve development | potassium ion export across plasma membrane | monoatomic cation transport | central nervous system development | cranial nerve morphogenesis | head development | monoatomic ion transport | biological regulation | transport | potassium ion transmembrane transport | cranial nerve development | regulation of biological process | export from cell | establishment of localization | brain development | inorganic cation transmembrane transport | rhythmic behavior | regulation of cellular process | cellular process | localization | monoatomic cation transmembrane transport | regulation of biological quality | system process | transmission of nerve impulse | action potential"
"Txnip",40,1,"response to steroid hormone | protein localization to nucleus | response to hydrogen peroxide | protein localization to organelle | response to hormone | response to progesterone | response to reactive oxygen species | response to glucose | response to hexose | response to monosaccharide | response to ketone | response to carbohydrate | skin development | cell communication | response to endogenous stimulus | response to oxidative stress | regulation of cellular process | response to estradiol | response to lipid | localization | response to chemical | signal transduction | response to oxygen-containing compound | response to stimulus | regulation of biological process | nitrogen compound transport | response to calcium ion | biological regulation | transport | tissue development | protein import into nucleus | signaling | animal organ development | import into nucleus | establishment of localization | positive regulation of cellular process | protein transport | intracellular protein localization | response to mechanical stimulus | positive regulation of biological process"
"Col14a1",39,2,"cell adhesion | regulation of cell growth | cell growth | regulation of growth | system development | multicellular organism development | growth | regulation of multicellular organismal process | animal organ development | collagen fibril organization | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | regulation of developmental process | cell differentiation | cellular developmental process | cardiac muscle hypertrophy | striated muscle hypertrophy | muscle hypertrophy | regulation of multicellular organismal development | cellular component organization | anatomical structure development | cell development | developmental process | cellular component organization or biogenesis | tissue development | multicellular organismal process | regulation of cellular component organization | striated muscle tissue development | developmental cell growth | muscle tissue development | circulatory system development | biological regulation | regulation of biological process | muscle structure development | regulation of cellular process | cellular process | system process | developmental growth"
"Slc2a1",39,1,"system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | animal organ development | cellular component organization | cellular component organization or biogenesis | response to abiotic stimulus | cellular response to mechanical stimulus | response to endogenous stimulus | cellular response to external stimulus | cellular response to abiotic stimulus | cellular response to environmental stimulus | response to mechanical stimulus | response to hormone | multicellular organismal process | cellular response to chemical stimulus | response to oxygen levels | central nervous system development | head development | response to stress | cellular response to stress | response to hypoxia | cellular hyperosmotic response | fucose transmembrane transport | cellular response to chemical stress | response to decreased oxygen levels | hyperosmotic response | transport | import across plasma membrane | establishment of localization | brain development | cellular process | localization | response to chemical | cellular response to osmotic stress | response to peptide hormone | system process"
"Efhd1",34,1,"system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | cellular component organization | neuron differentiation | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | response to abiotic stimulus | neuron development | cellular response to abiotic stimulus | cellular response to environmental stimulus | multicellular organismal process | cellular response to chemical stimulus | cell development | response to stress | cellular response to stress | cellular hyperosmotic response | cellular response to chemical stress | hyperosmotic response | biological regulation | regulation of biological process | regulation of response to stimulus | regulation of cellular process | cellular process | response to chemical | cellular response to osmotic stress"
"Rap1gap",33,1,"neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | nervous system development | neurogenesis | multicellular organism development | cellular component organization | response to endogenous stimulus | cellular component organization or biogenesis | regulation of neuron differentiation | system development | negative regulation of microvillus assembly | regulation of thyroid gland epithelial cell proliferation | negative regulation of thyroid gland epithelial cell proliferation | thyroid gland epithelial cell proliferation | cell adhesion | anatomical structure development | regulation of multicellular organismal process | localization | animal organ development | transport | regulation of cell differentiation | negative regulation of developmental process | developmental process | establishment of localization | regulation of developmental process | multicellular organismal process | cell differentiation | cellular developmental process | regulation of plasma membrane bounded cell projection assembly | regulation of cell projection assembly | negative regulation of cell projection organization"
"Cldn19",32,2,"cell adhesion | cell communication | cell migration | regulation of cell migration | regulation of cellular process | regulation of cell motility | cell motility | regulation of locomotion | localization | regulation of biological process | visual perception | sensory perception of light stimulus | biological regulation | locomotion | transport | tissue development | animal organ development | establishment of localization | positive regulation of cellular process | positive regulation of biological process | cell-cell adhesion via plasma-membrane adhesion molecules | multicellular organism development | cellular component organization | cellular component organization or biogenesis | system development | anatomical structure development | transmission of nerve impulse | developmental process | cell junction assembly | action potential | multicellular organismal process | retina development in camera-type eye"
"Chp2",26,1,"protein localization to nucleus | protein localization to organelle | intracellular signal transduction | cell communication | regulation of cellular process | intracellular signaling cassette | localization | response to chemical | homeostatic process | signal transduction | response to stimulus | regulation of biological process | nitrogen compound transport | response to calcium ion | biological regulation | regulation of protein localization to nucleus | transport | protein import into nucleus | signaling | import into nucleus | establishment of localization | positive regulation of cellular process | protein transport | intracellular protein localization | sodium ion transport | positive regulation of biological process"
"Ehd2",25,1,"anatomical structure morphogenesis | anatomical structure development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | cellular component organization | regulation of developmental process | cellular component organization or biogenesis | plasma membrane bounded cell projection organization | cell projection organization | anatomical structure formation involved in morphogenesis | regulation of cellular component organization | positive regulation of cellular process | biological regulation | positive regulation of cellular component organization | positive regulation of biological process | transport | regulation of biological process | establishment of localization | muscle structure development | regulation of cellular process | cellular process | localization | actin filament-based process"
"Ephx1",22,1,"system development | multicellular organism development | anatomical structure development | developmental process | animal organ development | response to steroid hormone | response to endogenous stimulus | response to glucocorticoid | response to hormone | response to corticosteroid | multicellular organismal process | cellular response to glucocorticoid stimulus | cellular response to chemical stimulus | cellular response to corticosteroid stimulus | cellular response to endogenous stimulus | response to lipid | gland development | liver development | hepaticobiliary system development | cellular response to steroid hormone stimulus | cellular process | response to chemical"
"Fxyd3",21,3,"regulation of cellular process | localization | regulation of biological process | biological regulation | transport | establishment of localization | positive regulation of cellular process | sodium ion transport | positive regulation of biological process | regulation of sodium ion transport | export across plasma membrane | metal ion transport | potassium ion transport | monoatomic cation transport | monoatomic ion transport | regulation of metal ion transport | export from cell | regulation of monoatomic ion transport | inorganic cation transmembrane transport | cellular process | monoatomic cation transmembrane transport"
"Sdk2",21,2,"cell adhesion | system development | anatomical structure morphogenesis | multicellular organism development | animal organ morphogenesis | animal organ development | sensory organ morphogenesis | cell differentiation | cellular developmental process | cell-cell adhesion | cellular component organization | anatomical structure development | neuron differentiation | nervous system development | developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | anatomical structure formation involved in morphogenesis | multicellular organismal process | cellular process"
"Mmp15",20,2,"anatomical structure morphogenesis | multicellular organism development | anatomical structure development | developmental process | cell differentiation | cellular developmental process | cellular component organization | cellular component organization or biogenesis | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | tissue development | anatomical structure formation involved in morphogenesis | multicellular organismal process | collagen metabolic process | response to lipid | cellular process | response to chemical | response to oxygen-containing compound | gastrulation"
"Mlip",19,2,"regulation of multicellular organismal process | negative regulation of multicellular organismal process | cardiac muscle hypertrophy | striated muscle hypertrophy | muscle hypertrophy | system process | multicellular organismal process | response to stress | biological regulation | regulation of system process | regulation of biological process | regulation of response to stimulus | regulation of cellular process | cellular process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | regulation of primary metabolic process | DNA-templated transcription | regulation of RNA metabolic process"
"Chst2",17,2,"cell adhesion | regulation of cell adhesion | regulation of cell migration | cell migration | regulation of cell motility | regulation of locomotion | cell motility | locomotion | cell-cell adhesion | regulation of cell-cell adhesion | positive regulation of cellular process | response to stress | biological regulation | positive regulation of biological process | regulation of biological process | regulation of cellular process | cellular process"
"Kcnk5",17,1,"export across plasma membrane | metal ion transport | potassium ion transport | potassium ion export across plasma membrane | monoatomic cation transport | monoatomic ion transport | biological regulation | transport | potassium ion transmembrane transport | import across plasma membrane | export from cell | establishment of localization | inorganic cation transmembrane transport | cellular process | localization | monoatomic cation transmembrane transport | regulation of biological quality"
"Mfap5",16,2,"system development | anatomical structure morphogenesis | multicellular organism development | animal organ morphogenesis | animal organ development | sensory organ morphogenesis | cell differentiation | cellular developmental process | cellular component organization | anatomical structure development | cell development | developmental process | cellular component organization or biogenesis | multicellular organismal process | cellular process | supramolecular fiber organization"
"Dclk3",15,1,"protein localization to nucleus | protein localization to organelle | intracellular signal transduction | cell communication | regulation of cellular process | localization | signal transduction | response to stimulus | regulation of biological process | biological regulation | regulation of protein localization to nucleus | signaling | intracellular protein localization | cellular response to stimulus | negative regulation of biological process"
"Kank4",14,1,"cellular component organization | cellular component organization or biogenesis | regulation of cellular component organization | actin filament bundle assembly | biological regulation | actin filament bundle organization | regulation of actin filament-based process | regulation of biological process | regulation of cellular process | cellular process | supramolecular fiber organization | actin filament-based process | regulation of biological quality | regulation of cytoskeleton organization"
"Nkain2",12,1,"regulation of sodium ion transport | metal ion transport | monoatomic cation transport | monoatomic ion transport | biological regulation | regulation of metal ion transport | transport | regulation of biological process | establishment of localization | regulation of monoatomic ion transport | localization | sodium ion transport"
"Rnd3",12,1,"intracellular signal transduction | cell communication | regulation of cellular process | intracellular signaling cassette | signal transduction | response to stimulus | regulation of biological process | biological regulation | signaling | small GTPase-mediated signal transduction | cellular response to stimulus | supramolecular fiber organization"
"Crip1",11,1,"response to abiotic stimulus | cellular response to abiotic stimulus | cellular response to environmental stimulus | cellular response to chemical stimulus | response to stress | cellular response to stress | biological regulation | regulation of biological process | regulation of cellular process | cellular process | response to chemical"
"Sdc3",11,3,"cell adhesion | regulation of cell migration | cell migration | regulation of cell motility | regulation of locomotion | cell motility | locomotion | biological regulation | regulation of biological process | regulation of cellular process | cellular process"
"Slc7a2",10,2,"regulation of cellular process | localization | response to stimulus | regulation of biological process | nitrogen compound transport | biological regulation | transport | establishment of localization | regulation of multicellular organismal process | multicellular organismal process"
"Scube1",9,2,"regulation of smoothened signaling pathway | positive regulation of cellular process | biological regulation | positive regulation of biological process | regulation of biological process | regulation of response to stimulus | regulation of cellular process | cellular process | cell surface receptor signaling pathway"
"Adamtsl1",6,2,"extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | cellular component organization | cellular component organization or biogenesis | cellular process"
"Pmp2",6,2,"cellular component organization | cellular component organization or biogenesis | transport | establishment of localization | cellular process | localization"
"Tagln",6,1,"anatomical structure development | developmental process | cell differentiation | cellular developmental process | tissue development | cellular process"
"Tns1",5,1,"cellular component organization | cell migration | cellular component organization or biogenesis | cell motility | cell junction assembly"
"Adam23",3,1,"cell adhesion | response to chemical | response to stimulus"
"Haghl",3,1,"cellular response to aldehyde | response to ketone | cellular response to ketone"
