"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"neuron projection development",0,0,1,1,2
"behavior",0,0,1,1,2
"circulatory system development",0,0,1,1,2
"blood vessel morphogenesis",0,0,1,1,2
"cellular response to growth factor stimulus",0,0,1,1,2
"positive regulation of angiogenesis",0,0,1,1,2
"regulation of angiogenesis",0,0,1,1,2
"positive regulation of vasculature development",0,0,1,1,2
"regulation of vasculature development",0,0,1,1,2
"tube morphogenesis",0,0,1,1,2
"negative regulation of cell migration",0,0,1,1,2
"response to growth factor",0,0,1,1,2
"positive regulation of nervous system development",0,0,1,1,2
"negative regulation of cell motility",0,0,1,1,2
"regulation of leukocyte migration",0,0,1,1,2
"regulation of glial cell differentiation",0,0,1,1,2
"cell junction organization",0,0,1,1,2
"leukocyte migration",0,0,1,1,2
"enzyme-linked receptor protein signaling pathway",0,0,1,1,2
"cognition",0,0,1,1,2
"negative regulation of locomotion",0,0,1,1,2
"cell projection morphogenesis",0,0,1,1,2
"angiogenesis",0,0,1,1,2
"cellular response to endogenous stimulus",0,0,1,1,2
"regulation of actin filament-based process",0,0,1,1,2
"learning or memory",0,0,1,1,2
"positive regulation of cell population proliferation",0,0,1,1,2
"negative regulation of signaling",0,0,1,1,2
"memory",0,0,1,1,2
"regulation of system process",0,0,1,1,2
"negative regulation of cell communication",0,0,1,1,2
"positive regulation of neurogenesis",0,0,1,1,2
"neuron development",0,0,1,1,2
"positive regulation of cell development",0,0,1,1,2
"positive regulation of glial cell differentiation",0,0,1,1,2
"neuron projection morphogenesis",0,0,1,1,2
"regulation of neuron projection development",0,0,1,1,2
"plasma membrane bounded cell projection morphogenesis",0,0,1,1,2
"inflammatory response",0,0,1,1,2
"negative regulation of response to stimulus",0,0,1,1,2
"positive regulation of cellular component organization",0,0,1,1,2
"negative regulation of signal transduction",0,0,1,1,2
"positive regulation of leukocyte migration",0,0,1,1,2
"defense response",0,0,1,1,2
"supramolecular fiber organization",0,0,1,1,2
"regulation of transport",0,0,1,1,2
"telencephalon development",0,0,1,1,2
"transforming growth factor beta receptor superfamily signaling pathway",0,0,1,1,2
"neuron migration",0,0,1,1,2
"actin filament-based process",0,0,1,1,2
"regulation of hemostasis",0,0,1,1,2
"regulation of response to wounding",0,0,1,1,2
"regulation of programmed cell death",0,0,1,1,2
"positive regulation of response to stimulus",0,0,1,1,2
"regulation of localization",0,0,1,1,2
"glial cell development",0,0,1,1,2
"axon development",0,0,1,1,2
"regulation of apoptotic process",0,0,1,1,2
"regulation of cell-substrate adhesion",0,0,1,1,2
"negative regulation of programmed cell death",0,0,1,1,2
"response to chemical",0,0,1,1,2
"blood coagulation",0,0,1,1,2
"negative regulation of cell population proliferation",0,0,1,1,2
"cell surface receptor protein serine/threonine kinase signaling pathway",0,0,1,1,2
"coagulation",0,0,1,1,2
"circulatory system process",0,0,1,1,2
"transport",0,0,1,1,2
"hemostasis",0,0,1,1,2
"response to glucocorticoid",0,0,1,1,2
"regulation of response to external stimulus",0,0,1,1,2
"negative regulation of apoptotic process",0,0,1,1,2
"cell death",0,0,1,1,2
"programmed cell death",0,0,1,1,2
"localization",0,0,1,1,2
"response to lipid",0,0,1,1,2
"ossification",0,0,1,1,2
"protein processing",0,0,1,1,2
"epithelium development",0,0,1,1,2
"negative regulation of neuron apoptotic process",0,0,1,1,2
"regulation of chemotaxis",0,0,1,1,2
"blood circulation",0,0,1,1,2
"cell chemotaxis",0,0,1,1,2
"regulation of body fluid levels",0,0,1,1,2
"positive regulation of gliogenesis",0,0,1,1,2
"negative regulation of cell differentiation",0,0,1,1,2
"neuron apoptotic process",0,0,1,1,2
"response to corticosteroid",0,0,1,1,2
"axonogenesis",0,0,1,1,2
"regulation of supramolecular fiber organization",0,0,1,1,2
"regulation of cellular response to growth factor stimulus",0,0,1,1,2
"regulation of cellular component biogenesis",0,0,1,1,2
"cellular response to transforming growth factor beta stimulus",0,0,1,1,2
"actin cytoskeleton organization",0,0,1,1,2
"connective tissue development",0,0,1,1,2
"apoptotic process",0,0,1,1,2
"cartilage development",0,0,1,1,2
"response to transforming growth factor beta",0,0,1,1,2
"chemotaxis",0,0,1,1,2
"taxis",0,0,1,1,2
"cell morphogenesis",0,0,1,1,2
"regulation of gliogenesis",0,0,1,1,2
"regulation of mononuclear cell migration",0,0,1,1,2
"cell-cell signaling",0,0,1,1,2
"regulation of blood coagulation",0,0,1,1,2
"modulation of chemical synaptic transmission",0,0,1,1,2
"cellular response to chemical stimulus",0,0,1,1,2
"establishment of localization",0,0,1,1,2
"regulation of trans-synaptic signaling",0,0,1,1,2
"regulation of cytoskeleton organization",0,0,1,1,2
"cell morphogenesis involved in neuron differentiation",0,0,1,1,2
"regulation of coagulation",0,0,1,1,2
"negative regulation of cellular response to growth factor stimulus",0,0,1,1,2
"cytoskeleton organization",0,0,1,1,2
"positive regulation of chemotaxis",0,0,1,1,2
"negative regulation of protein-containing complex assembly",0,0,1,1,2
"skeletal system development",0,0,1,1,2
"vascular process in circulatory system",0,0,1,1,2
"chemical synaptic transmission",0,0,1,1,2
"anterograde trans-synaptic signaling",0,0,1,1,2
"trans-synaptic signaling",0,0,1,1,2
"regulation of anatomical structure size",0,0,1,1,2
"leukocyte migration involved in inflammatory response",0,0,1,1,2
"regulation of neuron apoptotic process",0,0,1,1,2
"fatty acid transport",0,0,1,1,2
"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",0,0,1,1,2
"regulation of intracellular signal transduction",0,0,1,1,2
"mononuclear cell migration",0,0,1,1,2
"regulation of immune system process",0,0,1,1,2
"positive regulation of response to wounding",0,0,1,1,2
"lipid transport",0,0,1,1,2
"regulation of membrane potential",0,0,1,1,2
"import into cell",0,0,1,1,2
"regulation of leukocyte chemotaxis",0,0,1,1,2
"negative regulation of supramolecular fiber organization",0,0,1,1,2
"forebrain development",0,0,1,1,2
"regulation of long-term synaptic potentiation",0,0,1,1,2
"intracellular signal transduction",0,0,1,1,2
"regulation of synapse organization",0,0,1,1,2
"regeneration",0,0,1,1,2
"brain development",0,0,1,1,2
"leukocyte chemotaxis",0,0,1,1,2
"synaptic signaling",0,0,1,1,2
"regulation of wound healing",0,0,1,1,2
"regulation of synapse structure or activity",0,0,1,1,2
"lipid localization",0,0,1,1,2
"muscle structure development",0,0,1,1,2
"response to ischemia",0,0,1,1,2
"potassium ion transport",0,0,1,1,2
"regulation of actin cytoskeleton organization",0,0,1,1,2
"cell junction assembly",0,0,1,1,2
"positive regulation of mononuclear cell migration",0,0,1,1,2
"myeloid leukocyte migration",0,0,1,1,2
"negative regulation of BMP signaling pathway",0,0,1,1,2
"positive regulation of leukocyte chemotaxis",0,0,1,1,2
"cellular response to mechanical stimulus",0,0,1,1,2
"cellular response to external stimulus",0,0,1,1,2
"regulation of lipid transport",0,0,1,1,2
"macrophage migration",0,0,1,1,2
"carboxylic acid transport",0,0,1,1,2
"organic acid transport",0,0,1,1,2
"postsynapse organization",0,0,1,1,2
"positive regulation of cell projection organization",0,0,1,1,2
"positive regulation of lipid localization",0,0,1,1,2
"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",0,0,1,1,2
"cellular response to abiotic stimulus",0,0,1,1,2
"cellular response to environmental stimulus",0,0,1,1,2
"actin filament organization",0,0,1,1,2
"positive regulation of gene expression",0,0,1,1,2
"regulation of plasminogen activation",0,0,1,1,2
"transforming growth factor beta receptor signaling pathway",0,0,1,1,2
"positive regulation of transport",0,0,1,1,2
"regulation of neuronal synaptic plasticity",0,0,1,1,2
"organic anion transport",0,0,1,1,2
"sensory organ development",0,0,1,1,2
"response to nutrient",0,0,1,1,2
"BMP signaling pathway",0,0,1,1,2
"regulation of inflammatory response",0,0,1,1,2
"homeostatic process",0,0,1,1,2
"phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,0,1,1,2
"tissue morphogenesis",0,0,1,1,2
"response to toxic substance",0,0,1,1,2
"chondrocyte differentiation",0,0,1,1,2
"response to oxygen-containing compound",0,0,1,1,2
"regulation of lipid localization",0,0,1,1,2
"osteoblast differentiation",0,0,1,1,2
"endothelial cell migration",0,0,1,1,2
"negative regulation of cell development",0,0,1,1,2
"response to metal ion",0,0,1,1,2
"response to BMP",0,0,1,1,2
"cellular response to BMP stimulus",0,0,1,1,2
"monocarboxylic acid transport",0,0,1,1,2
"muscle organ development",0,0,1,1,2
"canonical Wnt signaling pathway",0,0,1,1,2
"negative regulation of hemostasis",0,0,1,1,2
"lipid metabolic process",0,0,1,1,2
"morphogenesis of a branching structure",0,0,1,1,2
"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,0,1,1,2
"positive regulation of cell junction assembly",0,0,1,1,2
"response to vitamin",0,0,1,1,2
"positive regulation of cell division",0,0,1,1,2
"response to pain",0,0,1,1,2
"regulation of actin filament-based movement",0,0,1,1,2
"biomineral tissue development",0,0,1,1,2
"regulation of vascular permeability",0,0,1,1,2
"regulation of organelle organization",0,0,1,1,2
"protein maturation",0,0,1,1,2
"axon guidance",0,0,1,1,2
"neuron projection guidance",0,0,1,1,2
"negative regulation of response to wounding",0,0,1,1,2
"positive regulation of cell activation",0,0,1,1,2
"potassium ion transmembrane transport",0,0,1,1,2
"regulation of response to stress",0,0,1,1,2
"fibroblast proliferation",0,0,1,1,2
"positive regulation of immune system process",0,0,1,1,2
"learning",0,0,1,1,2
"regulation of endothelial cell apoptotic process",0,0,1,1,2
"positive regulation of blood coagulation",0,0,1,1,2
"positive regulation of hemostasis",0,0,1,1,2
"positive regulation of response to external stimulus",0,0,1,1,2
"regulation of endothelial tube morphogenesis",0,0,1,1,2
"regulation of neuron migration",0,0,1,1,2
"regulation of actin filament organization",0,0,1,1,2
"lipid storage",0,0,1,1,2
"hormone metabolic process",0,0,1,1,2
"proteolysis",0,0,1,1,2
"import across plasma membrane",0,0,1,1,2
"MAPK cascade",0,0,1,1,2
"positive regulation of cellular component biogenesis",0,0,1,1,2
"response to bacterium",0,0,1,1,2
"ameboidal-type cell migration",0,0,1,1,2
"regulation of protein processing",0,0,1,1,2
"regulation of epithelial cell proliferation",0,0,1,1,2
"complement activation",0,0,1,1,2
"endothelial cell apoptotic process",0,0,1,1,2
"export from cell",0,0,1,1,2
"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0,0,1,1,2
"negative regulation of plasminogen activation",0,0,1,1,2
"ureteric bud development",0,0,1,1,2
"nutrient storage",0,0,1,1,2
"cell surface receptor protein tyrosine kinase signaling pathway",0,0,1,1,2
"metal ion transport",0,0,1,1,2
"positive regulation of wound healing",0,0,1,1,2
"regulation of protein maturation",0,0,1,1,2
"regulation of cell activation",0,0,1,1,2
"endocytosis",0,0,1,1,2
"positive regulation of coagulation",0,0,1,1,2
"positive regulation of intracellular signal transduction",0,0,1,1,2
"negative regulation of angiogenesis",0,0,1,1,2
"vasoconstriction",0,0,1,1,2
"mesonephric epithelium development",0,0,1,1,2
"mesonephric tubule development",0,0,1,1,2
"morphogenesis of a branching epithelium",0,0,1,1,2
"hepatocyte proliferation",0,0,1,1,2
"epithelial cell proliferation involved in liver morphogenesis",0,0,1,1,2
"production of molecular mediator involved in inflammatory response",0,0,1,1,2
"negative regulation of blood vessel morphogenesis",0,0,1,1,2
"kidney epithelium development",0,0,1,1,2
"positive regulation of inflammatory response",0,0,1,1,2
"negative regulation of vasculature development",0,0,1,1,2
"regulation of blood pressure",0,0,1,1,2
"positive regulation of cell adhesion",0,0,1,1,2
"mesonephros development",0,0,1,1,2
"positive regulation of protein metabolic process",0,0,1,1,2
"positive regulation of fat cell differentiation",0,0,1,1,2
"kidney development",0,0,1,1,2
"response to auditory stimulus",0,0,1,1,2
"acute inflammatory response",0,0,1,1,2
"negative regulation of muscle cell apoptotic process",0,0,1,1,2
"cell-matrix adhesion",0,0,1,1,2
"macromolecule localization",0,0,1,1,2
"negative regulation of organelle organization",0,0,1,1,2
"calcium-mediated signaling",0,0,1,1,2
"cellular response to stress",0,0,1,1,2
"liver morphogenesis",0,0,1,1,2
"regulation of protein metabolic process",0,0,1,1,2
"regulation of endothelial cell migration",0,0,1,1,2
"negative regulation of growth",0,0,1,1,2
"regulation of morphogenesis of an epithelium",0,0,1,1,2
"regulation of fibroblast proliferation",0,0,1,1,2
"synapse assembly",0,0,1,1,2
"positive regulation of fibroblast proliferation",0,0,1,1,2
"renal system development",0,0,1,1,2
"regulation of MAPK cascade",0,0,1,1,2
"phagocytosis",0,0,1,1,2
"regulation of ERK1 and ERK2 cascade",0,0,1,1,2
"chemical homeostasis",0,0,1,1,2
"eye development",0,0,1,1,2
"regulation of cytokine production",0,0,1,1,2
"cellular extravasation",0,0,1,1,2
"negative regulation of cell growth",0,0,1,1,2
"multicellular organismal response to stress",0,0,1,1,2
"visual system development",0,0,1,1,2
"hepaticobiliary system development",0,0,1,1,2
"regulation of cellular component size",0,0,1,1,2
"response to biotic stimulus",0,0,1,1,2
"secretion",0,0,1,1,2
"sensory system development",0,0,1,1,2
"response to hexose",0,0,1,1,2
"negative regulation of interleukin-1 production",0,0,1,1,2
"amyloid-beta clearance",0,0,1,1,2
"branching morphogenesis of an epithelial tube",0,0,1,1,2
"response to hypoxia",0,0,1,1,2
"protein metabolic process",0,0,1,1,2
"placenta development",0,0,1,1,2
"response to monosaccharide",0,0,1,1,2
"secretion by cell",0,0,1,1,2
"bone trabecula formation",0,0,1,1,2
"regulation of tube diameter",0,0,1,1,2
"blood vessel diameter maintenance",0,0,1,1,2
"immune system process",0,0,1,1,2
"regulation of tube size",0,0,1,1,2
"negative regulation of striated muscle cell apoptotic process",0,0,1,1,2
"cartilage development involved in endochondral bone morphogenesis",0,0,1,1,2
"bone mineralization",0,0,1,1,2
"long-term memory",0,0,1,1,2
"positive regulation of molecular function",0,0,1,1,2
"positive regulation of biosynthetic process",0,0,1,1,2
"extracellular matrix assembly",0,0,1,1,2
"ERK1 and ERK2 cascade",0,0,1,1,2
"response to other organism",0,0,1,1,2
"response to external biotic stimulus",0,0,1,1,2
"positive regulation of macromolecule metabolic process",0,0,1,1,2
"skeletal muscle tissue development",0,0,1,1,2
"regulation of cellular extravasation",0,0,1,1,2
"regulation of endothelial cell proliferation",0,0,1,1,2
"tissue regeneration",0,0,1,1,2
"response to oxygen levels",0,0,1,1,2
"epithelial cell proliferation",0,0,1,1,2
"negative regulation of response to cytokine stimulus",0,0,1,1,2
"endothelium development",0,0,1,1,2
"response to calcium ion",0,0,1,1,2
"fat cell differentiation",0,0,1,1,2
"negative regulation of response to external stimulus",0,0,1,1,2
"cell activation",0,0,1,1,2
"regulation of sprouting angiogenesis",0,0,1,1,2
"biological process involved in interspecies interaction between organisms",0,0,1,1,2
"positive regulation of ERK1 and ERK2 cascade",0,0,1,1,2
"regulation of catalytic activity",0,0,1,1,2
"cellular response to tumor necrosis factor",0,0,1,1,2
"positive regulation of G protein-coupled receptor signaling pathway",0,0,1,1,2
"response to nutrient levels",0,0,1,1,2
"positive regulation of astrocyte differentiation",0,0,1,1,2
"morphogenesis of an epithelium",0,0,1,1,2
"response to carbohydrate",0,0,1,1,2
"negative regulation of blood coagulation",0,0,1,1,2
"regulation of extrinsic apoptotic signaling pathway via death domain receptors",0,0,1,1,2
"negative regulation of intracellular signal transduction",0,0,1,1,2
"response to decreased oxygen levels",0,0,1,1,2
"receptor-mediated endocytosis",0,0,1,1,2
"protein polymerization",0,0,1,1,2
"positive regulation of phosphorus metabolic process",0,0,1,1,2
"positive regulation of phosphate metabolic process",0,0,1,1,2
"skeletal muscle organ development",0,0,1,1,2
"positive regulation of macromolecule biosynthetic process",0,0,1,1,2
"negative regulation of coagulation",0,0,1,1,2
"monoatomic cation transport",0,0,1,1,2
"cellular response to hypoxia",0,0,1,1,2
"monoatomic ion transport",0,0,1,1,2
"cellular localization",0,0,1,1,2
"positive regulation of leukocyte activation",0,0,1,1,2
"regulation of cellular localization",0,0,1,1,2
"regulation of intracellular transport",0,0,1,1,2
"leukocyte adhesion to vascular endothelial cell",0,0,1,1,2
"regulation of protein-containing complex assembly",0,0,1,1,2
"platelet activation",0,0,1,1,2
"bone trabecula morphogenesis",0,0,1,1,2
"leukocyte aggregation",0,0,1,1,2
"granulocyte migration",0,0,1,1,2
"regulation of epithelial to mesenchymal transition",0,0,1,1,2
"regulation of osteoblast differentiation",0,0,1,1,2
"regulation of vesicle-mediated transport",0,0,1,1,2
"regulation of acute inflammatory response",0,0,1,1,2
"muscle system process",0,0,1,1,2
"morphogenesis of an endothelium",0,0,1,1,2
"endothelial tube morphogenesis",0,0,1,1,2
"postsynapse assembly",0,0,1,1,2
"establishment of localization in cell",0,0,1,1,2
"regulation of smooth muscle cell migration",0,0,1,1,2
"response to tumor necrosis factor",0,0,1,1,2
"endothelial cell proliferation",0,0,1,1,2
"positive regulation of epithelial to mesenchymal transition",0,0,1,1,2
"positive regulation of apoptotic process",0,0,1,1,2
"regulation of defense response",0,0,1,1,2
"adaptive thermogenesis",0,0,1,1,2
"positive regulation of metabolic process",0,0,1,1,2
"regulation of macromolecule biosynthetic process",0,0,1,1,2
"regulation of cell junction assembly",0,0,1,1,2
"muscle cell differentiation",0,0,1,1,2
"epithelial tube morphogenesis",0,0,1,1,2
"nephron tubule development",0,0,1,1,2
"cellular response to aldehyde",1,0,0,0,1
"neural crest cell differentiation",1,0,0,0,1
"sodium ion transport",0,1,0,0,1
"developmental cell growth",0,1,0,0,1
"cardiac muscle tissue growth",0,1,0,0,1
"heart growth",0,1,0,0,1
"developmental process",0,0,1,0,1
"multicellular organismal process",0,0,1,0,1
"response to stimulus",0,0,1,0,1
"regulation of cellular process",0,0,1,0,1
"negative regulation of biological process",0,0,1,0,1
"cell communication",0,0,1,0,1
"cellular response to stimulus",0,0,1,0,1
"signaling",0,0,1,0,1
"myelination",0,0,1,0,1
"ensheathment of neurons",0,0,1,0,1
"axon ensheathment",0,0,1,0,1
"negative regulation of cellular process",0,0,1,0,1
"positive regulation of nervous system process",0,0,1,0,1
"cellular process",0,0,1,0,1
"system process",0,0,1,0,1
"signal transduction",0,0,1,0,1
"cellular component organization or biogenesis",0,0,1,0,1
"regulation of myelination",0,0,1,0,1
"regulation of nervous system process",0,0,1,0,1
"positive regulation of myelination",0,0,1,0,1
"synapse organization",0,0,1,0,1
"regulation of axonogenesis",0,0,1,0,1
"oligodendrocyte differentiation",0,0,1,0,1
"regulation of synaptic plasticity",0,0,1,0,1
"negative regulation of canonical Wnt signaling pathway",0,0,1,0,1
"cerebral cortex development",0,0,1,0,1
"regulation of hippocampal neuron apoptotic process",0,0,1,0,1
"regulation of neuron differentiation",0,0,1,0,1
"long-term synaptic potentiation",0,0,1,0,1
"humoral immune response",0,0,1,0,1
"neuron projection regeneration",0,0,1,0,1
"pallium development",0,0,1,0,1
"regulation of macrophage migration",0,0,1,0,1
"negative regulation of Wnt signaling pathway",0,0,1,0,1
"negative regulation of cell projection organization",0,0,1,0,1
"positive regulation of synaptic transmission",0,0,1,0,1
"hippocampal neuron apoptotic process",0,0,1,0,1
"regulation of muscle filament sliding speed",0,0,1,0,1
"negative regulation of neuron differentiation",0,0,1,0,1
"positive regulation of macrophage migration",0,0,1,0,1
"positive regulation of lipid transport",0,0,1,0,1
"response to axon injury",0,0,1,0,1
"regulation of resting membrane potential",0,0,1,0,1
"central nervous system myelination",0,0,1,0,1
"axon ensheathment in central nervous system",0,0,1,0,1
"positive regulation of oligodendrocyte differentiation",0,0,1,0,1
"axon regeneration",0,0,1,0,1
"regulation of ossification",0,0,1,0,1
"regulation of canonical Wnt signaling pathway",0,0,1,0,1
"response to vitamin A",0,0,1,0,1
"negative regulation of long-term synaptic potentiation",0,0,1,0,1
"positive regulation of hepatocyte proliferation",0,0,1,0,1
"enkephalin processing",0,0,1,0,1
"regulation of BMP signaling pathway",0,0,1,0,1
"cerebellar granular layer development",0,0,1,0,1
"sensory perception of pain",0,0,1,0,1
"regulation of astrocyte differentiation",0,0,1,0,1
"regulation of Wnt signaling pathway",0,0,1,0,1
"positive regulation of glial cell migration",0,0,1,0,1
"response to estrogen",0,0,1,0,1
"apoptotic cell clearance",0,0,1,0,1
"regulation of actin filament bundle assembly",0,0,1,0,1
"negative regulation of neurogenesis",0,0,1,0,1
"glial cell migration",0,0,1,0,1
"actomyosin structure organization",0,0,1,0,1
"membrane organization",0,0,1,0,1
"regulation of muscle filament sliding",0,0,1,0,1
"negative regulation of nervous system development",0,0,1,0,1
"negative regulation of cytoskeleton organization",0,0,1,0,1
"actin filament bundle assembly",0,0,1,0,1
"actin filament bundle organization",0,0,1,0,1
"long-chain fatty acid import into cell",0,0,1,0,1
"microglial cell activation involved in immune response",0,0,1,0,1
"regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0,0,1,0,1
"negative regulation of hippocampal neuron apoptotic process",0,0,1,0,1
"regulation of synaptic transmission, glutamatergic",0,0,1,0,1
"radial glial cell differentiation",0,0,1,0,1
"antimicrobial humoral response",0,0,1,0,1
"regulation of endothelial cell chemotaxis",0,0,1,0,1
"synapse maturation",0,0,1,0,1
"regulation of endocytic recycling",0,0,1,0,1
"positive regulation of neuron migration",0,0,1,0,1
"eye morphogenesis",0,0,1,0,1
"oligodendrocyte development",0,0,1,0,1
"vitamin A metabolic process",0,0,1,0,1
"activation of protein kinase B activity",0,0,1,0,1
"carbohydrate import across plasma membrane",0,0,1,0,1
"hexose import across plasma membrane",0,0,1,0,1
"positive regulation of microglial cell migration",0,0,1,0,1
"regulation of hepatocyte proliferation",0,0,1,0,1
"vasculogenesis",0,0,1,0,1
"regulation of stress fiber assembly",0,0,1,0,1
"striated muscle adaptation",0,0,1,0,1
"regulation of oligodendrocyte differentiation",0,0,1,0,1
"positive regulation of cell-substrate adhesion",0,0,1,0,1
"positive regulation of fibroblast migration",0,0,1,0,1
"lipid import into cell",0,0,1,0,1
"negative regulation of axonogenesis",0,0,1,0,1
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0,0,1,0,1
"plasminogen activation",0,0,1,0,1
"non-canonical Wnt signaling pathway",0,0,1,0,1
"neural retina development",0,0,1,0,1
"regulation of axon diameter",0,0,1,0,1
"maintenance of protein location in extracellular region",0,0,1,0,1
"regulation of microglial cell migration",0,0,1,0,1
"regulation of glial cell migration",0,0,1,0,1
