"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"response to oxygen-containing compound",1,"majorSC",1.88682675400882,1.88682675400882,"Cell-type-specific"
"cell junction assembly",1,"majorSC",1.69177205089381,1.69177205089381,"Cell-type-specific"
"fucose transmembrane transport",1,"majorSC",1.69177205089381,1.69177205089381,"Cell-type-specific"
"negative regulation of hepatocyte differentiation",1,"majorSC",1.69177205089381,1.69177205089381,"Cell-type-specific"
"cell differentiation",1,"majorSC",1.67265385495215,1.67265385495215,"Cell-type-specific"
"cellular developmental process",1,"majorSC",1.67265385495215,1.67265385495215,"Cell-type-specific"
"animal organ morphogenesis",1,"majorSC",1.66075672655569,1.66075672655569,"Cell-type-specific"
"cellular response to nutrient levels",1,"majorSC",1.66075672655569,1.66075672655569,"Cell-type-specific"
"negative regulation of cell-substrate adhesion",1,"majorSC",1.66075672655569,1.66075672655569,"Cell-type-specific"
"response to ketone",1,"majorSC",1.66075672655569,1.66075672655569,"Cell-type-specific"
"cellular response to glucocorticoid stimulus",1,"majorSC",1.63122844547975,1.63122844547975,"Cell-type-specific"
"embryonic morphogenesis",1,"majorSC",1.60822915407826,1.60822915407826,"Cell-type-specific"
"cellular response to chemical stimulus",1,"majorSC",1.60586456496151,1.60586456496151,"Cell-type-specific"
"cellular response to corticosteroid stimulus",1,"majorSC",1.60586456496151,1.60586456496151,"Cell-type-specific"
"sensory organ development",1,"majorSC",1.60586456496151,1.60586456496151,"Cell-type-specific"
"cellular response to growth factor stimulus",1,"mySC",1.59612721461517,1.59612721461517,"Cell-type-specific"
"response to growth factor",1,"mySC",1.59612721461517,1.59612721461517,"Cell-type-specific"
"negative regulation of cell projection organization",1,"mySC",1.59609813686939,1.59609813686939,"Cell-type-specific"
"multicellular organismal process",1,"majorSC",1.59350659559474,1.59350659559474,"Cell-type-specific"
"sensory organ morphogenesis",1,"majorSC",1.55915398753411,1.55915398753411,"Cell-type-specific"
"embryo development",1,"majorSC",1.53953377451111,1.53953377451111,"Cell-type-specific"
"cell-substrate junction assembly",1,"majorSC",1.51846064383644,1.51846064383644,"Cell-type-specific"
"cellular response to mechanical stimulus",1,"majorSC",1.51846064383644,1.51846064383644,"Cell-type-specific"
"cell-substrate junction organization",1,"majorSC",1.51611125573452,1.51611125573452,"Cell-type-specific"
"cellular response to external stimulus",1,"majorSC",1.51611125573452,1.51611125573452,"Cell-type-specific"
"sensory perception of sound",1,"mySC",1.50548265368005,1.50548265368005,"Cell-type-specific"
"cell communication",1,"mySC",1.49518868792777,1.49518868792777,"Cell-type-specific"
"sensory perception of mechanical stimulus",1,"mySC",1.46973157413345,1.46973157413345,"Cell-type-specific"
"negative regulation of cell migration",1,"mySC",1.46483466137065,1.46483466137065,"Cell-type-specific"
"response to hydrogen peroxide",1,"majorSC",1.46190491084905,1.46190491084905,"Cell-type-specific"
"response to estradiol",1,"majorSC",1.46176054322032,1.46176054322032,"Cell-type-specific"
"negative regulation of cellular process",1,"mySC",1.45760451963133,1.45760451963133,"Cell-type-specific"
"negative regulation of cell motility",1,"mySC",1.45720845112458,1.45720845112458,"Cell-type-specific"
"Wnt signaling pathway",1,"majorSC",1.45706211040431,1.45706211040431,"Cell-type-specific"
"cell junction organization",1,"majorSC",1.45706211040431,1.45706211040431,"Cell-type-specific"
"collagen metabolic process",1,"majorSC",1.45706211040431,1.45706211040431,"Cell-type-specific"
"eye development",1,"majorSC",1.45706211040431,1.45706211040431,"Cell-type-specific"
"visual system development",1,"majorSC",1.45706211040431,1.45706211040431,"Cell-type-specific"
"sensory system development",1,"majorSC",1.44854126416956,1.44854126416956,"Cell-type-specific"
"negative regulation of locomotion",1,"mySC",1.43445320418222,1.43445320418222,"Cell-type-specific"
"cellular response to ketone",1,"majorSC",1.41895470265135,1.41895470265135,"Cell-type-specific"
"negative regulation of biological process",1,"mySC",1.40398821140407,1.40398821140407,"Cell-type-specific"
"neuron projection development",1,"mySC",1.40398821140407,1.40398821140407,"Cell-type-specific"
"cell growth",1,"majorSC",1.36735884862126,1.36735884862126,"Cell-type-specific"
"regulation of response to stimulus",1,"mySC",1.34059581769665,1.34059581769665,"Cell-type-specific"
"nervous system process",1,"mySC",1.32071179011352,1.32071179011352,"Cell-type-specific"
"response to chemical",1,"majorSC",1.31992980702613,1.31992980702613,"Cell-type-specific"
"neuron development",1,"mySC",1.3071102103636,1.3071102103636,"Cell-type-specific"
"cellular response to glucose stimulus",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
"cellular response to hexose stimulus",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
"cellular response to monosaccharide stimulus",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
"eye morphogenesis",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
"gastrulation",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
"response to nutrient levels",1,"majorSC",1.30654862875674,1.30654862875674,"Cell-type-specific"
